196	1970
189	1
180	1969
162	1973
157	1972
153	1974
152	1971
147	1967
139	1976
129	1977
129	1968
120	1975
118	1980
116	1978
110	1994
108	1966
106	1992
103	1993
103	1989
101	1979
098	1984
096	1982
094	1991
087	1985
086	1986
084	1987
081	1988
080	1965
078	1983
070	1996
069	1981
066	2007
066	2004
066	1995
065	2003
065	1998
064	1999
064	1990
062	2000
061	2002
058	2006
056	2016
056	2001
055	2005
053	2013
052	1964
049	2011
049	2010
049	2009
047	2015
045	2014
045	2008
044	2012
041	1963
038	1997
019	1962
016	1961
015	1959
014	1957
010	1958
009	208
007	1960
007	1956
007	200
004	1954
003	1955
002	2017
002	1953
002	1952
001	1949
001	1948
001	1947
