	album	artist	time	track
0	Home+Plate	Good Enough	2016-12-05 00:00:00	Bonnie Raitt
1	Fumbling+Towards+Ecstsay	Good Enough	2016-12-05 00:03:00	Sarah McLachlan
2	18+Greatest+Hits	Good Golly Miss Molly	2016-12-05 00:07:00	Little Richard
3	Camper+Van+Beethoven	Good Guys And Bad Guys	2016-12-05 00:09:00	Camper Van Beethoven
4	Shakedown+Street	Good Lovin'	2016-12-05 00:13:00	Grateful Dead
5	Sgt.+Pepper's+Lonely+Hearts+Club+Band	Good Morning Good Morning	2016-12-05 00:18:00	The Beatles
6	I'm+Ready	Good Morning Little School Girl	2016-12-05 00:21:00	Muddy Waters
7	Organix	Good Music	2016-12-05 00:24:00	The Roots
8	In+Between+Dreams	Good People	2016-12-05 00:28:00	Jack Johnson
9	R&B+Dynamite	Good Rockin' Daddy	2016-12-05 00:32:00	Etta James
10	Blues+Masters,+Volume+5:+Jump+Blues+Classics	Good Rockin' Tonight	2016-12-05 00:34:00	Wynonie Harris
11	Good+Rocking+Tonight:+The+Best+Of+Roy+Brown	Good Rocking Tonight	2016-12-05 00:37:00	Roy Brown
12	Volunteers	Good Shepherd	2016-12-05 00:40:00	Jefferson Airplane
13	The+Raw+And+The+Cooked	Good Thing	2016-12-05 00:44:00	Fine Young Cannibals
14	The+Cars	Good Times Roll	2016-12-05 00:48:00	The Cars
15	Led+Zeppelin+(1)	Good Times, Bad Times	2016-12-05 00:51:00	Led Zeppelin
16	Good+Vibrations+-+Disc+2	Good Vibrations	2016-12-05 00:54:00	The Beach Boys
17	BLIND	Goodbye	2016-12-05 00:58:00	The Sundays
18	Breakfast+In+America	Goodbye Stranger	2016-12-05 01:03:00	Supertramp
19	Goodbye+Yellow+Brick+Road	Goodbye Yellow Brick Road	2016-12-05 01:09:00	Elton John
20	Guitar+Town	Goodbye's All We've Got Left	2016-12-05 01:12:00	Steve Earle
21	I+Outta+Give+You+A+Shot+In+The+Head..	Goodnight Moon	2016-12-05 01:16:00	Shivaree
22	Easy+Tiger	Goodnight Rose	2016-12-05 01:20:00	Ryan Adams
23	Friend+Or+Foe	Goody Two Shoes	2016-12-05 01:23:00	Adam Ant
24	HEAL	Goshen '97	2016-12-05 01:26:00	Strand Of Oaks
25	Transference	Got Nuffin	2016-12-05 01:30:00	Spoon
26	Soul+Tribute+To+The+Beatles	Got To Get You Into My Life	2016-12-05 01:33:00	Earth Wind & Fire
27	Revolver	Got To Get You Into My Life	2016-12-05 01:38:00	The Beatles
28	Have+A+Nice+Decade:The+70s+Pop+Culture+Box	Got To Give It Up	2016-12-05 01:40:00	Marvin Gaye
29	Turn+Blue	Gotta Get Away	2016-12-05 01:45:00	The Black Keys
30	I+Am+Shelby+Lynne	Gotta Get Back	2016-12-05 01:47:00	Shelby Lynne
31	Nilsson+Schmilsson	Gotta Get Up	2016-12-05 01:52:00	Harry Nilsson
32	Farmhouse	Gotta Jibboo	2016-12-05 01:54:00	Phish
33	Slow+Train+Coming	Gotta Serve Somebody	2016-12-05 01:59:00	Bob Dylan
34	Grace	Grace	2016-12-05 02:04:00	Jeff Buckley
35	Ghost+On+Ghost	Grace for Saints and Ramblers	2016-12-05 02:10:00	Iron And Wine
36	Graceland	Graceland	2016-12-05 02:14:00	Paul Simon
37	Continuum	Gravity	2016-12-05 02:19:00	John Mayer
38	The+Brooklyn+Side	Gravity Fails	2016-12-05 02:23:00	The Bottle Rockets
39	Original+Sun+Greatest+Hits	Great Balls Of Fire	2016-12-05 02:26:00	Jerry Lee Lewis
40	Nothing+But+A+Burning+Light	Great Big Love	2016-12-05 02:28:00	Bruce Cockburn
41	The+Royal+Scam	Green Earrings	2016-12-05 02:33:00	Steely Dan
42	Sugarloaf	Green	2016-12-05 02:39:00	Sugarloaf
43	Sing+to+the+Moon	Green Garden	2016-12-05 02:46:00	Laura Mvula
44	Outlaw	Green Grass & High Tides	2016-12-05 02:50:00	The Outlaws
45	Green+Onions	Green Onions	2016-12-05 03:00:00	Booker T. & The MG's
46	Green+River	Green River	2016-12-05 03:03:00	Creedence Clearwater Revival
47	The+Lemon+Pipers+Greatest+Hits	Green Tambourine	2016-12-05 03:05:00	The Lemon Pipers
48	Talking+With+The+Taxman	Greetings To The New Brunette	2016-12-05 03:08:00	Billy Bragg
49	Pure+Soul+Power	Groove Me	2016-12-05 03:12:00	King Floyd
50	Groovin'	Groovin'	2016-12-05 03:15:00	The Young Rascals
51	Greetings+From+Asbury+Park,+New+Jersey	Growing Up	2016-12-05 03:17:00	Bruce Springsteen
52	Guesthouse	Guesthouse	2016-12-05 03:20:00	David Wax Museum
53	Crosby,+Stills+&+Nash	Guinnevere	2016-12-05 03:24:00	Crosby Stills & Nash
54	Guitar+Town	Guitar Town	2016-12-05 03:29:00	Steve Earle
55	Guitars,+Cadillacs,+Etc.,+Etc.	Guitars, Cadillacs	2016-12-05 03:33:00	Dwight Yoakam
56	Tell+'Em+What+Your+Name+Is!	Gunpowder	2016-12-05 03:36:00	Black Joe Lewis & The Honeybears
57	Mirage	Gypsy	2016-12-05 03:38:00	Fleetwood Mac
58	Dig+In+Deep	Gypsy In Me	2016-12-05 03:42:00	Bonnie Raitt
59	Anthology-disc+1	Gypsy Woman	2016-12-05 03:47:00	The Impressions
60	Morph+The+Cat	H Gang	2016-12-05 03:49:00	Donald Fagen
61	Long+Player	Had Me A Real Good Time	2016-12-05 03:53:00	Faces
62	The+Royal+Scam	Haitian Divorce	2016-12-05 03:59:00	Steely Dan
63	Nick+Lowe+&+His+Cowboy+Outfit	Half A Boy And Half A Man	2016-12-05 04:05:00	Nick Lowe
64	Rabbit+Songs	Half Acre	2016-12-05 04:08:00	Hem
65	Pearl	Half Moon	2016-12-05 04:11:00	Janis Joplin
66	Grace	Hallelujah	2016-12-05 04:16:00	Jeff Buckley
67	Various+Positions	Hallelujah	2016-12-05 04:23:00	Leonard Cohen
68	Shrek+(soundtrack)	Hallelujah	2016-12-05 04:27:00	Rufus Wainwright
69	The+Birth+Of+Soul,+Vol.2	Hallelujah I Love Her So	2016-12-05 04:31:00	Ray Charles
70	Nomads+Indians+Saints	Hammer And A Nail	2016-12-05 04:34:00	Indigo Girls
71	Black+And+Blue	Hand Of Fate	2016-12-05 04:38:00	The Rolling Stones
72	An+Old+Raincoat+Won't+Ever+Let+You+Down+(The+Rod+Stewart+Album)	Handbags And Gladrags	2016-12-05 04:42:00	Rod Stewart
73	Volume+One	Handle With Care	2016-12-05 04:47:00	Traveling Wilburys
74	Eyes+Open	Hands Open	2016-12-05 04:50:00	Snow Patrol
75	A+Ghost+Is+Born	Handshake Drugs	2016-12-05 04:54:00	Wilco
76	Tattoo+You	Hang Fire	2016-12-05 05:00:00	The Rolling Stones
77	Boys+&+Girls	Hang Loose	2016-12-05 05:02:00	Alabama Shakes
78	Robbers+&+Cowards	Hang Me Up To Dry	2016-12-05 05:05:00	Cold War Kids
79	Diamond+Life	Hang On To Your Love	2016-12-05 05:09:00	Sade
80	Ziggy+Stardust	Hang Onto Yourself	2016-12-05 05:13:00	David Bowie
81	The+Ultimate+Sessions	Hang Tough	2016-12-05 05:16:00	Crescent City Gold
82	This+Desert+Life	Hangin' Around	2016-12-05 05:20:00	Counting Crows
83	Parallel+Lines	Hanging On The Telephone	2016-12-05 05:25:00	Blondie
