	album	artist	time	track
0	Jackson+Five's+Greatest+Hits	ABC	2016-11-30 06:01:00	Jackson 5
1	50+Million+Elvis+Fans+Can't+Be+Wrong	A Big Hunk O' Love	2016-11-30 06:04:00	Elvis Presley
2	At+San+Quentin	A Boy Named Sue (live)	2016-11-30 06:06:00	Johnny Cash
3	Blue	A Case Of You	2016-11-30 06:10:00	Joni Mitchell
4	Bad+Luck+Streak+In+Dancing+School	A Certain Girl	2016-11-30 06:19:00	Warren Zevon
5	Sheryl+Crow	A Change	2016-11-30 06:24:00	Sheryl Crow
6	The+Man+And+His+Music	A Change Is Gonna Come	2016-11-30 06:28:00	Sam Cooke
7	Sgt.+Pepper's+Lonely+Hearts+Club+Band	A Day In The Life	2016-11-30 06:31:00	The Beatles
8	Sgt.+Pepper's+Lonely+Hearts+Club+Band	A Day In The Life	2016-11-30 06:31:00	The Beatles
9	Acid	A Deeper Shade Of Soul	2016-11-30 06:36:00	Ray Barretto
10	Todd	A Dream Goes On Forever	2016-11-30 06:40:00	Todd Rundgren
11	Gorgeous+George	A Girl Like You	2016-11-30 06:43:00	Edwyn Collins
12	11	A Girl Like You	2016-11-30 06:47:00	The Smithereens
13	A+Good+Feelin'+To+Know	A Good Feelin' To Know	2016-11-30 06:52:00	Poco
14	Copper+Blue	A Good Idea	2016-11-30 06:56:00	Sugar
15	A+Hard+Day's+Night	A Hard Day's Night	2016-11-30 07:01:00	The Beatles
16	The+Freewheelin'+Bob+Dylan	A Hard Rain's A	2016-11-30 07:03:00	Bob Dylan
17	Bookends	A Hazy Shade Of Winter	2016-11-30 07:13:00	Simon & Garfunkel
18	Wildflowers	A Higher Place	2016-11-30 07:15:00	Tom Petty
19	Message+For+The+Mess-age	A Little Bit Of Bad	2016-11-30 07:19:00	NRBQ
20	Cd+Remix+Single	A Little Less Conversation (radio Edit Remix)	2016-11-30 07:25:00	Elvis Presley & JXL
21	Live+On+The+Double+Planet	A Love Bizarre	2016-11-30 07:29:00	Michael Hedges
22	Harvest	A Man Needs A Maid	2016-11-30 07:33:00	Neil Young
23	How+Will+The+Wolf+Survive?	A Matter Of Time	2016-11-30 07:38:00	Los Lobos
24	Everywhere+At+Once	A Million Miles Away	2016-11-30 07:44:00	The Plimsouls
25	Natural+Man	A Natural Man	2016-11-30 07:47:00	Lou Rawls
26	Regions+of+Light+and+Sound+of+God	A New Life	2016-11-30 07:51:00	Jim James
27	A+Salty+Dog	A Salty Dog	2016-11-30 07:55:00	Procol Harum
28	Summerteeth	A Shot In The Arm	2016-11-30 08:00:00	Wilco
29	Ghost+Stories	A Sky Full of Stars	2016-11-30 08:04:00	Coldplay
30	Leon+Russell	A Song For You	2016-11-30 08:11:00	Leon Russell
31	The+Soft+Bulletin	A Spoonful Weighs A Ton	2016-11-30 08:16:00	The Flaming Lips
32	Whipped+Cream+&+Other+Delights	A Taste of Honey	2016-11-30 08:21:00	Herb Alpert & The Tijuana Brass
33	Doo+Wop	A Teenager In Love	2016-11-30 08:24:00	Dion & The Belmonts
34	A+Trick+Of+The+Tail	A Trick Of The Tail	2016-11-30 08:26:00	Genesis
35	Juno+-+Music+From+The+Motion+Picture	A Well Respected Man	2016-11-30 08:31:00	The Kinks
36	Procol+Harum	A Whiter Shade Of Pale	2016-11-30 08:34:00	Procol Harum
37	MTV+Unplugged+In+New+York	About A Girl	2016-11-30 08:41:00	Nirvana
38	Steve+Miller+Band	Abracadabra	2016-11-30 08:44:00	Steve Miller Band
39	Blonde+On+Blonde	Absolutely Sweet Marie	2016-11-30 08:51:00	Bob Dylan
40	Fervor	Absolutely Sweet Marie	2016-11-30 08:56:00	Jason & The Scorchers
41	Northern+Lights-Southern+Cross	Acadian Driftwood	2016-11-30 09:00:00	The Band
42	Shrek+2+O.s.t.	Accidentally In Love	2016-11-30 09:07:00	Counting Crows
43	Excitable+Boy	Accidently Like A Martyr	2016-11-30 09:12:00	Warren Zevon
44	Armed+Forces	Accidents Will Happen	2016-11-30 09:15:00	Elvis Costello
45	Pure+Soul+Power	Across 110th Street	2016-11-30 09:18:00	Bobby Womack
46	The+Band	Across The Great Divide	2016-11-30 09:22:00	The Band
47	Let+It+Be	Across The Universe	2016-11-30 09:26:00	The Beatles
48	Action+Figure+Party	Action Figure Party	2016-11-30 09:30:00	Action Figure Party
