	album	artist	time	track
0	Manifesto	Dance Away	2016-12-03 00:00:00	Roxy Music
1	Points+On+The+Curve	Dance Hall Days	2016-12-03 00:03:00	Wang Chung
2	It's+Only+Rock+&+Roll	Dance Little Sister	2016-12-03 00:07:00	The Rolling Stones
3	Dance+Naked	Dance Naked	2016-12-03 00:11:00	John Mellencamp
4	Amigos	Dance Sister Dance	2016-12-03 00:16:00	Santana
5	Trampoline	Dance The Night Away	2016-12-03 00:24:00	The Mavericks
6	Dance+To+The+Music	Dance To The Music	2016-12-03 00:28:00	Sly & The Family Stone
7	Blame+It+On+Gravity	Dance With Me	2016-12-03 00:31:00	Old 97's
8	Sheik+Yerbouti	Dancin' Fool	2016-12-03 00:34:00	Frank Zappa
9	Terrapin+Station	Dancin' In The Streets	2016-12-03 00:39:00	Grateful Dead
10	New+Wave+Hits	Dancin' With Myself	2016-12-03 00:42:00	Billy Idol
11	Wave	Dancing Barefoot	2016-12-03 00:47:00	Patti Smith
12	Houses+Of+The+Holy	Dancing Days	2016-12-03 00:51:00	Led Zeppelin
13	Born+In+The+USA	Dancing In The Dark	2016-12-03 00:55:00	Bruce Springsteen
14	Dancing+In+The+Moonlight	Dancing In The Moonlight	2016-12-03 00:59:00	King Harvest
15	Bad+Reputation	Dancing In The Moonlight	2016-12-03 01:02:00	Thin Lizzy
16	Best+Of...	Dancing In The Streets	2016-12-03 01:05:00	Martha & The Vandellas
17	Arrival	Dancing Queen	2016-12-03 01:08:00	Abba
18	Goats+Head+Soup	Dancing With Mr. D	2016-12-03 01:13:00	The Rolling Stones
19	Kiss+Me+Deadly	Dancing With Myself	2016-12-03 01:17:00	Generation X
20	Through+The+Past,+Darkly+(Big+Hits+Vol.+2)	Dandelion	2016-12-03 01:21:00	The Rolling Stones
21	Wanted+Dead+Or+Alive	Danger Man	2016-12-03 01:25:00	David Bromberg
22	Stadium+Arcadium	Dani California	2016-12-03 01:28:00	Red Hot Chili Peppers
23	Don't+Shoot+Me+I'm+Only+The+Piano+Player	Daniel	2016-12-03 01:32:00	Elton John
24	Rickie+Lee+Jones	Danny's All	2016-12-03 01:37:00	Rickie Lee Jones
25	Dark+Horse	Dark Horse	2016-12-03 01:41:00	George Harrison
26	The+Getaway	Dark Necessities	2016-12-03 01:45:00	Red Hot Chili Peppers
27	CSN	Dark Star	2016-12-03 01:51:00	Crosby Stills & Nash
28	Give+You+The+Ghost	Dark Star	2016-12-03 01:55:00	Polica
29	Elephant+Mountain	Darkness Darkness	2016-12-03 02:01:00	The Youngbloods
30	Darkness+On+The+Edge+Of+Town	Darkness On The Edge Of Town	2016-12-03 02:04:00	Bruce Springsteen
31	Wild+Honey	Darlin'	2016-12-03 02:09:00	The Beach Boys
32	Born+In+The+USA	Darlington County	2016-12-03 02:12:00	Bruce Springsteen
33	We+Were+Dead+Before+The+Ship+Even+Sank	Dashboard	2016-12-03 02:17:00	Modest Mouse
34	Vs.	Daughter	2016-12-03 02:21:00	Pearl Jam
35	Heavier+Things	Daughters	2016-12-03 02:25:00	John Mayer
36	The+Whole+Love	Dawned On Me	2016-12-03 02:28:00	Wilco
37	Straight+Up	Day After Day	2016-12-03 02:32:00	Badfinger
38	Bridge+Of+Sighs	Day Of The Eagle	2016-12-03 02:36:00	Robin Trower
39	The+Last+Record+Album	Day Or Night	2016-12-03 02:41:00	Little Feat
40	Var-soul+Tribute+To+The+Beatles	Day Tripper	2016-12-03 02:47:00	Otis Redding
41	Past+Masters,+Vol.+2	Day Tripper	2016-12-03 02:50:00	The Beatles
42	Recovering+The+Satellites	Daylight Fading	2016-12-03 02:53:00	Counting Crows
43	Days+Like+This	Days Like This	2016-12-03 02:57:00	Van Morrison
44	Up	Daysleeper	2016-12-03 03:01:00	R. E. M.
