	album	artist	time	track
230	Uprising	Could You Be Loved	2016-12-02 18:18:00	Bob Marley & The Wailers
231	Shine+On	Couldn't Get It Right	2016-12-02 18:22:00	Climax Blues Band
232	Something/Anything?	Couldn't I Just Tell You	2016-12-02 18:25:00	Todd Rundgren
233	Couldn't+Stand+The+Weather	Couldn't Stand The Weather	2016-12-02 18:28:00	Stevie Ray Vaughan
234	Whatever	Could've Been Anyone	2016-12-02 18:34:00	Aimee Mann
235	Out+Of+The+Cradle	Countdown	2016-12-02 18:38:00	Lindsey Buckingham
236	Tumbleweed+Connection	Country Comfort	2016-12-02 18:42:00	Elton John
237	Deja+Vu	Country Girl	2016-12-02 18:47:00	Crosby Stills Nash & Young
238	Let+It+Bleed	Country Honk	2016-12-02 18:54:00	The Rolling Stones
239	Court+&+Spark	Court & Spark	2016-12-02 18:57:00	Joni Mitchell
240	Two+Against+Nature	Cousin Dupree	2016-12-02 19:00:00	Steely Dan
241	Contra	Cousins	2016-12-02 19:04:00	Vampire Weekend
242	Born+In+The+USA	Cover Me	2016-12-02 19:06:00	Bruce Springsteen
243	The+Best+of+The+Intruders	Cowboys To Girls	2016-12-02 19:10:00	The Intruders
244	Everybody+Knows+This+Is+Nowhere	Cowgirl In The Sand	2016-12-02 19:14:00	Neil Young
245	Hejira	Coyote	2016-12-02 19:24:00	Joni Mitchell
246	Thirty+Three+&+1/3	Crackerbox Palace	2016-12-02 19:30:00	George Harrison
247	Labour+of+Lust	Cracking Up	2016-12-02 19:34:00	Nick Lowe
248	A+Seat+At+The+Table	Cranes In The Sky	2016-12-02 19:37:00	Solange
249	Lovely	Crash	2016-12-02 19:43:00	The Primitives
250	Crash	Crash Into Me	2016-12-02 19:46:00	Dave Matthews Band
251	White+City	Crashing By Design	2016-12-02 19:51:00	Pete Townshend
252	Mock+Tudor	Crawl Back Under My Stone	2016-12-02 19:56:00	Richard Thompson
253	St.+Elsewhere	Crazy	2016-12-02 20:00:00	Gnarls Barkley
254	The+Patsy+Cline+Story	Crazy	2016-12-02 20:03:00	Patsy Cline
255	Seal	Crazy	2016-12-02 20:05:00	Seal
256	Seal	Crazy	2016-12-02 20:05:00	Seal
257	(single)	Crazy	2016-12-02 20:11:00	Violent Femmes
258	Rastaman+Vibration	Crazy Baldhead	2016-12-02 20:17:00	Bob Marley & The Wailers
259	Enlightened+Rogues	Crazy Love	2016-12-02 20:20:00	The Allman Brothers
260	Moondance	Crazy Love	2016-12-02 20:24:00	Van Morrison
261	Naturally	Crazy Mama	2016-12-02 20:28:00	J. J. Cale
262	Black+And+Blue	Crazy Mama	2016-12-02 20:30:00	The Rolling Stones
263	Little+Creatures	Creatures Of Love	2016-12-02 20:34:00	Talking Heads
264	Pablo+Honey	Creep	2016-12-02 20:40:00	Radiohead
265	CrazySexyCool	Creep	2016-12-02 20:44:00	TLC
266	Feels+Like+Home	Creepin' In	2016-12-02 20:48:00	Norah Jones
267	Crime+Of+The+Century	Crime Of The Century	2016-12-02 20:54:00	Supertramp
268	Tidal	Criminal	2016-12-02 21:00:00	Fiona Apple
269	I+Love+Rock+&+Roll	Crimson & Clover	2016-12-02 21:05:00	Joan Jett And The Blackhearts
270	Greatest+Hits	Crimson & Clover	2016-12-02 21:09:00	Tommy James & The Shondells
271	Imagine	Crippled Inside	2016-12-02 21:15:00	John Lennon
272	Remain+In+Light	Crosseyed And Painless	2016-12-02 21:19:00	Talking Heads
273	Hard+Again	Crosseyed Cat	2016-12-02 21:24:00	Muddy Waters
274	Aqualung	Cross	2016-12-02 21:30:00	Jethro Tull
275	In+Step	Crossfire	2016-12-02 21:35:00	Stevie Ray Vaughan
276	Wheels+Of+Fire	Crossroads	2016-12-02 21:40:00	Cream
277	Electric+Ladyland	Crosstown Traffic	2016-12-02 21:44:00	Jimi Hendrix
278	Crown+Of+Creation	Crown Of Creation	2016-12-02 21:47:00	Jefferson Airplane
279	Little+Earthquakes	Crucify	2016-12-02 21:50:00	Tori Amos
280	Bananarama	Cruel Summer	2016-12-02 21:56:00	Bananarama
281	Labour+of+Lust	Cruel To Be Kind	2016-12-02 22:00:00	Nick Lowe
282	Before+These+Crowded+Streets	Crush	2016-12-02 22:03:00	Dave Matthews Band
283	The+History+Mix+Volume+1	Cry	2016-12-02 22:11:00	Godley & Creme
284	A+Brand+New+Bag,+#1+Soul+Hits+Of+The+60's	Cry Baby	2016-12-02 22:14:00	Garnet Mimms
285	Pearl	Cry Baby	2016-12-02 22:18:00	Janis Joplin
286	The+Beatles	Cry Baby Cry	2016-12-02 22:22:00	The Beatles
287	Soul+Deep+(The+Best+of+The+Box+Tops)	Cry Like A Baby	2016-12-02 22:25:00	The Box Tops
288	Walk+On	Cry Love	2016-12-02 22:27:00	John Hiatt
289	Mad+Dogs+&+Englishmen	Cry Me A River	2016-12-02 22:33:00	Joe Cocker
290	Mad+Dogs+&+Englishmen	Cry Me A River	2016-12-02 22:33:00	Joe Cocker
291	Cry+Tough	Cry Tough	2016-12-02 22:37:00	Nils Lofgren
292	Johnny+Cash+With+His+Hot+&+Blue+Guitar	Cry, Cry, Cry	2016-12-02 22:42:00	Johnny Cash
293	Dear+Science	Crying	2016-12-02 22:46:00	TV On The Radio
294	Anthology	Crystal Blue Persuasion	2016-12-02 22:50:00	Tommy James & The Shondells
295	Vivid	Cult Of Personality	2016-12-02 22:55:00	Living Colour
296	Workingman's+Dead	Cumberland Blues	2016-12-02 23:00:00	Grateful Dead
297	Physical+Graffiti	Custard Pie	2016-12-02 23:03:00	Led Zeppelin
298	Gasoline+Alley	Cut Across Shorty	2016-12-02 23:10:00	Rod Stewart
299	Quadrophenia	Cut My Hair	2016-12-02 23:16:00	The Who
300	Cut+The+Cake	Cut The Cake	2016-12-02 23:20:00	Average White Band
301	Crooked+Rain+Crooked+Rain	Cut Your Hair	2016-12-02 23:24:00	Pavement
302	Marshall+Crenshaw	Cynical Girl	2016-12-02 23:28:00	Marshall Crenshaw
303	Peter+Gabriel+Ii	D.I.Y.	2016-12-02 23:30:00	Peter Gabriel
304	Lodger	D. J.	2016-12-02 23:33:00	David Bowie
305	Da+Da+Da	Da Da Da	2016-12-02 23:37:00	Trio
306	LCD+Soundsystem	Daft Punk Is Playing In My House	2016-12-02 23:41:00	LCD Soundsystem
307	Entertainment!	Damaged Goods	2016-12-02 23:46:00	Gang Of Four
308	Damn+Right,+I've+Got+The+Blues	Damn Right I've Got The Blues	2016-12-02 23:51:00	Buddy Guy
309	Emotional+Rescue	Dance (pt.1)	2016-12-02 23:55:00	The Rolling Stones
