album	artist	time	track
Dirt Track Date	Southern Culture On The Skids	2016-12-02 00:00:00	Camel Walk
Decade	Neil Young	2016-12-02 00:05:00	Campaigner
Can I Change My Mind?	Tyrone Davis	2016-12-02 00:09:00	Can I Change My Mind
Greatest Hits	Marvin Gaye	2016-12-02 00:11:00	Can I Get A Witness
Hermit Of Mink Hollow	Todd Rundgren	2016-12-02 00:14:00	Can We Still Be Friends
Maggot Brain	Funkadelic	2016-12-02 00:19:00	Can You Get to That
One True Vine	Mavis Staples	2016-12-02 00:22:00	Can You Get to That
Brick By Brick	Iggy Pop	2016-12-02 00:25:00	Candy
Cure For Pain	Morphine	2016-12-02 00:29:00	Candy
Our Time In Eden	10,000 Maniacs	2016-12-02 00:33:00	Candy Everybody Wants
Darkness On The Edge Of Town	Bruce Springsteen	2016-12-02 00:36:00	Candy's Room
O	Damien Rice	2016-12-02 00:38:00	Cannonball
Last Splash	The Breeders	2016-12-02 00:42:00	Cannonball
Hand On The Torch	Us 3	2016-12-02 00:45:00	Cantaloop
A Hard Day's Night	The Beatles	2016-12-02 00:49:00	Can't Buy Me Love
Tuesday Night Music Club	Sheryl Crow	2016-12-02 00:52:00	Can't Cry Any More
Pretty Close To The Truth	Jim Lauderdale	2016-12-02 00:56:00	Can't Find Mary
Blind Faith	Blind Faith	2016-12-02 01:00:00	Can't Find My Way Home
Crossing Jordan (soundtrack)	Alison Krauss	2016-12-02 01:03:00	Can't Find My Way Home
Barry White Greatest Hits	Barry White	2016-12-02 01:08:00	Can't Get Enough Of Your Love
Eldorado	Electric Light Orchestra	2016-12-02 01:12:00	Can't Get It Out Of My Head
Fables Of The Reconstruction	R. E. M.	2016-12-02 01:17:00	Can't Get There From Here
I Just Can't Stop It	The English Beat	2016-12-02 01:20:00	Can't Get Used To Losing You
Pleased To Meet Me	The Replacements	2016-12-02 01:23:00	Can't Hardly Wait
Car Wheels On A Gravel Road	Lucinda Williams	2016-12-02 01:30:00	Can't Let Go
Summerteeth	Wilco	2016-12-02 01:33:00	Can't Stand It
Outlandos D'amour	The Police	2016-12-02 01:37:00	Can't Stand Losing You
Colossal Head	Los Lobos	2016-12-02 01:40:00	Can't Stop The Rain
Sticky Fingers	The Rolling Stones	2016-12-02 01:43:00	Can't You Hear Me Knockin'
The Marshall Tucker Band	Marshall Tucker Band	2016-12-02 01:51:00	Can't You See
Vampire Weekend	Vampire Weekend	2016-12-02 01:57:00	Cape Cod Kwassa Kwassa
Are You Serious	Andrew Bird	2016-12-02 02:01:00	Capsized
Combat Rock	The Clash	2016-12-02 02:05:00	Car Jamming
Car Wheels On A Gravel Road	Lucinda Williams	2016-12-02 02:13:00	Car Wheels On A Gravel Road
Moondance	Van Morrison	2016-12-02 02:17:00	Caravan
Blue	Joni Mitchell	2016-12-02 02:22:00	Carey
Shepherd Moons	Enya	2016-12-02 02:25:00	Caribbean Blue
I 10 Chronicles	Adam Duritz	2016-12-02 02:29:00	Carmelita
Warren Zevon	Warren Zevon	2016-12-02 02:33:00	Carmelita
Tigerlily	Natalie Merchant	2016-12-02 02:37:00	Carnival
Chuck Berry Is On Top	Chuck Berry	2016-12-02 02:43:00	Carol
Greatest Hits	James Taylor	2016-12-02 02:46:00	Carolina In My Mind
Dragon Fly	Jefferson Starship	2016-12-02 02:50:00	Caroline
Pet Sounds	The Beach Boys	2016-12-02 02:58:00	Caroline, No
In Through The Out Door	Led Zeppelin	2016-12-02 03:00:00	Carouselambra
Ashes Are Burning	Renaissance	2016-12-02 03:11:00	Carpet Of The Sun
Acid Tongue	Jenny Lewis	2016-12-02 03:15:00	Carpetbaggers
1967: The Beat Goes On	The Hollies	2016-12-02 03:18:00	Carrie
Gossamer	Passion Pit	2016-12-02 03:21:00	Carried Away
Some Nights	fun.	2016-12-02 03:46:00	Carry On
Abbey Road	The Beatles	2016-12-02 03:51:00	Carry That Weight
The Pleasure Principle	Gary Numan	2016-12-02 03:54:00	Cars
L.A. Woman	The Doors	2016-12-02 03:57:00	Cars Hiss By My Window
Workingman's Dead	Grateful Dead	2016-12-02 04:02:00	Casey Jones
Ace	Bob Weir	2016-12-02 04:06:00	Cassidy
Axis: Bold As Love	Jimi Hendrix	2016-12-02 04:11:00	Castles Made Of Sand
Why Are You Ok	Band Of Horses	2016-12-02 04:14:00	Casual Party
Murmur	R. E. M.	2016-12-02 04:17:00	Catapult
single	Pretty Poison	2016-12-02 04:21:00	Catch Me (I'm Falling)
Awake Is The New Sleep	Ben Lee	2016-12-02 04:25:00	Catch My Disease
5 By Five	Dave Clark Five	2016-12-02 04:29:00	Catch Us If You Can
Sisters	The Bluebells	2016-12-02 04:31:00	Cath
Here Comes The Groom	John Wesley Harding	2016-12-02 04:41:00	Cathy's New Clown
Cats Under The Stars	Jerry Garcia	2016-12-02 04:49:00	Cats Under The Stars
Boys For Pele	Tori Amos	2016-12-02 04:55:00	Caught A Lite Sneeze
Cautionary Tale	Dylan LeBlanc	2016-12-02 05:00:00	Cautionary Tale
Trey Anastasio	Trey Anastasio	2016-12-02 05:04:00	Cayman Review
Five Leaves Left	Nick Drake	2016-12-02 05:12:00	Cello Song
Everybody's In Show Biz	The Kinks	2016-12-02 05:16:00	Celluloid Heroes
Freeze Frame	The J. Geils Band	2016-12-02 05:22:00	Centerfold
Katy Lied	Steely Dan	2016-12-02 05:31:00	Chain Lightning
Tango	Patty Larkin	2016-12-02 05:33:00	Chained To These Lovin' Arms
Lady Soul	Aretha Franklin	2016-12-02 05:37:00	Chain Of Fools
Please Please Me	The Beatles	2016-12-02 05:40:00	Chains
Headhunters	Herbie Hancock	2016-12-02 05:43:00	Chameleon
(What's The Story) Morning Glory?	Oasis	2016-12-02 05:59:00	Champagne Supernova
Flaming Red	Patty Griffin	2016-12-02 06:07:00	Change
The Hurting	Tears For Fears	2016-12-02 06:13:00	Change
So Runs The World Away	Josh Ritter	2016-12-02 06:25:00	Change Of Time
The Wheel	Rosanne Cash	2016-12-02 06:30:00	Change Partners
Stephen Stills 2	Stephen Stills	2016-12-02 06:33:00	Change Partners
Voyageur	Kathleen Edwards	2016-12-02 06:38:00	Change the Sheets
Lucinda Williams	Lucinda Williams	2016-12-02 06:42:00	Changed The Locks
Changes	Charles Bradley	2016-12-02 06:46:00	Changes
Hunky Dory	David Bowie	2016-12-02 06:56:00	Changes
Mylo Xyloto	Coldplay	2016-12-02 07:05:00	Charlie Brown
Eyes Open	Snow Patrol	2016-12-02 07:11:00	Chasing Cars
Isolation Drills	Guided By Voices	2016-12-02 07:15:00	Chasing Heather Crazy
19	Adele	2016-12-02 07:20:00	Chasing Pavements
The Fall	Norah Jones	2016-12-02 07:23:00	Chasing Pirates
The Lonesome Jubilee	John Mellencamp	2016-12-02 07:29:00	Check It Out
The Low End Theory	A Tribe Called Quest	2016-12-02 07:33:00	Check The Rhyme
All About Chemistry	Semisonic	2016-12-02 07:40:00	Chemistry
Talkie Walkie	Air	2016-12-02 07:44:00	Cherry Blossom Girl
The Lonesome Jubilee	John Mellencamp	2016-12-02 07:50:00	Cherry Bomb
The Runaways	The Runaways	2016-12-02 07:55:00	Cherry Bomb
Trojan Originals Box Set	Eric Donaldson	2016-12-02 07:58:00	Cherry Oh Baby
Black And Blue	The Rolling Stones	2016-12-02 08:01:00	Cherry Oh Baby
Labour Of Love	UB40	2016-12-02 08:05:00	Cherry Oh Baby
The Feel Of Neil Diamond	Neil Diamond	2016-12-02 08:09:00	Cherry, Cherry
Music From Big Pink	The Band	2016-12-02 08:12:00	Chest Fever
Come On Feel The Illinois	Sufjan Stevens	2016-12-02 08:21:00	Chicago
The Very Best Of T Rex	T Rex	2016-12-02 08:27:00	Children Of The Revolution
Chill Out	John Lee Hooker	2016-12-02 08:29:00	Chill Out
Europe '72 Disc 1	Grateful Dead	2016-12-02 08:36:00	China Cat / I Know You Rider
Aoxomoxoa	Grateful Dead	2016-12-02 08:46:00	China Cat Sunflower
Let's Dance	David Bowie	2016-12-02 08:51:00	China Girl
The Idiot	Iggy Pop	2016-12-02 08:55:00	China Girl
The Captain And Me	The Doobie Brothers	2016-12-02 09:01:00	China Grove
Night And Day	Joe Jackson	2016-12-02 09:04:00	Chinatown
Boys And Girls In America	The Hold Steady	2016-12-02 09:08:00	Chips Ahoy!
I'm With Stupid	Aimee Mann	2016-12-02 09:16:00	Choice In The Matter
Rickie Lee Jones	Rickie Lee Jones	2016-12-02 09:22:00	Chuck E's In Love
Joshua Judges Ruth	Lyle Lovett	2016-12-02 09:25:00	Church
Definitely Maybe	Oasis	2016-12-02 09:32:00	Cigarettes And Alcohol
Poses	Rufus Wainwright	2016-12-02 09:37:00	Cigarettes And Chocolate Milk
Outlaw	War	2016-12-02 09:42:00	Cinco De Mayo
Our Endless Numbered Days	Iron And Wine	2016-12-02 09:46:00	Cinder And Smoke
Ooh La La	Faces	2016-12-02 09:52:00	Cindy Incidentally
Everybody Knows This Is Nowhere	Neil Young	2016-12-02 10:01:00	Cinnamon Girl
El Oso	Soul Coughing	2016-12-02 10:04:00	Circles
Anthology (disc 1)	The Meters	2016-12-02 10:07:00	Cissy Strut
Hobo's Lullaby	Arlo Guthrie	2016-12-02 10:11:00	City Of New Orleans
Washington Square Serenade	Steve Earle	2016-12-02 10:16:00	City Of Immigrants
Rain Dogs	Tom Waits	2016-12-02 10:20:00	Clap Hands
Heavier Things	John Mayer	2016-12-02 10:24:00	Clarity
The Clash	The Clash	2016-12-02 10:28:00	Clash City Rockers
Beautiful Vision	Van Morrison	2016-12-02 10:34:00	Cleaning Windows
Var - Funk Soul Sisters	Betty Wright	2016-12-02 10:39:00	Clean Up Woman
You're Never Alone With A Schizophrenic	Ian Hunter	2016-12-02 10:42:00	Cleveland Rocks
Fat City	Shawn Colvin	2016-12-02 10:45:00	Climb On (A Back That's Strong)
Gorillaz	Gorillaz	2016-12-02 10:52:00	Clint Eastwood
Action Figure Party	Action Figure Party	2016-12-02 10:55:00	Clock Radio
A Rush of Blood to the Head	Coldplay	2016-12-02 11:00:00	Clocks
Rhythms Del Mundo	Coldplay	2016-12-02 11:05:00	Clocks
Side Pony	Lake Street Dive	2016-12-02 11:11:00	Close to Me
Head On The Door	The Cure	2016-12-02 11:16:00	Close to Me
Close To The Edge	Yes	2016-12-02 11:20:00	Close To The Edge
Indigo Girls	Indigo Girls	2016-12-02 11:39:00	Closer To Fine
The Future	Leonard Cohen	2016-12-02 11:43:00	Closing Time
Feeling Strangely Fine	Semisonic	2016-12-02 11:50:00	Closing Time
Hounds Of Love	Kate Bush	2016-12-02 11:54:00	Cloudbusting
Cloud Nine	The Temptations	2016-12-02 12:38:00	Cloud Nine
Trust	Elvis Costello	2016-12-02 12:42:00	Clubland
No 10 Upping Street	Big Audio Dynamite	2016-12-02 12:45:00	C'mon Every Beatbox
Slowhand	Eric Clapton	2016-12-02 12:52:00	Cocaine
Troubadour	J. J. Cale	2016-12-02 12:56:00	Cocaine
Running On Empty	Jackson Browne	2016-12-02 12:59:00	Cocaine
Nilsson Schmilsson	Harry Nilsson	2016-12-02 13:04:00	Coconut
single	Milky Chance	2016-12-02 13:10:00	Cocoon
Sylvan Esso	Sylvan Esso	2016-12-02 13:13:00	Coffee
Feats Don't Fail Me Now	Little Feat	2016-12-02 13:22:00	Cold Cold Cold/Tripe Face Boogie
Time Out of Mind	Bob Dylan	2016-12-02 13:33:00	Cold Irons Bound
Cold Roses	Ryan Adams	2016-12-02 13:41:00	Cold Roses
Couldn't Stand The Weather	Stevie Ray Vaughan	2016-12-02 13:45:00	Cold Shot
The John Lennon Collection	John Lennon	2016-12-02 14:00:00	Cold Turkey
Sailin' Shoes	Little Feat	2016-12-02 14:05:00	Cold, Cold, Cold
Heroes Are Hard To Find	Fleetwood Mac	2016-12-02 14:17:00	Come A Little Bit Closer
Melophobia	Cage The Elephant	2016-12-02 14:21:00	Come A Little Closer
Magic Christian Music	Badfinger	2016-12-02 14:25:00	Come And Get It
Brothers And Sisters	The Allman Brothers	2016-12-02 14:28:00	Come And Go Blues
The Instigator	Rhett Miller	2016-12-02 14:33:00	Come Around
A Foreign Sound	Caetano Veloso	2016-12-02 14:38:00	Come As You Are
Nevermind	Nirvana	2016-12-02 14:42:00	Come As You Are
Come Away With Me	Norah Jones	2016-12-02 14:45:00	Come Away With Me
Wired	Jeff Beck	2016-12-02 14:50:00	Come Dancing
State Of Confusion	The Kinks	2016-12-02 14:56:00	Come Dancing
Tumbleweed Connection	Elton John	2016-12-02 15:00:00	Come Down In Time
Grtst Hits, Vol. 2	Marvin Gaye	2016-12-02 15:03:00	Come Get To This
Be What You Are	The Staple Singers	2016-12-02 15:06:00	Come Go With Me
Roll Away	Back Door Slam	2016-12-02 15:10:00	Come Home
Too-Rye-Ay	Dexy's Midnight Runners	2016-12-02 15:14:00	Come On Eileen
Come On Feel The Illinois	Sufjan Stevens	2016-12-02 15:18:00	Come On!  Feel The Illinoise!
La Bamba (soundtrack)	Los Lobos	2016-12-02 15:25:00	Come On Let's Go
Moondance	Van Morrison	2016-12-02 15:27:00	Come Running
Revelator	Tedeschi Trucks Band	2016-12-02 15:31:00	Come See About Me
20th Century Masters	The Supremes	2016-12-02 15:35:00	Come See About Me
Screamadelica	Primal Scream	2016-12-02 15:38:00	Come Together
Abbey Road	The Beatles	2016-12-02 15:46:00	Come Together
Comes A Time	Neil Young	2016-12-02 15:50:00	Comes A Time
My Better Self	Dar Williams	2016-12-02 15:54:00	Comfortably Numb
The Wall	Pink Floyd	2016-12-02 16:00:00	Comfortably Numb
Coming Home	Leon Bridges	2016-12-02 16:12:00	Coming Home
Different Class	Pulp	2016-12-02 16:16:00	Common People
Green River	Creedence Clearwater Revival	2016-12-02 16:22:00	Commotion
Led Zeppelin (1)	Led Zeppelin	2016-12-02 16:24:00	Communication Breakdown
The Waterfall	My Morning Jacket	2016-12-02 16:38:00	Compound Fracture
Computer World	Kraftwerk	2016-12-02 16:42:00	Computer Love
Daybreaker	Beth Orton	2016-12-02 16:51:00	Concrete Sky
A Sense Of Place	John Mayall	2016-12-02 16:55:00	Congo Square
