album	artist	time	track
The Ride	Los Lobos	2016-12-06 00:00:00	Hurry Tomorrow
American Iv: The Man Comes Around	Johnny Cash	2016-12-06 00:04:00	Hurt
Shades Of Deep Purple	Deep Purple	2016-12-06 00:08:00	Hush
Post	Bjork	2016-12-06 00:13:00	Hyper Ballad
Mystery To Me	Fleetwood Mac	2016-12-06 00:18:00	Hypnotized
I Against I	Bad Brains	2016-12-06 00:22:00	I Against I
Hotter Than July	Stevie Wonder	2016-12-06 00:25:00	I Ain't Gonna Stand For It
Crossroads	The Yardbirds	2016-12-06 00:30:00	I Ain't Got You
Ain't Living Long Like This	Rodney Crowell	2016-12-06 00:32:00	I Ain't Living Long Like This
I Ain't Marching Anymore	Phil Ochs	2016-12-06 00:37:00	I Ain't Marching Anymore
The American Dream	The American Dream	2016-12-06 00:39:00	I Ain't Searchin
Truth	Jeff Beck	2016-12-06 00:44:00	I Ain't Superstitious
I Am The Blues	Willie Dixon	2016-12-06 00:49:00	I Ain't Superstitious
His Best	Howlin' Wolf	2016-12-06 00:53:00	I Ain't Superstitious
Throwing Copper	Live	2016-12-06 00:56:00	I Alone
Retrospective	Buffalo Springfield	2016-12-06 01:00:00	I Am A Child
O Brother Where Art Thou (soundtrack)	Soggy Bottom Boys	2016-12-06 01:02:00	I Am A Man Of Constant Sorrow
Harbinger	Paula Cole	2016-12-06 01:08:00	I Am So Ordinary
I Am The Cosmos	Chris Bell	2016-12-06 01:13:00	I Am The Cosmos
Magical Mystery Tour	The Beatles	2016-12-06 01:16:00	I Am The Walrus
Yankee Hotel Foxtrot	Wilco	2016-12-06 01:24:00	I Am Trying To Break Your Heart
I And Love And You	The Avett Brothers	2016-12-06 01:31:00	I And Love and You
In The Right Place	Dr. John	2016-12-06 01:36:00	I Been Hoodood
Permission To Land	The Darkness	2016-12-06 01:39:00	I Believe In A Thing Called Love
After The Gold Rush	Neil Young	2016-12-06 01:43:00	I Believe In You
Whatever People Say I Am, That's What I'm Not	Arctic Monkeys	2016-12-06 01:46:00	I Bet You Look Good On The Dancefloor
The Phosphorescent Blues	Punch Brothers	2016-12-06 01:49:00	I Blew It Off
Past Masters, Vol. 1	The Beatles	2016-12-06 01:52:00	I Call Your Name
I Came To Dance	Nils Lofgren	2016-12-06 01:54:00	I Came To Dance
I've Got My Own Album To Do	Ron Wood	2016-12-06 01:59:00	I Can Feel The Fire
I Can Help	Billy Swan	2016-12-06 02:04:00	I Can Help
Var-soul Hits Of The 70's Vol.9	Johnny Nash	2016-12-06 02:07:00	I Can See Clearly Now
The Who Sell Out	The Who	2016-12-06 02:09:00	I Can See For Miles
Hard Again	Muddy Waters	2016-12-06 02:14:00	I Can't Be Satisfied
14 Greatest Hits	Al Green	2016-12-06 02:20:00	I Can't Get Next To You
Anthology Disc Two	The Temptations	2016-12-06 02:23:00	I Can't Get Next To You
Blackstar	David Bowie	2016-12-06 02:26:00	I Can't Give Everything Away
Four Tops Greatest Hits	Four Tops	2016-12-06 02:39:00	I Can't Help Myself (sugar Pie, Honey Bunch)
Def Jam Recordings	LL Cool J	2016-12-06 02:41:00	I Can't Live Without My Radio
Led Zeppelin (1)	Led Zeppelin	2016-12-06 02:50:00	I Can't Quit You Baby
Another Ticket	Eric Clapton	2016-12-06 02:56:00	I Can't Stand It
I Can't Stand The Rain	Ann Peebles	2016-12-06 03:00:00	I Can't Stand The Rain
Get Happy	Elvis Costello	2016-12-06 03:05:00	I Can't Stand Up For Falling Down
I Can't Stop	Al Green	2016-12-06 03:08:00	I Can't Stop
Next Position Please	Cheap Trick	2016-12-06 03:17:00	I Can't Take It
The Long Run	The Eagles	2016-12-06 03:20:00	I Can't Tell You Why
The Otis Redding Story (2)	Otis Redding	2016-12-06 03:25:00	I Can't Turn You Loose
Small Change	Tom Waits	2016-12-06 03:28:00	I Can't Wait To Get Off Work
Mirror Blue	Richard Thompson	2016-12-06 03:31:00	I Can't Wake Up to Save My Life
Special Beat Service	The English Beat	2016-12-06 03:34:00	I Confess
Everyday	Dave Matthews Band	2016-12-06 03:40:00	I Did It
All Things Must Pass	George Harrison	2016-12-06 03:44:00	I Dig Love
Mood Swings (best Of)	Ben Vaughn	2016-12-06 03:51:00	I Dig Your Wig
Fearless	Tim Curry	2016-12-06 03:56:00	I Do The Rock
Hello, I Must Be Going!	Phil Collins	2016-12-06 04:04:00	I Don't Care Anymore
Want One	Rufus Wainwright	2016-12-06 04:09:00	I Don't Know What It Is
The Fine Art Of Surfacing	The Boomtown Rats	2016-12-06 04:14:00	I Don't Like Mondays
Anthology	Ray Charles	2016-12-06 04:18:00	I Don't Need No Doctor
Peter Gabriel (iii)	Peter Gabriel	2016-12-06 04:21:00	I Don't Remember
Monster	R. E. M.	2016-12-06 04:25:00	I Don't Sleep I Dream
Anutha Zone	Dr. John	2016-12-06 04:28:00	I Don't Wanna Know
Rumours	Fleetwood Mac	2016-12-06 04:35:00	I Don't Want To Know
Red Dirt Girl	Emmylou Harris	2016-12-06 04:38:00	I Don't Want To Talk About It Now
This Fire	Paula Cole	2016-12-06 04:43:00	I Don't Want To Wait
The Patsy Cline Story	Patsy Cline	2016-12-06 04:48:00	I Fall To Pieces
I Feel Alright	Steve Earle	2016-12-06 04:51:00	I Feel Alright
Past Masters, Vol. 1	The Beatles	2016-12-06 04:55:00	I Feel Fine
Fresh Cream	Cream	2016-12-06 04:57:00	I Feel Free
Startime (2)	James Brown	2016-12-06 05:00:00	I Feel Good
Rumour And Sigh	Richard Thompson	2016-12-06 05:07:00	I Feel So Good
Tapestry	Carole King	2016-12-06 05:10:00	I Feel The Earth Move
I Fought The Law	The Bobby Fuller Four	2016-12-06 05:13:00	I Fought The Law
The Clash	The Clash	2016-12-06 05:15:00	I Fought The Law
Pretenders II	The Pretenders	2016-12-06 05:24:00	I Go To Sleep
The Family That Plays Together	Spirit	2016-12-06 05:28:00	I Got A Line On You
Elvis Presley	Elvis Presley	2016-12-06 05:31:00	I Got A Woman
The Birth Of Soul, Vol.2	Ray Charles	2016-12-06 05:33:00	I Got A Woman
How Will The Wolf Survive?	Los Lobos	2016-12-06 05:36:00	I Got Loaded
The Best Of...	Slim Harpo	2016-12-06 05:40:00	I Got Love If You Want It
Aja	Steely Dan	2016-12-06 05:42:00	I Got The News
True Colours	Split Enz	2016-12-06 05:47:00	I Got You
The Best Of Joe Tex	Joe Tex	2016-12-06 05:55:00	I Gotcha
Even More Nuggets - Classics From The Psychedelic Sixties, Vol. 3	The Electric Prunes	2016-12-06 05:57:00	I Had Too Much To Dream (Last Night)
Security	Peter Gabriel	2016-12-06 06:00:00	I Have The Touch
I Hear A Symphony	The Supremes	2016-12-06 06:05:00	I Hear A Symphony
Rockpile	Dave Edmunds	2016-12-06 06:07:00	I Hear You Knockin'
Cosmo's Factory	Creedence Clearwater Revival	2016-12-06 06:12:00	I Heard It Through The Grapevine
Greatest Hits	Marvin Gaye	2016-12-06 06:26:00	I Heard It Through The Grapevine
Closing Time	Tom Waits	2016-12-06 06:29:00	I Hope That I Don't Fall In Love With You
Brother To Brother	Gino Vannelli	2016-12-06 06:33:00	I Just Wanna Stop
Flowing Rivers	Andy Gibb	2016-12-06 06:36:00	I Just Want To Be Your Everything
Exile On Main Street	The Rolling Stones	2016-12-06 06:43:00	I Just Want To See His Face
Lucinda Williams	Lucinda Williams	2016-12-06 06:45:00	I Just Wanted To See You So Bad
Pet Sounds	The Beach Boys	2016-12-06 06:48:00	I Just Wasn't Made For These Times
The Scepter Records Story	Chuck Jackson	2016-12-06 06:54:00	I Keep Forgettin'
If That's What It Takes	Michael McDonald	2016-12-06 06:57:00	I Keep Forgettin'
Jill Sobule	Jill Sobule	2016-12-06 07:01:00	I Kissed a Girl
Give It Up	Bonnie Raitt	2016-12-06 07:13:00	I Know
Street Survivors	Lynyrd Skynyrd	2016-12-06 07:23:00	I Know A Little
Small Town Heroes	Hurray For The Riff Raff	2016-12-06 07:26:00	I Know It's Wrong (But That's Alright)
Pet Sounds	The Beach Boys	2016-12-06 07:29:00	I Know There's An Answer
Wasn't Tomorrow Wonderful	The Waitresses	2016-12-06 07:32:00	I Know What Boys Like
Selling England By The Pound	Genesis	2016-12-06 07:35:00	I Know What I Like
Var - James Brown's Funky People, Pt. 2	Bobby Byrd	2016-12-06 07:42:00	I Know You Got Soul
Tony Bennett: All-time Greatest Hits	Tony Bennett	2016-12-06 07:53:00	I Left My Heart In San Francisco
Sonia Dada	Sonia Dada	2016-12-06 08:00:00	I Live Alone
Songs Of The Free	Gang Of Four	2016-12-06 08:09:00	I Love A Man In Uniform
Family Reunion	The O'Jays	2016-12-06 08:14:00	I Love Music
The Best Of Thomas Dolby	Thomas Dolby	2016-12-06 08:26:00	I Love You Goodbye
New Sensations	Lou Reed	2016-12-06 08:40:00	I Love You Suzanne
Anthology	Nina Simone	2016-12-06 08:44:00	I Loves You Porgy
Let It Be	The Beatles	2016-12-06 08:48:00	I Me Mine
After The Snow	Modern English	2016-12-06 08:53:00	I Melt With You
Nouvelle Vague	Nouvelle Vague	2016-12-06 08:57:00	I Melt With You
The Whole Love	Wilco	2016-12-06 09:02:00	I Might
Lovers In The City	Tanita Tikaram	2016-12-06 09:05:00	I Might Be Crying
Amnesiac	Radiohead	2016-12-06 09:09:00	I Might Be Wrong
Rumour And Sigh	Richard Thompson	2016-12-06 09:16:00	I Misunderstood
A.M.	Wilco	2016-12-06 09:20:00	I Must Be High
Radio	LL Cool J	2016-12-06 09:23:00	I Need A Beat
I Need A Dollar (How To Make It In America) - EP	Aloe Blacc	2016-12-06 09:27:00	I Need A Dollar (How To Make It In America)
Shakedown Street	Grateful Dead	2016-12-06 09:37:00	I Need A Miracle
Bad	LL Cool J	2016-12-06 09:41:00	I Need Love
The Acoustic Motorbike	Luka Bloom	2016-12-06 09:46:00	I Need Love
Help!	The Beatles	2016-12-06 10:03:00	I Need You
Make Do With What You Got	Solomon Burke	2016-12-06 10:05:00	I Need Your Love In My Life
I Never Loved A Man The Way I Love You	Aretha Franklin	2016-12-06 10:10:00	I Never Loved a Man (The Way I Love You)
Flamingo Serenade	The Flamingos	2016-12-06 10:13:00	I Only Have Eyes For You
(single)	Dusty Springfield	2016-12-06 10:17:00	I Only Want To Be With You
Two Steps From The Blues	"Bobby ""Blue"" Bland"	2016-12-06 10:19:00	I Pity The Fool
Voodoo Jive: The Best Of Screamin' Jay Hawkins	Screamin' Jay Hawkins	2016-12-06 10:22:00	I Put A Spell On You
A Flock Of Seagulls	A Flock Of Seagulls	2016-12-06 10:24:00	I Ran (So Far Away)
I Robot	The Alan Parsons Project	2016-12-06 10:28:00	I Robot
Something/Anything?	Todd Rundgren	2016-12-06 10:34:00	I Saw the Light
The Windows Of The World	Dionne Warwick	2016-12-06 10:38:00	I Say A Little Prayer
The Phosphorescent Rat	Hot Tuna	2016-12-06 10:51:00	I See The Light
Music From Big Pink	The Band	2016-12-06 10:55:00	I Shall Be Released
461 Ocean Boulevard	Eric Clapton	2016-12-06 11:06:00	I Shot The Sheriff
A Hard Day's Night	The Beatles	2016-12-06 11:12:00	I Should Have Known Better
Idea	Bee Gees	2016-12-06 11:14:00	I Started A Joke
The Joshua Tree	U2	2016-12-06 11:17:00	I Still Haven't Found What I'm Looking For
At Folsom Prison	Johnny Cash	2016-12-06 11:22:00	I Still Miss Someone
In The Court Of The Crimson King	King Crimson	2016-12-06 11:24:00	I Talk To The Wind
The Glow	Bonnie Raitt	2016-12-06 11:31:00	I Thank You
Deguello	ZZ Top	2016-12-06 11:37:00	I Thank You
Randy Newman	Randy Newman	2016-12-06 11:41:00	I Think It's Going To Rain Today
Treat Her Right	Treat Her Right	2016-12-06 11:44:00	I Think She Likes Me
For Everyman	Jackson Browne	2016-12-06 11:51:00	I Thought I Was A Child
Divinyls	Divinyls	2016-12-06 11:55:00	I Touch Myself
On How Life Is	Macy Gray	2016-12-06 11:59:00	I Try
Gimme Fiction	Spoon	2016-12-06 12:03:00	I Turn My Camera On
Privateering	Mark Knopfler	2016-12-06 12:07:00	I Used To Could
Gris-gris	Dr. John	2016-12-06 12:13:00	I Walk On Gilded Splinters
I Walk The Line	Johnny Cash	2016-12-06 12:20:00	I Walk The Line
The Stone Roses	The Stone Roses	2016-12-06 12:30:00	I Wanna Be Adored
Road To Ruin	The Ramones	2016-12-06 12:34:00	I Wanna Be Sedated
Capitol Collector's Series	The Raspberries	2016-12-06 12:37:00	I Wanna Be With You
Prince	Prince	2016-12-06 12:40:00	I Wanna Be Your Lover
Underwater Moonlight	The Soft Boys	2016-12-06 12:43:00	I Wanna Destroy You
The River	Bruce Springsteen	2016-12-06 12:46:00	I Wanna Marry You
Bellybutton	Jellyfish	2016-12-06 12:50:00	I Wanna Stay Home
Last Of The Mohicans	Bow Wow Wow	2016-12-06 12:55:00	I Want Candy
Sloopy: The Songs Of Bert Berns	The Strangeloves	2016-12-06 12:57:00	I Want Candy
Past Masters, Volume 1	The Beatles	2016-12-06 13:00:00	I Want To Hold Your Hand
I Want To See The Bright Lights Tonight	Richard Thompson	2016-12-06 13:03:00	I Want To See The Bright Lights Tonight
Time (The Revelator)	Gillian Welch	2016-12-06 13:06:00	I Want To Sing That Rock And Roll
Revolver	The Beatles	2016-12-06 13:15:00	I Want To Tell You
Blonde On Blonde	Bob Dylan	2016-12-06 13:18:00	I Want You
