album	artist	time	track
Era Vulgaris	Queens Of The Stone Age	2017-04-09 12:01:00	3's & 7's
Relaxer	Alt-J	2017-04-09 12:05:00	3WW
Deja Vu	Crosby Stills Nash & Young	2017-04-09 12:10:00	4 & 20
War	U2	2017-04-09 12:14:00	40
Up From Below	Edward Sharpe & The Magnetic Zeros	2017-04-09 12:17:00	40 Day Dream
Uncomplicated	Ellis Hooks	2017-04-09 12:21:00	40 Days And 40 Nights
Traffic	Traffic	2017-04-09 12:25:00	40,000 Headmen
Little Deuce Coupe	The Beach Boys	2017-04-09 12:30:00	409
Viva La Vida	Coldplay	2017-04-09 12:32:00	42
When I Was Cruel	Elvis Costello	2017-04-09 12:36:00	45
Handwritten	The Gaslight Anthem	2017-04-09 12:39:00	45
Round Room	Phish	2017-04-09 12:43:00	46 Days
The Clash	The Clash	2017-04-09 12:50:00	48 Hours
Crosby, Stills & Nash	Crosby Stills & Nash	2017-04-09 12:51:00	49 Bye-byes
A Flourish And A Spoil	The Districts	2017-04-09 12:57:00	4th and Roebling
Whatever	Aimee Mann	2017-04-09 13:02:00	4th Of July
See How We Are	X	2017-04-09 13:05:00	4th Of July
The Wild, The Innocent & The E Street Shuffle	Bruce Springsteen	2017-04-09 13:09:00	4th Of July, Asbury Park (Sandy)
Blonde On Blonde	Bob Dylan	2017-04-09 13:16:00	4th Time Around
5 Days In July	Blue Rodeo	2017-04-09 13:21:00	5 Days In May
My Nation Underground	Julian Cope	2017-04-09 13:25:00	5 O'Clock World
Quadrophenia	The Who	2017-04-09 13:31:00	5:15
Heathen	David Bowie	2017-04-09 13:35:00	5:15 The Angels Have Gone
Over The Bridge of Time	Paul Simon	2017-04-09 13:42:00	50 Ways To Leave Your Lover
Lovelife	Lush	2017-04-09 13:45:00	500
The List	Rosanne Cash	2017-04-09 13:49:00	500 Miles
Abnormally Attracted To Sin	Tori Amos	2017-04-09 13:52:00	500 Miles
51 Phantom	North Mississippi Allstars	2017-04-09 13:57:00	51 Phantom
5-10-15-20 (25-30 Years of Love)	The Presidents	2017-04-09 14:01:00	5-10-15-20 (25-30 Years of Love)
(single)	The Jimi Hendrix Experience	2017-04-09 14:04:00	51st Anniversary
The B-52's	B-52's	2017-04-09 14:07:00	52 Girls
52nd Street	Billy Joel	2017-04-09 14:11:00	52nd Street
Wild Planet	B-52's	2017-04-09 14:14:00	53 Miles West Of Venus
Ramones	The Ramones	2017-04-09 14:19:00	53rd & 3rd
Jammin'	Toots & The Maytals	2017-04-09 14:22:00	54-46 (Thats My Number)
Human Touch	Bruce Springsteen	2017-04-09 14:24:00	57 Channels (And Nothin' On)
Parsley Sage Rosemary And Thyme	Simon & Garfunkel	2017-04-09 14:28:00	59th Street Bridge Song (Feelin' Groovy)
Fifth Dimension	The Byrds	2017-04-09 14:30:00	5D (Fifth Dimension)
More Than Just a Dream	Fitz & The Tantrums	2017-04-09 14:32:00	6 AM
Okemah And The Melody Of Riot	Son Volt	2017-04-09 14:37:00	6 String Belief
Becoming X	Sneaker Pimps	2017-04-09 14:41:00	6 Underground
Exile In Guyville	Liz Phair	2017-04-09 14:45:00	"6'1"""
Terrible Town	Olin & The Moon	2017-04-09 14:48:00	'63
The Essentials: Wilson Pickett	Wilson Pickett	2017-04-09 14:54:00	634-5789 (Soulsville, U.S.A)
1965	The Afghan Whigs	2017-04-09 14:57:00	66
2	Retribution Gospel Choir	2017-04-09 15:01:00	'68 Comeback
Bringing Down The Horse	The Wallflowers	2017-04-09 15:02:00	6th Avenue Heartache
De Capo	Love	2017-04-09 15:08:00	7 And 7 Is
Traveling Wilburys Vol. 3	Traveling Wilburys	2017-04-09 15:13:00	7 Deadly Sins
The Guide	Youssou N'Dour	2017-04-09 15:16:00	7 Seconds
Broken Social Scene	Broken Social Scene	2017-04-09 15:21:00	7/4 (Shoreline)
War Babies	Hall & Oates	2017-04-09 15:26:00	70's Scenario
Ring	The Connells	2017-04-09 15:33:00	'74-'75
What Time Is It?	The Time	2017-04-09 15:38:00	777-9311
22, A Million	Bon Iver	2017-04-09 15:47:00	8 (circle)
