album	artist	time	track
Hot Buttered Soul	Isaac Hayes	2016-12-16 00:00:00	Walk On By
Fear	Toad The Wet Sprocket	2016-12-16 00:12:00	Walk On The Ocean
Transformer	Lou Reed	2016-12-16 00:15:00	Walk on the Wild Side
Bashin'	Jimmy Smith	2016-12-16 00:19:00	Walk on the Wild Side
Raising Hell	Run-DMC	2016-12-16 00:25:00	Walk This Way
Sky Blue Sky	Wilco	2016-12-16 00:30:00	Walken
The Patsy Cline Story	Patsy Cline	2016-12-16 00:35:00	Walkin' After Midnight
Stax 50th Anniversary Celebration	Rufus Thomas	2016-12-16 00:37:00	Walkin' The Dog
Best Of...	Fats Domino	2016-12-16 00:39:00	Walkin' To New Orleans
The Trinity Sessions	Cowboy Junkies	2016-12-16 00:42:00	Walking After Midnight
Electric Landlady	Kirsty MacColl	2016-12-16 00:48:00	Walking Down Madison
Spring Session M	Missing Persons	2016-12-16 00:54:00	Walking In L. A.
Marc Cohn	Marc Cohn	2016-12-16 00:58:00	Walking In Memphis
When The Eagle Flies	Traffic	2016-12-16 01:03:00	Walking In The Wind
The Blackbyrds	The Blackbyrds	2016-12-16 01:09:00	Walking In Rhythm
Synchronicity	The Police	2016-12-16 01:13:00	Walking In Your Footsteps
Songs Of Truth And Devotion	Depeche Mode	2016-12-16 01:17:00	Walking In My Shoes
Diva	Annie Lennox	2016-12-16 01:22:00	Walking On Broken Glass
Regatta De Blanc	The Police	2016-12-16 01:26:00	Walking On The Moon
Rain Dogs	Tom Waits	2016-12-16 01:31:00	Walking Spanish
So Jealous	Tegan And Sara	2016-12-16 01:34:00	Walking With A Ghost
Shoot Out The Lights	Richard Thompson	2016-12-16 01:36:00	Wall Of Death
She's The One (soundtrack)	Tom Petty	2016-12-16 01:42:00	Walls (Circus)
Xo	Elliott Smith	2016-12-16 01:46:00	Waltz #2
What It Takes - The Chess Years	Koko Taylor	2016-12-16 01:50:00	Wang Dang Doodle
Thriller	Michael Jackson	2016-12-16 01:55:00	Wanna Be Startin' Somethin'
Sweet Replies	The Honey Cone	2016-12-16 02:01:00	Want Ads
Soul Hits of the 70s	Edwin Starr	2016-12-16 02:03:00	War
Rarities	Cake	2016-12-16 02:07:00	War Pigs
There Goes Rhymin Simon	Paul Simon	2016-12-16 02:11:00	Was A Sunny Day
Rant	Ian Hunter	2016-12-16 02:15:00	Wash Us Away
The Notorious Byrd Brothers	The Byrds	2016-12-16 02:19:00	Wasn't Born To Follow
Walls	Kings Of Leon	2016-12-16 02:21:00	Waste A Moment
Brothers And Sisters	The Allman Brothers	2016-12-16 02:24:00	Wasted Words
On and On	Jack Johnson	2016-12-16 02:28:00	Wasting Time
Aladdin Sane	David Bowie	2016-12-16 02:34:00	Watch That Man
Genesis Live	Genesis	2016-12-16 02:38:00	Watcher Of The Skies
My Aim Is True	Elvis Costello	2016-12-16 02:46:00	Watching The Detectives
Greatest Hits Vol.2 Disc 1	Bob Dylan	2016-12-16 02:49:00	Watching The River Flow
Double Fantasy	John Lennon	2016-12-16 02:53:00	Watching The Wheels
nikki-nack	tUnE-yArDs	2016-12-16 02:57:00	Water Fountain
Dire Straits	Dire Straits	2016-12-16 03:00:00	Water Of Love
Burgers	Hot Tuna	2016-12-16 03:05:00	Water Song
Joan Armatrading	Joan Armatrading	2016-12-16 03:10:00	Water With The Wine
Reality	David Bowie	2016-12-16 03:14:00	Waterloo Sunset
Something Else	The Kinks	2016-12-16 03:18:00	Waterloo Sunset
Greatest Hits	Mongo Santamaria	2016-12-16 03:21:00	Watermelon Man
Doolittle	The Pixies	2016-12-16 03:24:00	Wave Of Mutilation
Wavelength	Van Morrison	2016-12-16 03:26:00	Wavelength
Troubadour	K'naan	2016-12-16 03:31:00	Wavin' Flag
Goodbye Jumbo	World Party	2016-12-16 03:36:00	Way Down Now
Lone Justice	Lone Justice	2016-12-16 03:40:00	Ways To Be Wicked
Blue Rider	Zachary Cale	2016-12-16 03:43:00	Wayward Son
18	Moby	2016-12-16 03:48:00	We Are All Made Of Stars
We Are Family	Sister Sledge	2016-12-16 03:52:00	We Are Family
News Of The World	Queen	2016-12-16 03:57:00	We Are The Champions
Some Nights	fun.	2016-12-16 04:00:00	We Are Young
Pirates	Rickie Lee Jones	2016-12-16 04:04:00	We Belong Together
Knee Deep In The Hoopla	Starship	2016-12-16 04:09:00	We Built This City
Signed Sealed Delivered	Stevie Wonder	2016-12-16 04:15:00	We Can Work It Out
Past Masters, Vol. 2	The Beatles	2016-12-16 04:18:00	We Can Work It Out
Storm Front	Billy Joel	2016-12-16 04:20:00	We Didn't Start The Fire
Greatest Hits	Dyke & The Blazers	2016-12-16 04:25:00	We Got More Soul
Roots	Curtis Mayfield	2016-12-16 04:27:00	We Got To Have Peace
All-Time Greatest Hits	The Animals	2016-12-16 04:32:00	We Gotta Get Out Of This Place
Runt	Todd Rundgren	2016-12-16 04:35:00	We Gotta Get You A Woman
Let It Flow	Dave Mason	2016-12-16 04:38:00	We Just Disagree
The Luxury Gap	Heaven 17	2016-12-16 04:43:00	We Live So Fast
Simple Truths	Holmes Brothers	2016-12-16 04:47:00	We Meet, We Part, We Remember
Pete Seeger's Greatest Hits	Pete Seeger	2016-12-16 04:51:00	We Shall Overcome
Wrecking Ball	Bruce Springsteen	2016-12-16 04:56:00	We Take Care Of Our Own
Welcome To The Monkey House	The Dandy Warhols	2016-12-16 05:00:00	We Used To Be Friends
Robbers & Cowards	Cold War Kids	2016-12-16 05:03:00	We Used To Vacation
Fisherman's Blues	The Waterboys	2016-12-16 05:08:00	We Will Not Be Lovers
News Of The World	Queen	2016-12-16 05:15:00	We Will Rock You / We Are The Champions
A Gift From A Flower To A Garden	Donovan	2016-12-16 05:21:00	Wear Your Love Like Heaven
Up, Up, And Away	The Fifth Dimension	2016-12-16 05:24:00	Wedding Bell Blues
Telling Stories	Tracy Chapman	2016-12-16 05:27:00	Wedding Song
Welcome To My Nightmare	Alice Cooper	2016-12-16 05:31:00	Welcome To My Nightmare
Welcome To My Party	Rusted Root	2016-12-16 05:37:00	Welcome To My Party
Boomtown	David & David	2016-12-16 05:40:00	Welcome To The Boomtown
So What	Joe Walsh	2016-12-16 05:46:00	Welcome To The Club
Wish You Were Here	Pink Floyd	2016-12-16 05:52:00	Welcome To The Machine
My Aim Is True	Elvis Costello	2016-12-16 05:59:00	Welcome To The Working Week
Fear Of A Black Planet	Public Enemy	2016-12-16 06:01:00	Welcome To The Terrordome
Rust Never Sleeps	Neil Young	2016-12-16 06:07:00	Welfare Mothers
Blind Faith	Blind Faith	2016-12-16 06:13:00	Well Alright
We're A Winner	The Impressions	2016-12-16 06:17:00	We're A Winner
We're An American Band	Grand Funk Railroad	2016-12-16 06:22:00	We're An American Band
White Blood Cells	The White Stripes	2016-12-16 06:25:00	We're Going To Be Friends
Tommy	The Who	2016-12-16 06:28:00	We're Not Gonna Take It
Excitable Boy	Warren Zevon	2016-12-16 06:37:00	Werewolves Of London
Ultraviolence	Lana Del Rey	2016-12-16 06:40:00	West Coast
Please	Pet Shop Boys	2016-12-16 06:44:00	West End Girls
In The Dark	Grateful Dead	2016-12-16 06:51:00	West L.A. Fadeaway
Shadowland	k. d. lang	2016-12-16 06:58:00	Western Stars
1967: The Beat Goes On	The Five Americans	2016-12-16 07:02:00	Western Union
Live - Full House	The J. Geils Band	2016-12-16 07:04:00	Whammer Jammer
Grateful Dead	Grateful Dead	2016-12-16 07:09:00	Wharf Rat
What A Crying Shame	The Mavericks	2016-12-16 07:17:00	What A Crying Shame
The Stax Story	Linda Lyndell	2016-12-16 07:23:00	What A Man
Z	My Morning Jacket	2016-12-16 07:25:00	What A Wonderful Man
What About Me	Quicksilver Messenger Service	2016-12-16 07:28:00	What About Me
Poseidon And The Bitter Bug	Indigo Girls	2016-12-16 07:34:00	What Are You Like
Jimmy Ruffin Sings Top Ten	Jimmy Ruffin	2016-12-16 07:40:00	What Becomes Of The Brokenhearted
Standing In The Shadows Of Motown (soundtrack)	Joan Osborne	2016-12-16 07:43:00	What Becomes Of The Brokenhearted
Silk Degrees	Boz Scaggs	2016-12-16 07:47:00	What Can I Say
