album	artist	time	track
Absolute Garbage	Garbage	2017-04-07 19:02:00	#1 Crush
Double Nickels On The Dime	Minutemen	2017-04-07 19:06:00	#1 Hit Song
Under The Table And Dreaming	Dave Matthews Band	2017-04-07 19:11:00	#34
Crash	Dave Matthews Band	2017-04-07 19:16:00	#41
Walls And Bridges	John Lennon	2017-04-07 19:24:00	#9 Dream
The Secret Life of Walter Mitty (Soundtrack)	Jose Gonzalez	2017-04-07 19:28:00	#9 Dream
Instant Karma - The Campaign To Save Darfur	R.E.M.	2017-04-07 19:34:00	#9 Dream
Grievous Angel	Gram Parsons	2017-04-07 19:40:00	$1,000 Wedding
My Aim Is True	Elvis Costello	2017-04-07 19:45:00	(Angels Want To Wear My) Red Shoes
Hold On!	James Hunter Six	2017-04-07 19:48:00	(Baby) Hold On
Supernatural	Santana	2017-04-07 19:51:00	(Da Le) Yaleo
Divisionary	Ages and Ages	2017-04-07 19:57:00	(Divisionary) Do The Right Thing
Look Sharp	Joe Jackson	2017-04-07 20:01:00	(Do The) Instant Mash
The Complete Stax-Volt Soul Singles, Vol. 2: 1968-1971	Rufus Thomas	2017-04-07 20:06:00	(Do The) Push And Pull (Part 1)
Agents Of Fortune	Blue Oyster Cult	2017-04-07 20:13:00	(Don't Fear) The Reaper
R.E.M. Live	R.E.M.	2017-04-07 20:18:00	(Don't Go Back To) Rockville
Curtis	Curtis Mayfield	2017-04-07 20:23:00	(Don't Worry) If There's A Hell Below
Rings Around The World	Super Furry Animals	2017-04-07 20:30:00	(Drawing) Rings Around The World
Something To Love	L.T.D.	2017-04-07 20:34:00	(Every Time I Turn Around) Back In Love Again
Every Picture Tells A Story	Rod Stewart	2017-04-07 20:39:00	(Find A) Reason To Believe
Rattus Norvegicus	The Stranglers	2017-04-07 20:43:00	(Get A) Grip (On Yourself)
Captain Fantastic And The Brown Dirt Cowboy	Elton John	2017-04-07 20:47:00	(Gotta Get) A Meal Ticket
1939-1940	Cab Calloway	2017-04-07 20:51:00	(Hep-Hep!) The Jumpin Jive
Reunion	B.J. Thomas	2017-04-07 20:55:00	(Hey Won't You Play) Another Somebody Done Somebody Wrong Song
The Stiff Records Box	Richard Hell & The Voidoids	2017-04-07 20:59:00	(I Belong To The) Blank Generation
Q: Are We Not Men A: We Are Devo	Devo	2017-04-07 21:02:00	(I Can't Get No) Satisfaction
Out Of Our Heads	The Rolling Stones	2017-04-07 21:04:00	(I Can't Get No) Satisfaction
She	Harry Connick Jr	2017-04-07 21:10:00	(I Could Only) Whisper Your Name
That Would Be Me	Harry Connick Jr	2017-04-07 21:15:00	(I Do) Like We Do
This Year's Model	Elvis Costello	2017-04-07 21:19:00	(I Don't Want To Go To) Chelsea
Cry And Moan	Eddie Hinton	2017-04-07 21:22:00	(I Got To) Testify
Ecology	Rare Earth	2017-04-07 21:27:00	(I Know) I'm Losing You
Every Picture Tells A Story	Rod Stewart	2017-04-07 21:31:00	(I Know) I'm Losing You
With A Lot O' Soul	The Temptations	2017-04-07 21:36:00	(I Know) I'm Losing You
The Key	Joan Armatrading	2017-04-07 21:39:00	(I Love It When You) Call Me Names
Pure Pop For Now People	Nick Lowe	2017-04-07 21:42:00	(I Love The Sound Of) Breaking Glass
If Loving You Is Wrong I Don't Want To Be Right	Luther Ingram	2017-04-07 21:45:00	(If Loving You Is Wrong) I Don't Want To Be Right
Salvation (soundtrack)	Ronnie Dyson	2017-04-07 21:49:00	(If You Let Me Make Love To You Then) Why Can't I Touch You?
Hitsville USA: The Motown Singles Collection	Jr. Walker & The All-Stars	2017-04-07 21:53:00	(I'm A) Roadrunner
More Of The Monkees	The Monkees	2017-04-07 21:56:00	(I'm Not Your) Steppin' Stone
Teachers (soundtrack)	Ian Hunter	2017-04-07 21:58:00	(I'm The) Teacher
(I'm) Stranded	The Saints	2017-04-07 22:02:00	(I'm) Stranded
Chicago VII	Chicago	2017-04-07 22:06:00	(I've Been) Searchin' So Long
Dirty Dancing (legacy Edition)	Bill Medley & Jennifer Warnes	2017-04-07 22:13:00	(I've Had) The Time Of My Life
Double Fantasy	John Lennon	2017-04-07 22:19:00	(Just Like) Starting Over
Fascination	The Human League	2017-04-07 22:24:00	(Keep Feeling) Fascination
Loving You	Elvis Presley	2017-04-07 22:27:00	(Let Me Be Your) Teddy Bear
The Heart Of Saturday Night	Tom Waits	2017-04-07 22:29:00	(Looking For) The Heart Of Saturday Night
Motown 1's	Martha Reeves & The Vandellas	2017-04-07 22:33:00	(Love Is Like A) Heat Wave
Can't Stand The Rezillos	The Rezillos	2017-04-07 22:36:00	(My Baby Does) Good Sculptures
The Bends	Radiohead	2017-04-07 22:39:00	(Nice Dream)
Uncle Jam Wants You	Funkadelic	2017-04-07 22:44:00	(Not Just) Knee Deep
