album	artist	release_year	time	track
Ritual De Lo Habitual	Jane's Addiction		2016-12-01 05:44:00	Been Caught Stealing
Wrong Way Up	Brian Eno and John Cale		2016-12-01 05:47:00	Been There Done That
Mirror Blue	Richard Thompson		2016-12-01 05:50:00	Beeswing
Some Girls	The Rolling Stones		2016-12-01 05:55:00	Before They Make Me Run
Unplugged	Eric Clapton		2016-12-01 05:59:00	Before You Accuse Me
The Velvet Underground	The Velvet Underground		2016-12-01 06:09:00	Beginning To See The Light
The Chicago Transit Authority	Chicago Transit Authority		2016-12-01 06:14:00	Beginnings
Who's Next	The Who		2016-12-01 06:25:00	Behind Blue Eyes
Especially For You	The Smithereens		2016-12-01 06:29:00	Behind The Wall Of Sleep
Sgt. Pepper's Lonely Hearts Club Band	The Beatles		2016-12-01 06:32:00	Being For The Benefit Of Mr. Kite!
Continuum	John Mayer		2016-12-01 06:37:00	Belief
Are You Gonna Go My Way?	Lenny Kravitz		2016-12-01 06:41:00	Believe
Orange	Jon Spencer Blues Explosion		2016-12-01 06:56:00	Bellbottoms
Grave New World	Strawbs		2016-12-01 07:01:00	Benedictus
Goodbye Yellow Brick Road	Elton John		2016-12-01 07:05:00	Bennie and the Jets
Human Performance	Parquet Courts		2016-12-01 07:13:00	Berlin Got Blurry
Heroes Are Hard To Find	Fleetwood Mac		2016-12-01 07:16:00	Bermuda Triangle
Four Tops Anthology	Four Tops		2016-12-01 07:23:00	Bernadette
Grateful Dead	Grateful Dead		2016-12-01 07:26:00	Bertha
case/lang/veirs	case/lang/veirs		2016-12-01 07:31:00	Best Kept Secret
The Stylistics	The Stylistics		2016-12-01 07:35:00	Betcha By Golly Wow
Coming Home	Leon Bridges		2016-12-01 07:43:00	Better Man
Vitology	Pearl Jam		2016-12-01 07:46:00	Better Man
Grand National	John Butler Trio		2016-12-01 07:53:00	Better Than
Give the People What They Want	The Kinks		2016-12-01 07:56:00	Better Things
Stax-volt Singles	Eddie Floyd		2016-12-01 08:00:00	Big Bird
Simple Truths	Holmes Brothers		2016-12-01 08:02:00	Big Boss Man
The Music Never Stopped - Roots Of The Grateful Dead	Jimmy Reed		2016-12-01 08:05:00	Big Boss Man
Gumbo	Dr. John		2016-12-01 08:09:00	Big Chief
The Waterfall	My Morning Jacket		2016-12-01 08:13:00	Big Decisions
Lone Rhino	Adrian Belew		2016-12-01 08:17:00	Big Electric Cat
Talk Is Cheap	Keith Richards		2016-12-01 08:24:00	Big Enough
21 (soundtrack)	LCD Soundsystem		2016-12-01 08:28:00	Big Ideas
Brand New Day	Sting		2016-12-01 08:33:00	Big Lie Small World
The Principal Of Moments	Robert Plant		2016-12-01 08:41:00	Big Log
Foo Fighters	Foo Fighters		2016-12-01 08:46:00	Big Me
The Lumineers	The Lumineers		2016-12-01 08:51:00	Big Parade
At San Quentin	Johnny Cash		2016-12-01 08:56:00	Big River
Living With The Law	Chris Whitley		2016-12-01 08:59:00	Big Sky Country
So	Peter Gabriel		2016-12-01 09:03:00	Big Time
Debut	Bjork		2016-12-01 09:08:00	Big Time Sensuality
Ladies Of The Canyon	Joni Mitchell		2016-12-01 09:12:00	Big Yellow Taxi
Heavier Things	John Mayer		2016-12-01 09:14:00	Bigger Than My Body
The Queen Is Dead	The Smiths		2016-12-01 09:21:00	Bigmouth Strikes Again
Peter Gabriel (iii)	Peter Gabriel		2016-12-01 09:25:00	Biko
Heart Like A Levee	Hiss Golden Messenger		2016-12-01 09:33:00	Biloxi
The Next Hundred Years	Ted Hawkins		2016-12-01 09:35:00	Biloxi
Natalie Prass	Natalie Prass		2016-12-01 09:40:00	Bird Of Prey
Flood	They Might Be Giants		2016-12-01 09:45:00	Birdhouse In Your Soul
Heavy Weather	Weather Report		2016-12-01 09:50:00	Birdland
Life's Too Good	Sugarcubes		2016-12-01 09:56:00	Birthday
Sticky Fingers	The Rolling Stones		2016-12-01 10:00:00	Bitch
5 By Five	Dave Clark Five		2016-12-01 10:04:00	Bits And Pieces
New Adventures In Hi-fi	R. E. M.		2016-12-01 10:13:00	Bittersweet Me
Urban Hymns	The Verve		2016-12-01 10:18:00	Bittersweet Symphony
Marvin The Album	Frente		2016-12-01 10:24:00	Bizarre Love Triangle
Brotherhood	New Order		2016-12-01 10:26:00	Bizarre Love Triangle
Ten	Pearl Jam		2016-12-01 10:30:00	Black
Sunbathing Animal	Parquet Courts		2016-12-01 10:36:00	Black And White
Black Cadillac	Rosanne Cash		2016-12-01 10:41:00	Black Cadillac
Sweets From A Stranger	Squeeze		2016-12-01 10:45:00	Black Coffee In Bed
Aja	Steely Dan		2016-12-01 10:53:00	Black Cow
Katy Lied	Steely Dan		2016-12-01 10:59:00	Black Friday
Grave Dancers Union	Soul Asylum		2016-12-01 11:03:00	Black Gold
The Allman Brothers Band	The Allman Brothers		2016-12-01 11:08:00	Black Hearted Woman
Black Is Black	Los Bravos		2016-12-01 11:16:00	Black Is Black
Abraxas	Santana		2016-12-01 11:21:00	Black Magic Woman/gypsy Queen
Neon Bible	Arcade Fire		2016-12-01 11:26:00	Black Mirror
Kintsugi	Death Cab For Cutie		2016-12-01 11:30:00	Black Sun
What Were Once Vices Are Now Habits	The Doobie Brothers		2016-12-01 11:34:00	Black Water
Deregulating Jazz (art Of The Trio 1)	Brad Mehldau		2016-12-01 11:40:00	Blackbird
The Beatles	The Beatles		2016-12-01 11:44:00	Blackbird
Distilation	Erin McKeown		2016-12-01 11:47:00	Blackbirds
My Aim Is True	Elvis Costello		2016-12-01 11:53:00	Blame It On Cain
Wanted on Voyage	George Ezra		2016-12-01 11:55:00	Blame It On Me
Some Great Reward	Depeche Mode		2016-12-01 12:03:00	Blasphemous Rumors
Naked	Talking Heads		2016-12-01 12:10:00	Blind
Greetings From Asbury Park, New Jersey	Bruce Springsteen		2016-12-01 12:15:00	Blinded By The Light
Violent Femmes	Violent Femmes		2016-12-01 12:22:00	Blister In The Sun
Ramones	The Ramones		2016-12-01 12:24:00	Blitzkrieg Bop
Dig Your Own Hole	Chemical Brothers		2016-12-01 12:26:00	Block Rockin' Beats
High Violet	The National		2016-12-01 12:35:00	Bloodbuzz Ohio
Crime Of The Century	Supertramp		2016-12-01 12:39:00	Bloody Well Right
Blue	Joni Mitchell		2016-12-01 12:44:00	Blue
Tomorrow The Green Grass	The Jayhawks		2016-12-01 12:47:00	Blue
Red Headed Stranger	Willie Nelson		2016-12-01 12:50:00	Blue Eyes Crying In The Rain
Magical Mystery Tour	The Beatles		2016-12-01 12:53:00	Blue Jay Way
Fleetwood Mac	Fleetwood Mac		2016-12-01 12:58:00	Blue Letter
Substance	New Order		2016-12-01 13:01:00	Blue Monday
His Band And Street Choir	Van Morrison		2016-12-01 13:06:00	Blue Money
Salt	Lizz Wright		2016-12-01 13:09:00	Blue Rose
Stardust	Willie Nelson		2016-12-01 13:15:00	Blue Skies
Eat A Peach	The Allman Brothers		2016-12-01 13:18:00	Blue Sky
The Complete Sun Singles	Carl Perkins		2016-12-01 13:25:00	Blue Suede Shoes
Elvis Presley	Elvis Presley		2016-12-01 13:28:00	Blue Suede Shoes
Perfectly Good Guitar	John Hiatt		2016-12-01 13:30:00	Blue Telescope
This Is Fats Domino!	Fats Domino		2016-12-01 13:34:00	Blueberry Hill
Buffalo Springfield Again	Buffalo Springfield		2016-12-01 13:38:00	Bluebird
Dancing The Blues	Taj Mahal		2016-12-01 13:46:00	Blues Ain't Nothing
Everything Must Go	Steely Dan		2016-12-01 13:52:00	Blues Beach
Covenant	Greg Brown		2016-12-01 13:57:00	Blues Go Walking
Eric Clapton	Eric Clapton		2016-12-01 14:06:00	Blues Power
Bo Diddley	Bo Diddley		2016-12-01 14:09:00	Bo Diddley
Born In The USA	Bruce Springsteen		2016-12-01 14:13:00	Bobby Jean
Countdown To Ecstasy	Steely Dan		2016-12-01 14:17:00	Bodhisattva
Hello Nasty	Beastie Boys		2016-12-01 14:22:00	Body Movin'
Thirteen Tales From Urban Bohemia	The Dandy Warhols		2016-12-01 14:25:00	Bohemian Like You
A Night At The Opera	Queen		2016-12-01 14:31:00	Bohemian Rhapsody
Axis: Bold As Love	Jimi Hendrix		2016-12-01 14:36:00	Bold As Love
Heaven Help The Fool	Bob Weir		2016-12-01 14:41:00	Bombs Away
Bend	The Origin		2016-12-01 14:48:00	Bonfires Burning
Bad Boy	Larry Williams		2016-12-01 14:57:00	Bony Moronie
The Classic Early Years 1948-1951	John Lee Hooker		2016-12-01 15:01:00	Boogie Chillen
Soul Hits Of The 70's - Didn't It Blow Your Mind! Vol. 12	Eddie Kendricks		2016-12-01 15:04:00	Boogie Down
Too Hot To Handle	Heatwave		2016-12-01 15:08:00	Boogie Nights
Fullfillingness First Finale	Stevie Wonder		2016-12-01 15:13:00	Boogie On Reggae Woman
Physical Graffiti	Led Zeppelin		2016-12-01 15:19:00	Boogie With Stu
Shepherd Moons	Enya		2016-12-01 15:23:00	Book Of Days
Night Food	The Heptones		2016-12-01 15:26:00	Book Of Rules
Boom Boom	John Lee Hooker		2016-12-01 15:32:00	Boom Boom
Sentimental Hygiene	Warren Zevon		2016-12-01 15:34:00	Boom Boom Mancini
His Best	Little Walter		2016-12-01 15:39:00	Boom, Boom Out Goes The Light
Shangri-La	Mark Knopfler		2016-12-01 15:42:00	Boom, Like That
Mosquitos	Mosquitos		2016-12-01 15:46:00	Boombox
The Blasters	The Blasters		2016-12-01 15:49:00	Border Radio
Elton John	Elton John		2016-12-01 15:52:00	Border Song
Madonna	Madonna		2016-12-01 16:00:00	Borderline
Rhythm Of The Saints	Paul Simon		2016-12-01 16:06:00	Born At The Right Time
Paul Butterfield Blues Band	Paul Butterfield Blues Band		2016-12-01 16:12:00	Born In Chicago
Born In The USA	Bruce Springsteen		2016-12-01 16:15:00	Born In The USA
Bayou Country	Creedence Clearwater Revival		2016-12-01 16:20:00	Born On The Bayou
Born To Run	Bruce Springsteen		2016-12-01 16:25:00	Born To Run
The American In Me	Steve Forbert		2016-12-01 16:33:00	Born Too Late
The Ultimate Collection	Albert King		2016-12-01 16:37:00	Born Under A Bad Sign
Remain In Light	Talking Heads		2016-12-01 16:40:00	Born Under Punches (the Heat Goes On)
Mutations	Beck		2016-12-01 16:47:00	Bottle Of Blues
Carry the Fire	Delta Rae		2016-12-01 16:52:00	Bottom of the River
Hold Out	Jackson Browne		2016-12-01 16:56:00	Boulevard
Lawn Boy	Phish		2016-12-01 17:00:00	Bouncing Around The Room
Revelator	Tedeschi Trucks Band		2016-12-01 17:04:00	Bound For Glory
Stand Up	Jethro Tull		2016-12-01 17:09:00	Bouree
A.M.	Wilco		2016-12-01 17:15:00	Box Full Of Letters
American Beauty	Grateful Dead		2016-12-01 17:18:00	Box Of Rain
