album	artist	time	track
Home Plate	Bonnie Raitt	2016-12-05 00:00:00	Good Enough
Fumbling Towards Ecstsay	Sarah McLachlan	2016-12-05 00:03:00	Good Enough
18 Greatest Hits	Little Richard	2016-12-05 00:07:00	Good Golly Miss Molly
Camper Van Beethoven	Camper Van Beethoven	2016-12-05 00:09:00	Good Guys And Bad Guys
Shakedown Street	Grateful Dead	2016-12-05 00:13:00	Good Lovin'
Sgt. Pepper's Lonely Hearts Club Band	The Beatles	2016-12-05 00:18:00	Good Morning Good Morning
I'm Ready	Muddy Waters	2016-12-05 00:21:00	Good Morning Little School Girl
Organix	The Roots	2016-12-05 00:24:00	Good Music
In Between Dreams	Jack Johnson	2016-12-05 00:28:00	Good People
Blues Masters, Volume 5: Jump Blues Classics	Wynonie Harris	2016-12-05 00:34:00	Good Rockin' Tonight
Good Rocking Tonight: The Best Of Roy Brown	Roy Brown	2016-12-05 00:37:00	Good Rocking Tonight
Volunteers	Jefferson Airplane	2016-12-05 00:40:00	Good Shepherd
The Raw And The Cooked	Fine Young Cannibals	2016-12-05 00:44:00	Good Thing
The Cars	The Cars	2016-12-05 00:48:00	Good Times Roll
Led Zeppelin (1)	Led Zeppelin	2016-12-05 00:51:00	Good Times, Bad Times
Good Vibrations - Disc 2	The Beach Boys	2016-12-05 00:54:00	Good Vibrations
BLIND	The Sundays	2016-12-05 00:58:00	Goodbye
Breakfast In America	Supertramp	2016-12-05 01:03:00	Goodbye Stranger
Goodbye Yellow Brick Road	Elton John	2016-12-05 01:09:00	Goodbye Yellow Brick Road
Guitar Town	Steve Earle	2016-12-05 01:12:00	Goodbye's All We've Got Left
I Outta Give You A Shot In The Head..	Shivaree	2016-12-05 01:16:00	Goodnight Moon
Easy Tiger	Ryan Adams	2016-12-05 01:20:00	Goodnight Rose
Friend Or Foe	Adam Ant	2016-12-05 01:23:00	Goody Two Shoes
HEAL	Strand Of Oaks	2016-12-05 01:26:00	Goshen '97
Transference	Spoon	2016-12-05 01:30:00	Got Nuffin
Revolver	The Beatles	2016-12-05 01:38:00	Got To Get You Into My Life
Have A Nice Decade:The 70s Pop Culture Box	Marvin Gaye	2016-12-05 01:40:00	Got To Give It Up
Turn Blue	The Black Keys	2016-12-05 01:45:00	Gotta Get Away
I Am Shelby Lynne	Shelby Lynne	2016-12-05 01:47:00	Gotta Get Back
Nilsson Schmilsson	Harry Nilsson	2016-12-05 01:52:00	Gotta Get Up
Farmhouse	Phish	2016-12-05 01:54:00	Gotta Jibboo
Slow Train Coming	Bob Dylan	2016-12-05 01:59:00	Gotta Serve Somebody
Grace	Jeff Buckley	2016-12-05 02:04:00	Grace
Ghost On Ghost	Iron And Wine	2016-12-05 02:10:00	Grace for Saints and Ramblers
Graceland	Paul Simon	2016-12-05 02:14:00	Graceland
Continuum	John Mayer	2016-12-05 02:19:00	Gravity
The Brooklyn Side	The Bottle Rockets	2016-12-05 02:23:00	Gravity Fails
Original Sun Greatest Hits	Jerry Lee Lewis	2016-12-05 02:26:00	Great Balls Of Fire
Nothing But A Burning Light	Bruce Cockburn	2016-12-05 02:28:00	Great Big Love
The Royal Scam	Steely Dan	2016-12-05 02:33:00	Green Earrings
Sugarloaf	Sugarloaf	2016-12-05 02:39:00	Green-Eyed Lady
Sing to the Moon	Laura Mvula	2016-12-05 02:46:00	Green Garden
Green River	Creedence Clearwater Revival	2016-12-05 03:03:00	Green River
