album	artist	time	track
2007-2011	p.s. eliot	2016-08-06 00:01:00	Sadie
Demo '16	True Body	2016-08-06 00:05:00	No
Boy King	Wild Beasts	2016-08-06 00:10:00	Big Cat
Give A Glimpse Of What Yer Not	Dinosaur Jr	2016-08-06 00:14:00	Love Is...
Give A Glimpse Of What Yer Not	Dinosaur Jr	2016-08-06 00:18:00	Lost All Day
Songs About F-ing	Big Black	2016-08-06 00:23:00	The Model
single	Verdigirls	2016-08-06 00:26:00	Debbie Downer
Teen Dream	Beach House	2016-08-06 00:31:00	Norway
Plaza	Quilt	2016-08-06 00:35:00	Searching For
Preoccupations	Preoccupations	2016-08-06 00:39:00	Degraded
Translucent Flashbacks ? The Singles	Spacemen 3	2016-08-06 00:43:00	Rollercoaster
Innocence Reaches	of Montreal	2016-08-06 00:55:00	My Fair Lady
Super-Sonic Jazz	Sun Ra & His Arkestra	2016-08-06 02:57:00	Super Blonde
Fat City	Shawn Colvin	2016-08-06 03:00:00	Climb On (A Back That's Strong)
Double Fantasy	John Lennon	2016-08-06 03:04:00	I'm Losing You
Heart Like A Levee	Hiss Golden Messenger	2016-08-06 03:08:00	Biloxi
Crowded House	Crowded House	2016-08-06 03:11:00	Don't Dream It's Over
Tired of Tomorrow	Nothing	2016-08-06 03:14:00	Vertigo Flowers
Nevermind	Nirvana	2016-08-06 03:18:00	In Bloom
Beyond The Bloodhounds	Adia Victoria	2016-08-06 03:22:00	Dead Eyes
Green	R.E.M.	2016-08-06 03:24:00	Pop Song 89
Signs Of Light	The Head And The Heart	2016-08-06 03:27:00	All We Ever Knew
The Essential Little Richard	Little Richard	2016-08-06 03:31:00	Keep A-Knockin'
The Modern World: Uk Punk Ll (1977-78)	Siouxsie & The Banshees	2016-08-06 03:33:00	Hong Kong Garden
We Were Wild	Esm? Patterson	2016-08-06 03:36:00	Feel Right
Vauxhall And I	Morrissey	2016-08-06 03:39:00	The More You Ignore Me, The Closer I Get
Magic & Loss	Lou Reed	2016-08-06 03:42:00	What's Good?
American Beauty	Grateful Dead	2016-08-06 03:45:00	Truckin'
Medicated Magic	The Dirty Dozen Brass Band	2016-08-06 03:50:00	Everything I Do Gon' Be Funky
Are You Serious	Andrew Bird	2016-08-06 03:54:00	Capsized
My Woman	Angel Olsen	2016-08-06 03:58:00	Shut Up Kiss Me
A Rush of Blood to the Head	Coldplay	2016-08-06 04:01:00	God Put A Smile On Your Face
Psychopomp	Japanese Breakfast	2016-08-06 04:06:00	In Heaven
Little Seeds	Shovels & Rope	2016-08-06 04:10:00	I Know
(Turn On) The Music Machine	The Music Machine	2016-08-06 04:13:00	Talk Talk
Spirit	Amos Lee	2016-08-06 04:15:00	Vaporize
Spirit	Amos Lee	2016-08-06 04:15:00	Vaporize
An Old Raincoat Won't Ever Let You Down (The Rod Stewart Album)	Rod Stewart	2016-08-06 04:19:00	Handbags And Gladrags
I Feel Alright	Steve Earle	2016-08-06 04:23:00	I Feel Alright
Dolls of Highland	Kyle Craft	2016-08-06 04:26:00	Eye Of A Hurricane
Good-Byes & Butterflies	Five Man Electrical Band	2016-08-06 04:31:00	Signs
The Lonesome Jubilee	John Mellencamp	2016-08-06 04:35:00	Check It Out
Cleopatra	The Lumineers	2016-08-06 04:39:00	Ophelia
Cleopatra	The Lumineers	2016-08-06 04:39:00	Ophelia
Come Away With Me	Norah Jones	2016-08-06 04:41:00	Come Away With Me
The Cars	The Cars	2016-08-06 04:44:00	Moving In Stereo
Coloring Book	Chance The Rapper	2016-08-06 04:49:00	Blessings
Upstairs At Eric's	Yaz	2016-08-06 04:52:00	Don't Go
Perfectly Good Guitar	John Hiatt	2016-08-06 04:55:00	Blue Telescope
Fade Out	Yo La Tengo	2016-08-06 05:59:00	I Saw the Light
Greatest Hits	Dee Clark	2016-08-06 06:00:00	Hey Little Girl
