album	artist	time	track
Heads Up	Warpaint	2016-08-20 00:01:00	New Song
Plague Park	Handsome Furs	2016-08-20 00:04:00	Handsome Furs Hate This City
single	The Lemon Twigs	2016-08-20 00:10:00	These Words
The Honey Tangle	The Adult Net	2016-08-20 00:14:00	August
Preoccupations	Preoccupations	2016-08-20 00:18:00	Degraded
Convenience	Pill	2016-08-20 00:23:00	Love & Other Liquids
Convenience	Pill	2016-08-20 00:28:00	Vagabond
Loveless	My Bloody Valentine	2016-08-20 00:32:00	I Only Said
Hit Reset	The Julie Ruin	2016-08-20 00:38:00	I Decide
13-Point Program to Destroy America	The Nation Of Ulysses	2016-08-20 00:42:00	Today I Met The Girl I'm Going To Marry
Episodic	Field Mouse	2016-08-20 00:43:00	The Mirror
Sport	Powell	2016-08-20 00:47:00	Frankie
Gloss Drop	Battles	2016-08-20 00:51:00	Inchworm
Give A Glimpse Of What Yer Not	Dinosaur Jr	2016-08-20 00:56:00	Love Is...
Your Past Comes Back to Haunt You: The Fonotone Years, 1958?1965	John Fahey	2016-08-20 02:57:00	John Henry (2)
Car Wheels On A Gravel Road	Lucinda Williams	2016-08-20 03:00:00	Metal Firecracker
The Beatles	The Beatles	2016-08-20 03:03:00	I'm So Tired
Real	Lydia Loveless	2016-08-20 03:05:00	Longer
Under The Table And Dreaming	Dave Matthews Band	2016-08-20 03:09:00	The Best Of What's Around
Love (e.p.)	The Lion's Paw	2016-08-20 03:13:00	Love
Ramones	The Ramones	2016-08-20 03:17:00	Blitzkrieg Bop
Wow (Single)	Beck	2016-08-20 03:19:00	Wow
Workbook	Bob Mould	2016-08-20 03:23:00	See A Little Light
Spirit	Amos Lee	2016-08-20 03:26:00	Vaporize
Hotter Than July	Stevie Wonder	2016-08-20 03:30:00	All I Do
Labour of Lust	Nick Lowe	2016-08-20 03:35:00	Switchboard Susan
Sonderlust	Kishi Bashi	2016-08-20 03:39:00	Say Yeah
I And Love And You	The Avett Brothers	2016-08-20 03:43:00	Kick Drum Heart
(What's The Story) Morning Glory?	Oasis	2016-08-20 03:46:00	Roll With It
Disraeli Gears	Cream	2016-08-20 03:50:00	Strange Brew
Anthology (disc 1)	The Meters	2016-08-20 03:53:00	Cissy Strut
Love & Hate	Michael Kiwanuka	2016-08-20 03:56:00	One More Night
I Had A Dream That You Were Mine	Hamilton Leithauser + Rostam	2016-08-20 04:00:00	A 1000 Times
Learning To Crawl	The Pretenders	2016-08-20 04:04:00	Time The Avenger
III	Sheer Mag	2016-08-20 04:08:00	Can't Stop Fighting
2	Mudcrutch	2016-08-20 04:12:00	Dreams of Flying
Kiss Me, Kiss Me, Kiss Me	The Cure	2016-08-20 04:16:00	Just Like Heaven
Scatterlings Of Africa	Johnny Clegg & Savuka	2016-08-20 04:19:00	Scatterlings Of Africa
Signs Of Light	The Head And The Heart	2016-08-20 04:23:00	All We Ever Knew
The Yes Album	Yes	2016-08-20 04:27:00	I've Seen All Good People
20th Century Masters	Bill Haley & His Comets	2016-08-20 04:33:00	Shake Rattle And Roll
Clues	Robert Palmer	2016-08-20 04:36:00	Johnny And Mary
Plaza	Quilt	2016-08-20 04:39:00	Roller
Take Me To Church EP	Hozier	2016-08-20 04:44:00	Take Me To Church
The Getaway	Red Hot Chili Peppers	2016-08-20 04:48:00	Dark Necessities
Nonsuch	XTC	2016-08-20 04:53:00	The Ballad Of Peter Pumpkinhead
The Way I See It	Raphael Saadiq	2016-08-20 04:57:00	100 Yard Dash
Picture of You	The Youngers	2016-08-20 05:59:00	Fly Away
Greatest Hits	The Kodaks	2016-08-20 06:00:00	Oh Gee Oh Gosh
Greatest Hits	The Kodaks	2016-08-20 06:02:00	Little Boy And Girl
Greatest Hits	The Kodaks	2016-08-20 06:04:00	Teenager's Dream
Arrivals  &  Departures	THe Calm Blue Sea	2016-08-20 06:04:00	Pont Des Mouton
Greatest Hits	The Mellows	2016-08-20 06:06:00	Smoke From Your Cigarette
Greatest Hits	The Fabulons	2016-08-20 06:08:00	Smoke From Your Cigarette
Walls Fall Down	Kimmie Rhodes	2016-08-20 06:09:00	The Fool on the Hill
Greatest Hits	The Mellows	2016-08-20 06:10:00	Yesterday's Memories
Greatest Hits	Ruth McFadden & The Supremes	2016-08-20 06:12:00	Darling Listen To The Words Of This Song
Greatest Hits	The Mellows	2016-08-20 06:14:00	I Still Care
Give Me the Simple Life	Sara Lazarus	2016-08-20 06:15:00	Pnce Upon a Summertime
The Paradise Singles	Ruby & The Romantics	2016-08-20 06:16:00	When You're Young And In Love
Tamla Singles	The Marvelettes	2016-08-20 06:18:00	When You're Young And In Love
Greatest Hits	Ruby & The Romantics	2016-08-20 06:20:00	Hey There Lonely Boy
Moments fron the Life Stories of Strangers   Part One	Steven Chesne   with the Luminous World Orchestra	2016-08-20 06:20:00	Lumiere du Sol
Greatest Hits	Eddie Holman	2016-08-20 06:22:00	Hey There Lonely Girl
Greatest Hits	Ruby & The Romantics	2016-08-20 06:24:00	Our Summer Love
Chartbusters	Brenda & The Tabulations	2016-08-20 06:26:00	Dry Your Eyes
Over  and  Under	Greg Brown	2016-08-20 06:27:00	Summer Evening
Chartbusters	Brenda & The Tabulations	2016-08-20 06:28:00	When You're Gone
Greatest Hits	Brenda & The Tabulations	2016-08-20 06:30:00	Right On The Tip Of My Tongue
Whiskey Soaked Heart	Footfall	2016-08-20 06:31:00	Present
Greatest Hits	Cathy Jean & The Roommates	2016-08-20 06:32:00	Please Love Me Forever
The Definitive Collection	Tommy Edwards	2016-08-20 06:34:00	Please Love Me Forever
Greatest Hits	Rosie & The Originals	2016-08-20 06:36:00	Angel Baby
Greatest Hits	Kathy & The Innocents	2016-08-20 06:38:00	A Thousand Stars
Greatest Hits	The Six Teens	2016-08-20 06:40:00	A Casual Look
The Cormorant	Fiddler Dave	2016-08-20 06:40:00	Misty Creek Revival
45 Single	Little Claudia	2016-08-20 06:42:00	A Casual Look
Fallen Angels	Bob Dylan	2016-08-20 06:50:00	Young at Heart
A Tribute to  Emmy Lou     ( anthol	Phoebe Bridges	2016-08-20 06:55:00	Prayer in  Open D
make this city ours  _______	Claire Martin	2016-08-20 06:57:00	Estate
Piano	Alexis Taylor	2016-08-20 07:05:00	Crying in the Chapel
Louisiana Odyssey	Kenny Kleinpeter	2016-08-20 07:08:00	Louisiana Nocturne
We Come Apart	Sonya Kitchell	2016-08-20 07:15:00	Looking Into The Sun
Not Going Anywhere	Keren Ann	2016-08-20 07:19:00	Sit In The Sun
Barcelona	Orlando Vasquez & Carlos Paula	2016-08-20 07:24:00	Como Han Pasado Los Anos
case/lang/veirs	case/lang/veirs	2016-08-20 07:28:00	Want To Be Here
Starlight Starbright	Candice Night	2016-08-20 07:32:00	Down In The Meadow
Ah!	Linnea Olsson	2016-08-20 07:35:00	The Ocean
Miller's Creek	The Belle Hollows	2016-08-20 07:39:00	The Ocean Song
Give Him The Ooh-La-La	Blossom Dearie	2016-08-20 07:46:00	I Walk A Little Faster
National Park Soundscapes	Jill Haley	2016-08-20 07:51:00	Waters Of Acadia
'Round Midnight	Andy And The Bey Sisters	2016-08-20 07:59:00	'Round Midnight
Hometown Girl	Linda Waterfall	2016-08-20 08:03:00	Come Together
Jazz Station Runaway	Jerome Richardson	2016-08-20 08:08:00	Warm Valley
Mercy	John Flynn	2016-08-20 08:15:00	Soul
Beyond The Ash And Steel	Judy Kass	2016-08-20 08:22:00	Carry Me Nowhere
Second Steps	Rada	2016-08-20 08:26:00	Summer Breeze
Across Your Dreams	Frederica von Stade	2016-08-20 08:30:00	Summer Song
Daughters	Mollie O'Brien & Rich Moore	2016-08-20 08:34:00	Sister (Take Me To The Shore)
River Whyless	River Whyless	2016-08-20 08:38:00	Fiine Companion
Love Filling Station	Jesse Winchester	2016-08-20 08:42:00	Sham-A-Ling-Dong-Ding
Young At Heart	Tony Williams Trio	2016-08-20 08:46:00	Summer Me, Winter Me
Red House Painters	Red House Painters	2016-08-20 08:51:00	Summer Dress
Liz Longley	Liz Longley	2016-08-20 08:55:00	Simple Love
Downhearted Blues	Alberta Hunter	2016-08-20 09:01:00	Old Fashioned Love
My Foolish Heart	George Mraz	2016-08-20 09:05:00	Icicles
Gypsy Summer	Cam Penner	2016-08-20 09:11:00	Cool Cool Nights
Oh You Crazy Moon	Chet Baker	2016-08-20 09:18:00	Oh You Crazy Moon
To Emmylou	The Silver Lake Chorus	2016-08-20 09:29:00	Timberline
River Of Time	Jorma Kaukonen	2016-08-20 09:33:00	A Walk With Friends
Floresta	Mia Doi Todd	2016-08-20 09:41:00	Luz do Sol
Stranger To Stranger	Paul Simon	2016-08-20 09:47:00	Stranger To Stranger
Sea To Shining Sea	Robin Spielberg	2016-08-20 09:53:00	In The Good Old Summertime
Classically Yours	Liona Boyd	2016-08-20 09:56:00	Serenade For Summer
The Unforgettable Nat King Cole	Nat King Cole	2016-08-20 09:57:00	That Sunday, That Summer
The Wild, The Innocent & The E Street Shuffle	Bruce Springsteen	2016-08-20 10:01:00	Kitty's Back
The Otis Redding Story (2)	Otis Redding	2016-08-20 10:08:00	I Can't Turn You Loose
Dolls of Highland	Kyle Craft	2016-08-20 10:11:00	Eye Of A Hurricane
22, A Million	Bon Iver	2016-08-20 10:17:00	22 (OVER S??N)
Kid A	Radiohead	2016-08-20 10:21:00	Everything In It's Right Place
West End Coast	Young Gun Silver Fox	2016-08-20 10:26:00	You Can Feel It
Five A Side	ACE	2016-08-20 10:29:00	How Long
Can't Buy A Thrill	Steely Dan	2016-08-20 10:32:00	Do It Again
Heart Like A Levee	Hiss Golden Messenger	2016-08-20 10:39:00	Biloxi
Heartbreaker	Ryan Adams	2016-08-20 10:42:00	To Be Young (is To Be Sad, Is To Be High)
The Band	The Band	2016-08-20 10:45:00	The Night They Drove Old Dixie Down
The Heritage Story	The Showstoppers	2016-08-20 10:49:00	Ain't Nothing But A House Party
Searching For The Young Soul Rebels	Dexy's Midnight Runners	2016-08-20 10:52:00	Seven Days Too Long
The Best of Billy Stewart: 20th Century Masters	Billy Stewart	2016-08-20 10:54:00	Cross My Heart
La Cucaracha	Ween	2016-08-20 10:58:00	Your Party
The Harder They Come	Jimmy Cliff	2016-08-20 11:02:00	The Harder They Come
Be What You Are	The Staple Singers	2016-08-20 11:05:00	Come Go With Me
Love & Hate	Michael Kiwanuka	2016-08-20 11:08:00	Black Man In A White World
We're All Gonna Die	Dawes	2016-08-20 11:13:00	When the Tequila Runs Out
Building The Perfect Beast	Don Henley	2016-08-20 11:18:00	Sunset Grill
What Went Down	Foals	2016-08-20 11:24:00	What Went Down
Gentlemen	The Afghan Whigs	2016-08-20 11:29:00	Fountain and Fairfax
Schmilco	Wilco	2016-08-20 11:34:00	If I Ever Was a Child
Nite-Funk (e.p.)	Nite-Funk	2016-08-20 11:38:00	Let Me Be Me
Var-phat Trax Vol. 3	Slave	2016-08-20 11:42:00	Watching You
Sound & Color	Alabama Shakes	2016-08-20 11:55:00	Future People
Brothers	The Black Keys	2016-08-20 11:59:00	Howlin' For You
It's Only Rock & Roll	The Rolling Stones	2016-08-20 12:02:00	Time Waits For No One
Blue Mountain	Bob Weir	2016-08-20 12:09:00	Only A River
Coloring Book	Chance The Rapper	2016-08-20 12:16:00	Summer Friends
The Best Of War	War	2016-08-20 12:21:00	Summer
Top Ten Hits	Elvis Presley	2016-08-20 12:27:00	Little Sister
By The Light Of The Moon	Los Lobos	2016-08-20 12:30:00	One Time, One Night
single	The Menzingers	2016-08-20 12:35:00	Lookers
Entertainment!	Gang Of Four	2016-08-20 12:39:00	Damaged Goods
Day Breaks	Norah Jones	2016-08-20 12:43:00	Carry On
Wind On The Water	Crosby & Nash	2016-08-20 12:45:00	Carry Me
Innervisions	Stevie Wonder	2016-08-20 12:49:00	Too High
Give It Back To You	The Record Company	2016-08-20 12:54:00	Rita Mae Young
Rock Your Baby	George McCrae	2016-08-20 12:59:00	I Get Lifted
Sound Of Silver	LCD Soundsystem	2016-08-20 13:02:00	Us V. Them
Reckoning	R.E.M.	2016-08-20 13:10:00	South Central Rain
Tim	The Replacements	2016-08-20 13:13:00	Kiss Me On The Bus
West End Coast	Young Gun Silver Fox	2016-08-20 13:17:00	Distance Between Us
Player	Player	2016-08-20 13:21:00	Baby Come Back
Wolfgang Amadeus Phoenix	Phoenix	2016-08-20 13:25:00	1901
Home Wrecking Years	Brendan Canning	2016-08-20 13:30:00	Book It To Fresno
Hot Fuss	The Killers	2016-08-20 13:34:00	Mr. Brightside
Sunlit Youth	Local Natives	2016-08-20 13:38:00	Fountain of Youth
Talking Heads '77	Talking Heads	2016-08-20 13:42:00	Uh-oh Love Comes To Town
We All The Light	River Whyless	2016-08-20 13:44:00	All Day All Night
Sonderlust	Kishi Bashi	2016-08-20 13:49:00	Say Yeah
Saturday Night Fever (Soundtrack)	Bee Gees	2016-08-20 13:54:00	More Than A Woman
Trouble	Ray Lamontagne	2016-08-20 13:57:00	How Come
No. 1 In Heaven	Sparks	2016-08-20 14:03:00	The Number One Song In Heaven
Manifest!	Friends	2016-08-20 14:10:00	I'm His Girl
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-08-20 14:15:00	I Need Never Get Old
Small White Town	Danielia Cotton	2016-08-20 14:19:00	It's Only Life
Sugarloaf	Sugarloaf	2016-08-20 14:22:00	Green-Eyed Lady
Scissor Sisters	Scissor Sisters	2016-08-20 14:28:00	Take Your Mama
Soul Hits Of The 70's - Didn't It Blow Your Mind, Vol. 10	Timmy Thomas	2016-08-20 14:32:00	Why Can't We Live Together
Hit Reset	The Julie Ruin	2016-08-20 14:37:00	I Decide
Hi Honey	Low Cut Connie	2016-08-20 14:42:00	Little Queen Of New Orleans
A Tramp Shining	Richard Harris	2016-08-20 14:46:00	MacArthur Park
Tapestry	Carole King	2016-08-20 14:54:00	Where You Lead
#1 Record / Radio City	Big Star	2016-08-20 14:57:00	Don't Lie To Me
Last Splash	The Breeders	2016-08-20 15:01:00	Cannonball
The Lemon Pipers Greatest Hits	The Lemon Pipers	2016-08-20 15:04:00	Green Tambourine
Blue Lines	Massive Attack	2016-08-20 15:08:00	Unfinished Sympathy
Stone Rollin'	Raphael Saadiq	2016-08-20 15:14:00	Moving Down the Line
Bangles: Greatest Hits	Bangles	2016-08-20 15:19:00	Going Down To Liverpool
Fine Young Cannibals	Fine Young Cannibals	2016-08-20 15:22:00	Johnny Come Home
The Road To Ensenada	Lyle Lovett	2016-08-20 15:28:00	That's Right (you're Not From Texas)
20/20	The Beach Boys	2016-08-20 15:33:00	Do It Again
Yoshimi Battles The Pink Robots	The Flaming Lips	2016-08-20 15:35:00	Do You Realize?
Stuck On Nothing	Free Energy	2016-08-20 15:40:00	Free Energy
Interpreting The Masters Volume 1 - A Tribute To Daryl Hall And John Oates	The Bird And The Bee	2016-08-20 15:44:00	I Can't Go For That
Cure For Pain	Morphine	2016-08-20 15:48:00	Buena
Standards	The Alarm	2016-08-20 15:53:00	Spirit of 76
Dan Bern	Dan Bern	2016-08-20 16:00:00	Jerusalem
Who Loves You	The Four Seasons	2016-08-20 16:03:00	December, 1963 (Oh What A Night)
Everybody's In Show Biz	The Kinks	2016-08-20 16:09:00	Celluloid Heroes
Var: No Alternative	Soul Asylum	2016-08-20 16:15:00	Sexual Healing
After the Disco	Broken Bells	2016-08-20 16:21:00	Holding On For Life
They Want My Soul	Spoon	2016-08-20 16:25:00	Inside Out
Regatta De Blanc	The Police	2016-08-20 16:30:00	Walking On The Moon
Everybody's A Good Dog	Diane Coffee	2016-08-20 16:36:00	Mayflower
Venus & Mars	Paul McCartney & Wings	2016-08-20 16:39:00	Medicine Jar
Golden Delicious	Mike Doughty	2016-08-20 16:42:00	27 Jennifers
Heartbreaker	Ryan Adams	2016-08-20 16:46:00	To Be Young (is To Be Sad, Is To Be High)
Nashville Demos	Oliver John-Rodgers	2016-08-20 16:49:00	Numb
The Score	The Fugees	2016-08-20 16:53:00	Fu-gee-la
Thirds	James Gang	2016-08-20 16:57:00	Walk Away
I'm A Bluesman	Michael Burks	2016-08-20 19:01:00	I Didn't Take Your Woman
Beareather Sings The Classic Blueswomen	Beareather Reddy	2016-08-20 19:05:00	Up The Country Blues
Higher	Dukes Of Destiny	2016-08-20 19:08:00	Black Men Blush
Give It Away	Mac Arnold & Plate Full O'Blues	2016-08-20 19:13:00	Train Smoke
Texas Flood	Stevie Ray Vaughan	2016-08-20 19:18:00	Pride And Joy
Rumba Blues From The 1940s: Latin Music Shaping The Blues	T-Bone Walker	2016-08-20 19:22:00	Mean Old World Blues
Rumba Blues From The 1940s: Latin Music Shaping The Blues	Jimmy Witherspoon	2016-08-20 19:25:00	Who's Been Jivin' You
Right Man - Right Now	Zac Harmon	2016-08-20 19:29:00	Stand Your Ground
Alligator Records 45th Anniversary Collection	Guitar Shorty	2016-08-20 19:35:00	I'm Gonna Leave You
Step Back	Johnny Winter	2016-08-20 19:40:00	Can't Hold Out (Talk To Me Baby)
The Henry Gray/Bob Corritore Sessions, Vol. 1	Henry Gray & Bob Corritore	2016-08-20 19:45:00	They Raided The Joint
Blues Masters, Volume 5: Jump Blues Classics	Big Mama Thornton	2016-08-20 19:48:00	Hound Dog
Raw Sugar	JJ Thames	2016-08-20 19:51:00	I'm Leavin'
Refuse To Lose	Jarekus Singleton	2016-08-20 19:55:00	Hero
Live	Gary Clark Jr.	2016-08-20 19:59:00	Bright Lights
One Of A Kind	Grady Champion	2016-08-20 20:08:00	What A Woman
Brothers In This World	Blackburn	2016-08-20 20:15:00	Railroad Song
One Dog Barkin'	Harrison Kennedy	2016-08-20 20:18:00	Cruise Control
That Hot Pink Blues Album	Keb' Mo'	2016-08-20 20:21:00	Somebody Hurt You
I'm Gonna Tell You Something That I Know	"David ""Honeyboy"" Edwards"	2016-08-20 20:27:00	That's Alright
Voyage	Sugar Blue	2016-08-20 20:34:00	One
Legendary Blues Volume Two	Robert Johnson	2016-08-20 20:39:00	Love In Vain Blues
Kokomo Kidd	Guy Davis	2016-08-20 20:43:00	Cool Drink Of Water
Turn On Your Love Light - The Duke Recordings Vol. 2	"Bobby ""Blue"" Bland"	2016-08-20 20:47:00	St. James Infirmary
Rumba Blues From The 1940s: Latin Music Shaping The Blues	The Jubalaires	2016-08-20 20:50:00	St. Louis Blues
Plays And Sings The Blues	John Lee Hooker	2016-08-20 20:52:00	Bluebird
Mississippi Juke Joint Blues	Walter Davis	2016-08-20 20:57:00	Come Back Baby
Blue Tears	Sam Taylor	2016-08-20 21:00:00	Not Tired Of Living
Early In The Moanin'	The Soul Of John Black	2016-08-20 21:04:00	Early In The Moanin'
John The Conquer Root	Toronzo Cannon	2016-08-20 21:10:00	I've Been Doing Fine
Alligator Records 45th Anniversary Collection	Son Seals	2016-08-20 21:16:00	Cotton Picking Blues
That Black Snake Moan	Blind Lemon Jefferson	2016-08-20 21:21:00	Easy Rider Blues
Richmond Blues	Cephas & Wiggins	2016-08-20 21:24:00	Dog Days Of August
All For Loving You	Alexis P. Suter	2016-08-20 21:29:00	Every Shut Eye
Blues Masters, Vol. 6: Blues Originals	Elmore James	2016-08-20 21:33:00	Madison Blues
Live: Hope At The Hideout	Mavis Staples	2016-08-20 21:35:00	Wade In The Water
Is It Still Good To Ya?	Gaye Adegbalola & The Wild Rutz	2016-08-20 21:43:00	Sick Leave Blues
Cleaning House	Saffire	2016-08-20 21:48:00	Tomorrow Ain't Promised
Is It Still Good To Ya?	Gaye Adegbalola & The Wild Rutz	2016-08-20 21:51:00	Only One Truth
Living Proof	Buddy Guy	2016-08-20 21:56:00	74 Years Young
New Direction	Joe Louis Walker	2016-08-20 22:01:00	Custom Cars, Gibson Guitars
Father's Day	Ronnie Earl & The Broadcasters	2016-08-20 22:06:00	Every Night About This Time
Mississippi Juke Joint Blues	Ollie Shepard	2016-08-20 22:13:00	Throw This Dog A Bone
Deep Blues (soundtrack Album)	Junior Kimbrough	2016-08-20 22:15:00	Jr. Blues (All Night Long)
One Step Closer	Kenny Neal	2016-08-20 22:23:00	No More One More Chance
Never Going Back	Shemekia Copeland	2016-08-20 22:27:00	River's Invitation
Refuse To Lose	Jarekus Singleton	2016-08-20 22:32:00	I Refuse to Lose
His Best	Howlin' Wolf	2016-08-20 22:37:00	Evil
Drink Drank Drunk	Andy T - Nick Nixon Band	2016-08-20 22:42:00	Drink Drank Drunk
Houston Might Be Heaven: Rockin' R&B In Texas 1947-1951	Peppermint Harris	2016-08-20 22:46:00	Gimmie Gimmie Gimmie
Memphis Gospel Singer	Reverend Robert Wilkins	2016-08-20 22:49:00	Prodigal Son
Blues Masters, Volume 7: Blues Revival	Muddy Waters	2016-08-20 23:00:00	Got My Mojo Working
No Fools No Fun	Phil Wiggins & The Chesapeake Sheiks	2016-08-20 23:04:00	Roberta
Can You Feel It?	Campbell Brothers	2016-08-20 23:13:00	No Mo' One Mo'
Classic Piano Blues	Memphis Slim	2016-08-20 23:22:00	Dedication To Pete Johnson
Rumba Blues From The 1940s: Latin Music Shaping The Blues	King Cole Trio	2016-08-20 23:26:00	Bang Bang Boogie
Mississippi Juke Joint Blues	Billie Holiday	2016-08-20 23:29:00	God Bless The Child
Feel These Blues	Slam Allen	2016-08-20 23:34:00	When The Blues Come Around
Crucial Chicago Blues	Fenton Robinson	2016-08-20 23:38:00	I Hear Some Blues Downstairs
One Of A Kind	Grady Champion	2016-08-20 23:42:00	Life Support
Blues Revival	Kat Riggins	2016-08-20 23:49:00	Blues Is The New Black
Searching The Desert For The Blues	Blind Willie McTell	2016-08-20 23:51:00	Statesboro Blues
Still Carrying The Flame	Original Legends Of The Blues	2016-08-20 23:55:00	Edumacation
