album	artist	time	track
Blue Incantation	Sanjay Mishra	2016-08-05 00:58:00	Monsoon
Holland-Dozier-Holland: The Complete 45's Collection	Politicians	2016-08-05 02:57:00	Free Your Mind
"""Ghostbusters"" Soundtrack"	Elle King	2016-08-05 03:00:00	Good Girls
Privateering	Mark Knopfler	2016-08-05 03:03:00	I Used To Could
2	Mudcrutch	2016-08-05 03:06:00	Trailer
Only By The Night	Kings Of Leon	2016-08-05 03:10:00	Sex On Fire
Why Are You Ok	Band Of Horses	2016-08-05 03:13:00	Casual Party
Is Your Love Big Enough?	Lianne La Havas	2016-08-05 03:16:00	Is Your Love Big Enough?
American Stars 'n Bars	Neil Young	2016-08-05 03:20:00	Like A Hurricane
Ouroboros	Ray Lamontagne	2016-08-05 03:28:00	Hey No Pressure
Some People Can Do What They Like	Robert Palmer	2016-08-05 03:32:00	Man Smart, Woman Smarter
Just Once In My Life	The Righteous Brothers	2016-08-05 03:35:00	Unchained Melody
The Missing Years	John Prine	2016-08-05 03:38:00	It's A Big Old Goofy World
The Missing Years	John Prine	2016-08-05 03:38:00	It's A Big Old Goofy World
Gold	Ryan Adams	2016-08-05 03:43:00	When The Stars Go Blue
London Calling	The Clash	2016-08-05 03:47:00	Clampdown
single	Barns Courtney	2016-08-05 03:50:00	Fire
When The Pawn...	Fiona Apple	2016-08-05 03:53:00	Fast As You Can
We All The Light	River Whyless	2016-08-05 03:58:00	All Day All Night
The Best Of Melanie	Melanie	2016-08-05 04:02:00	Lay Down (Candles In The Rain)
A Sailor?s Guide To Earth	Sturgill Simpson	2016-08-05 04:05:00	In Bloom
III	Sheer Mag	2016-08-05 04:09:00	Can't Stop Fighting
Court & Spark	Joni Mitchell	2016-08-05 04:13:00	Raised On Robbery
On Oni Pond	Man Man	2016-08-05 04:15:00	Head On
Human Performance	Parquet Courts	2016-08-05 04:19:00	Berlin Got Blurry
Rain Dogs	Tom Waits	2016-08-05 04:23:00	Downtown Train
Teens Of Denial	Car Seat Headrest	2016-08-05 04:27:00	Vincent
Marquee Moon	Television	2016-08-05 04:31:00	See No Evil
I?m Alone, No You?re Not	Joseph	2016-08-05 04:35:00	White Flag
Let Me Get By	Tedeschi Trucks Band	2016-08-05 04:38:00	Anyhow
Psychotic Reaction	The Count Five	2016-08-05 04:44:00	Psychotic Reaction
Wow (Single)	Beck	2016-08-05 04:47:00	Wow
Laugh	Keller Williams	2016-08-05 04:51:00	Freeker By The Speaker
A 1000 Times (single)	Hamilton Leithauser + Rostam	2016-08-05 04:56:00	A 1000 Times
Traveller	Chris Stapleton	2016-08-05 05:00:00	Tennessee Whiskey
Hot Rocks	The Rolling Stones	2016-08-05 05:05:00	Heart Of Stone
The Seeds Of Love	Tears For Fears	2016-08-05 05:07:00	Sowing The Seeds Of Love
My Woman	Angel Olsen	2016-08-05 05:13:00	Shut Up Kiss Me
Coloring Book	Chance The Rapper	2016-08-05 05:17:00	Blessings
Coming Home	Leon Bridges	2016-08-05 05:20:00	Better Man
A Northern Soul	The Verve	2016-08-05 05:23:00	On Your Own
Tuesday Night Music Club	Sheryl Crow	2016-08-05 05:26:00	All I Wanna Do
Magic Fire	The Stray Birds	2016-08-05 05:31:00	Shining In The Distance
Spirit	Amos Lee	2016-08-05 05:35:00	Vaporize
There's A Riot Goin' On	Sly & The Family Stone	2016-08-05 05:39:00	(you Caught Me) Smilin'
Joshua Judges Ruth	Lyle Lovett	2016-08-05 05:42:00	Church
The Ride	Los Lobos	2016-08-05 05:47:00	Hurry Tomorrow
Little Seeds	Shovels & Rope	2016-08-05 05:52:00	I Know
Past Masters, Vol. 2	The Beatles	2016-08-05 05:55:00	Revolution
Dig In Deep	Bonnie Raitt	2016-08-05 05:59:00	Gypsy In Me
Days Like This	Van Morrison	2016-08-05 06:03:00	Perfect Fit
Dolls of Highland	Kyle Craft	2016-08-05 06:10:00	Eye Of A Hurricane
