album	artist	time	track
Child Of A Shooting Star	Tom Furse	2016-08-15 00:57:00	Trans-Universal Express
Mars Hotel	Grateful Dead	2016-08-15 01:00:00	Scarlet Begonias
Liquid Skin	Gomez	2016-08-15 01:04:00	Revolutionary Kind
Traveller	Chris Stapleton	2016-08-15 01:08:00	Tennessee Whiskey
Dressed Up Like Nebraska	Josh Rouse	2016-08-15 01:13:00	Late Night Conversation
The House Of Love	The House Of Love	2016-08-15 01:17:00	I Don't Know Why I Love You
We All The Light	River Whyless	2016-08-15 01:20:00	All Day All Night
2	Mudcrutch	2016-08-15 01:23:00	Dreams of Flying
Selections from The Look Of Love The Burt Bacharach Collection	The Shirelles	2016-08-15 01:27:00	Baby It's You
Seatrain	Seatrain	2016-08-15 01:30:00	13 Questions
Psychopomp	Japanese Breakfast	2016-08-15 01:33:00	In Heaven
Circle	Indigenous	2016-08-15 01:37:00	Rest Of My Days
American Band	Drive-By Truckers	2016-08-15 01:42:00	What It Means
Pickin' Up the Pieces	Poco	2016-08-15 01:48:00	Pickin' Up The Pieces
Porcupine	Echo & The Bunnymen	2016-08-15 01:51:00	The Cutter
Coloring Book	Chance The Rapper	2016-08-15 01:55:00	Blessings
Metals	Feist	2016-08-15 01:59:00	How Come You Never Go There
Funky Kingston	Toots & The Maytals	2016-08-15 02:02:00	Pressure Drop
Tightrope Walker	Rachael Yamagata	2016-08-15 02:06:00	Over
25	Adele	2016-08-15 02:09:00	Hello
Armed Forces	Elvis Costello	2016-08-15 02:14:00	Accidents Will Happen
Feel Young	NeedlePoints	2016-08-15 02:17:00	Baby
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-08-15 02:20:00	I Need Never Get Old
Golden Delicious	Mike Doughty	2016-08-15 02:25:00	27 Jennifers
Love Jones	Brighter Side Of Darkness	2016-08-15 02:28:00	Love Jones
Wow (Single)	Beck	2016-08-15 02:31:00	Wow
The Band	The Band	2016-08-15 02:34:00	The Night They Drove Old Dixie Down
Barton Hollow	The Civil Wars	2016-08-15 02:38:00	I've Got This Friend
Sally Can't Dance	Lou Reed	2016-08-15 02:41:00	Sally Can't Dance
case/lang/veirs	case/lang/veirs	2016-08-15 02:45:00	Best Kept Secret
A 1000 Times (single)	Hamilton Leithauser + Rostam	2016-08-15 02:48:00	A 1000 Times
Love	The Cult	2016-08-15 02:52:00	She Sells Sanctuary
Mechanical Bull	Kings Of Leon	2016-08-15 02:57:00	Supersoaker
AM	Arctic Monkeys	2016-08-15 03:01:00	One For The Road
Meg Mac EP	Meg Mac	2016-08-15 03:04:00	Roll Up Your Sleeves
Nashville Demos	Oliver John-Rodgers	2016-08-15 03:07:00	Lips on Fire
The Ultimate Collection	Albert King	2016-08-15 03:12:00	Born Under A Bad Sign
Wilder Mind	Mumford & Sons	2016-08-15 03:14:00	The Wolf
Light Upon The Lake	Whitney	2016-08-15 03:18:00	No Matter Where We Go
Light Upon The Lake	Whitney	2016-08-15 03:18:00	No Matter Where We Go
Edgar Winter's White Trash	Edgar Winter	2016-08-15 03:20:00	Keep Playin That Rock N Roll
Shake Some Action	Flamin' Groovies	2016-08-15 03:24:00	Shake Some Action
Greatest Hits	The Supremes	2016-08-15 03:29:00	My World Is Empty Without You
Santana (3rd)	Santana	2016-08-15 03:31:00	Everybody's Everything
Paging Mr. Proust	The Jayhawks	2016-08-15 03:34:00	Quiet Corners and Empty Spaces
Give It Back To You	The Record Company	2016-08-15 03:38:00	Rita Mae Young
Black Cadillac	Rosanne Cash	2016-08-15 03:42:00	Black Cadillac
Omni	Minus The Bear	2016-08-15 03:45:00	My Time
Alone Together	Dave Mason	2016-08-15 03:48:00	Sad And Deep As You
Times Have Changed	Katie Barbato	2016-08-15 03:52:00	Times Have Changed
From The Cliffs	Guillemots	2016-08-15 03:55:00	Trains To Brazil
True Sadness	The Avett Brothers	2016-08-15 03:59:00	Ain't No Man
The Trinity Sessions	Cowboy Junkies	2016-08-15 04:03:00	Sweet Jane
Talk Is Cheap	Keith Richards	2016-08-15 04:06:00	Big Enough
Stay Positive	The Hold Steady	2016-08-15 04:10:00	Chips Ahoy!
Shaming Of The Sun	Indigo Girls	2016-08-15 04:13:00	Shame On You
Post Pop Depression	Iggy Pop	2016-08-15 04:16:00	Gardenia
"""Ghostbusters"" Soundtrack"	Elle King	2016-08-15 04:20:00	Good Girls
"""Ghostbusters"" Soundtrack"	Elle King	2016-08-15 04:20:00	Good Girls
Smoke and Mirrors	Brett Dennen	2016-08-15 04:23:00	Wild Child
Good As Gold	Red Rockers	2016-08-15 04:27:00	China
A Brand New Bag, #1 Soul Hits Of The 60's	Garnet Mimms	2016-08-15 04:31:00	Cry Baby
In The Lonely Hour	Sam Smith	2016-08-15 04:34:00	Stay With Me
Day Breaks	Norah Jones	2016-08-15 04:37:00	Carry On
Nuevo Boogaloo	The Iguanas	2016-08-15 04:40:00	Oye Isabel
Fearless	Tim Curry	2016-08-15 04:44:00	I Do The Rock
Away	Okkervil River	2016-08-15 04:48:00	The Industry
Nils Lofgren	Nils Lofgren	2016-08-15 04:53:00	Goin' Back
Impossible Dream	Patty Griffin	2016-08-15 04:56:00	Love Throws A Line
Stranger To Stranger	Paul Simon	2016-08-15 05:00:00	Wristband
Heavier Things	John Mayer	2016-08-15 05:03:00	Clarity
Joe Cocker	Joe Cocker	2016-08-15 05:07:00	Hitchcock Railway
Joe Cocker	Joe Cocker	2016-08-15 05:08:00	Hitchcock Railway
Love & Hate	Michael Kiwanuka	2016-08-15 05:12:00	Black Man In A White World
Solider Of Love	Sade	2016-08-15 05:16:00	Soldier Of Love
Labour Of Love Ii	UB40	2016-08-15 05:20:00	The Way You Do The Things You Do
