album	artist	time	track
Holland-Dozier-Holland: The Complete 45's Collection	Earl English	2016-08-01 00:57:00	Wanting You
Black And Blue	The Rolling Stones	2016-08-01 01:00:00	Melody
August And Everything After	Counting Crows	2016-08-01 01:06:00	Omaha
Give It Back To You	The Record Company	2016-08-01 01:09:00	Off The Ground
Naked	Talking Heads	2016-08-01 01:13:00	Mr. Jones
Rocket To Russia	The Ramones	2016-08-01 01:18:00	Sheena Is A Punk Rocker
The Marcus King Band	The Marcus King Band	2016-08-01 01:20:00	Ain't Nothing Wrong With That
Beyond The Bloodhounds	Adia Victoria	2016-08-01 01:24:00	Dead Eyes
The iceman Cometh	Jerry Butler	2016-08-01 01:26:00	Only The Strong Survive
Highway Companion	Tom Petty	2016-08-01 01:29:00	Saving Grace
Eats The Light	Lotus	2016-08-01 01:32:00	Eats The Light
Small White Town	Danielia Cotton	2016-08-01 01:36:00	It's Only Life
A 1000 Times (single)	Hamilton Leithauser + Rostam	2016-08-01 01:40:00	A 1000 Times
Nothing But A Breeze	Jesse Winchester	2016-08-01 01:44:00	Rhumba Man
Yours Truly, Angry Mob	Kaiser Chiefs	2016-08-01 01:47:00	Ruby
Debut	Bjork	2016-08-01 01:50:00	Human Behavior
Love & Hate	Michael Kiwanuka	2016-08-01 01:54:00	One More Night
After the Disco	Broken Bells	2016-08-01 01:59:00	Holding On For Life
HQ	Roy Harper	2016-08-01 02:02:00	When An Old Crickater Leaves The Crease
K 2.0	Kula Shaker	2016-08-01 02:10:00	Let Love B (With U)
Cleopatra	The Lumineers	2016-08-01 02:13:00	Ophelia
How To Dismantle An Atomic Bomb	U2	2016-08-01 02:16:00	Vertigo
Love (e.p.)	The Lion's Paw	2016-08-01 02:19:00	Love
Heart Like A Levee	Hiss Golden Messenger	2016-08-01 02:23:00	Biloxi
Brushfire Fairytales	Jack Johnson	2016-08-01 02:25:00	Bubble Toes
Sloopy: The Songs Of Bert Berns	The Strangeloves	2016-08-01 02:29:00	I Want Candy
A Moon Shaped Pool	Radiohead	2016-08-01 02:31:00	Decks Dark
Who's Next	The Who	2016-08-01 02:36:00	Going Mobile
The Neighborhood	Los Lobos	2016-08-01 02:40:00	Jenny's Got A Pony
Anthology	Dave Edmunds	2016-08-01 02:44:00	I Knew The Bride (When She Used To Rock & Roll)
Ouroboros	Ray Lamontagne	2016-08-01 02:47:00	Hey No Pressure
Away	Okkervil River	2016-08-01 02:51:00	The Industry
Brand New Day	Sting	2016-08-01 02:55:00	Big Lie Small World
For Me It's You	Train	2016-08-01 03:01:00	Cab
Second Hand Heart	Dwight Yoakam	2016-08-01 03:04:00	Second Hand Heart
Sunlit Youth	Local Natives	2016-08-01 03:08:00	Fountain of Youth
Acid	Ray Barretto	2016-08-01 03:12:00	A Deeper Shade Of Soul
Sometimes I Sit and Think, and Sometimes I Just Sit	Courtney Barnett	2016-08-01 03:14:00	Pedestrian At Best
Abraxas	Santana	2016-08-01 03:18:00	Samba Pa Ti
Black Moon Spell	King Tuff	2016-08-01 03:23:00	Eyes of the Muse
Elvis At The Movies	Elvis Presley	2016-08-01 03:27:00	Viva Las Vegas
Face The Music	Electric Light Orchestra	2016-08-01 03:29:00	Evil Woman
A Head Full of Dreams	Coldplay	2016-08-01 03:33:00	Adventure Of A Lifetime
Dolls of Highland	Kyle Craft	2016-08-01 03:37:00	Eye Of A Hurricane
Carnival Love	Amy Correia	2016-08-01 03:41:00	The Bike
Everywhere At Once	The Plimsouls	2016-08-01 03:46:00	A Million Miles Away
Magic Fire	The Stray Birds	2016-08-01 03:49:00	Shining In The Distance
