album	artist	time	track
Legs To Make Us Longer	Kaki King	2016-08-26 00:58:00	Doing The Wrong Thing
The Catastrophist	Tortoise	2016-08-26 02:57:00	Tesseract
Sunlit Youth	Local Natives	2016-08-26 03:00:00	Fountain of Youth
The Suburbs	Arcade Fire	2016-08-26 03:03:00	Ready To Start
case/lang/veirs	case/lang/veirs	2016-08-26 03:08:00	Best Kept Secret
case/lang/veirs	case/lang/veirs	2016-08-26 03:08:00	Best Kept Secret
The Raw And The Cooked	Fine Young Cannibals	2016-08-26 03:11:00	Good Thing
Signs Of Light	The Head And The Heart	2016-08-26 03:14:00	All We Ever Knew
The Lion The Beast The Beat	Grace Potter And The Nocturnals	2016-08-26 03:18:00	Loneliest Soul
The Band	The Band	2016-08-26 03:21:00	Across The Great Divide
True Sadness	The Avett Brothers	2016-08-26 03:24:00	Ain't No Man
The House That Dirt Built	The Heavy	2016-08-26 03:28:00	How You Like Me Now?
Complete & Unbelieveable: The Otis Redding Dictionary Of Soul	Otis Redding	2016-08-26 03:31:00	Fa Fa Fa Fa Fa (sad Song)
Traffic And Weather	Fountains Of Wayne	2016-08-26 03:33:00	Traffic And Weather
I'm Still In Love With You	Al Green	2016-08-26 03:37:00	Look What You've Done For Me
Post	Bjork	2016-08-26 03:40:00	Hyper Ballad
A Head Full of Dreams	Coldplay	2016-08-26 03:45:00	Adventure Of A Lifetime
Jackrabbit Slim	Steve Forbert	2016-08-26 03:49:00	Romeo's Tune
Jeff Beck Group	Jeff Beck	2016-08-26 03:52:00	Going Down
Day Breaks	Norah Jones	2016-08-26 03:59:00	Carry On
Stand!	Sly & The Family Stone	2016-08-26 04:02:00	Sing A Simple Song
Dolls of Highland	Kyle Craft	2016-08-26 04:06:00	Eye Of A Hurricane
One For The Birds (e.p.)	American Dinosaur	2016-08-26 04:10:00	Sweepstakes
Pearl	Janis Joplin	2016-08-26 04:14:00	Me And Bobby McGee
Our Endless Numbered Days	Iron And Wine	2016-08-26 04:18:00	Cinder And Smoke
Light Upon The Lake	Whitney	2016-08-26 04:24:00	No Matter Where We Go
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-08-26 04:26:00	I Need Never Get Old
MTV Unplugged In New York	Nirvana	2016-08-26 04:31:00	The Man Who Sold The World
Coloring Book	Chance The Rapper	2016-08-26 04:34:00	Blessings
25	Adele	2016-08-26 04:38:00	Hello
Family Reunion	The O'Jays	2016-08-26 04:43:00	I Love Music
2	Mudcrutch	2016-08-26 04:49:00	Dreams of Flying
Anthology	Swingin' Medallions	2016-08-26 04:53:00	Double Shot Of My Baby's Love
The Shelters	The Shelters	2016-08-26 04:56:00	Rebel Heart
Birds Say	Darlingside	2016-08-26 05:00:00	Go Back
David Gilmour	David Gilmour	2016-08-26 05:03:00	There's No Way Out Of Here
The Blackbyrds	The Blackbyrds	2016-08-26 05:08:00	Walking In Rhythm
Nite-Funk (e.p.)	Nite-Funk	2016-08-26 05:12:00	Let Me Be Me
