album	artist	time	track
Run Rabbit Run	Sufjan Stevens	2016-09-19 00:57:00	Year Of The Ox
Darkness On The Edge Of Town	Bruce Springsteen	2016-09-19 01:00:00	Prove It All Night
Lucinda Williams	Lucinda Williams	2016-09-19 01:04:00	Changed The Locks
Human Performance	Parquet Courts	2016-09-19 01:07:00	Berlin Got Blurry
My Baby Don't Tolerate	Lyle Lovett	2016-09-19 01:11:00	My Baby Don't Tolerate
Diesel & Dust	Midnight Oil	2016-09-19 01:14:00	Beds Are Burning
Love & Hate	Michael Kiwanuka	2016-09-19 01:18:00	Black Man In A White World
Big Boat	Phish	2016-09-19 01:22:00	Breath and Burning
Otis Blue	Otis Redding	2016-09-19 01:26:00	I've Been Loving You Too Long
Seatrain	Seatrain	2016-09-19 01:29:00	13 Questions
Eats The Light	Lotus	2016-09-19 01:32:00	Eats The Light
John Eddie	John Eddie	2016-09-19 01:36:00	Pretty Little Rebel
The Marcus King Band	The Marcus King Band	2016-09-19 01:39:00	Ain't Nothing Wrong With That
National Lampoon's Vacation (Soundtrack)	Lindsey Buckingham	2016-09-19 01:43:00	Holiday Road
Everywhere At Once	The Plimsouls	2016-09-19 01:45:00	A Million Miles Away
Real Animal	Alejandro Escovedo	2016-09-19 01:48:00	Sister Lost Soul
Ultimate Collection	Aaron Neville	2016-09-19 01:53:00	Tell It Like It Is
Walls	Kings Of Leon	2016-09-19 01:55:00	Waste A Moment
Pushin' Against A Stone	Valerie June	2016-09-19 01:58:00	You Can't Be Told
Ring Of Fire	Johnny Cash	2016-09-19 02:02:00	Ring of Fire
We All The Light	River Whyless	2016-09-19 02:04:00	All Day All Night
Plaza	Quilt	2016-09-19 02:08:00	Roller
Autoamerican	Blondie	2016-09-19 02:12:00	The Tide Is High
One For The Birds (e.p.)	American Dinosaur	2016-09-19 02:16:00	Sweepstakes
We're All Gonna Die	Dawes	2016-09-19 02:20:00	When the Tequila Runs Out
Dressed Up Like Nebraska	Josh Rouse	2016-09-19 02:24:00	Late Night Conversation
Selections from The Look Of Love The Burt Bacharach Collection	The Shirelles	2016-09-19 02:28:00	Baby It's You
Signs Of Light	The Head And The Heart	2016-09-19 02:31:00	Rhythm & Blues
Surrealistic Pillow	Jefferson Airplane	2016-09-19 02:35:00	Embryonic Journey
The Soul Sessions	Joss Stone	2016-09-19 02:36:00	Fell In Love With A Boy
Sadnecessary	Milky Chance	2016-09-19 02:40:00	Stolen Dance
single	Barns Courtney	2016-09-19 02:45:00	Fire
22, A Million	Bon Iver	2016-09-19 02:48:00	"33 ""GOD"""
The Way It Is	Bruce Hornsby & The Range	2016-09-19 02:51:00	Every Little Kiss
Teens Of Denial	Car Seat Headrest	2016-09-19 02:57:00	Vincent
Armed Forces	Elvis Costello	2016-09-19 03:02:00	Accidents Will Happen
The Neighborhood	Los Lobos	2016-09-19 03:05:00	Jenny's Got A Pony
Your Love (Single)	Middle Kids	2016-09-19 03:08:00	Your Love
Funky Kingston	Toots & The Maytals	2016-09-19 03:12:00	Pressure Drop
Midnight	Grace Potter	2016-09-19 03:15:00	Empty Heart
The Getaway	Red Hot Chili Peppers	2016-09-19 03:18:00	Dark Necessities
A Hard Day's Night	The Beatles	2016-09-19 03:23:00	I'm Happy Just To Dance With You
Violator	Depeche Mode	2016-09-19 03:25:00	Enjoy The Silence
My Woman	Angel Olsen	2016-09-19 03:30:00	Shut Up Kiss Me
Love Jones	Brighter Side Of Darkness	2016-09-19 03:33:00	Love Jones
It's Only Rock 'n' Roll	The Rolling Stones	2016-09-19 03:36:00	Ain't Too Proud To Beg
Why Are You Ok	Band Of Horses	2016-09-19 03:40:00	Casual Party
Day Breaks	Norah Jones	2016-09-19 03:43:00	Carry On
NO NO NO	Beirut	2016-09-19 03:46:00	No No No
Reach The Beach	The Fixx	2016-09-19 03:48:00	One Thing Leads To Another
Magic Fire	The Stray Birds	2016-09-19 03:52:00	Shining In The Distance
Barton Hollow	The Civil Wars	2016-09-19 03:56:00	I've Got This Friend
Dig In Deep	Bonnie Raitt	2016-09-19 04:00:00	Gypsy In Me
Meg Mac EP	Meg Mac	2016-09-19 04:03:00	Roll Up Your Sleeves
Warren Zevon	Warren Zevon	2016-09-19 04:06:00	Poor Poor Pitiful Me
Black Cadillac	Rosanne Cash	2016-09-19 04:09:00	Black Cadillac
The Ghosts That Haunt Me	Crash Test Dummies	2016-09-19 04:13:00	Superman's Song
Let Me Get By	Tedeschi Trucks Band	2016-09-19 04:17:00	Anyhow
Relish	Joan Osborne	2016-09-19 04:23:00	Right Hand Man
(What's The Story) Morning Glory?	Oasis	2016-09-19 04:28:00	Some Might Say
The Slider	T Rex	2016-09-19 04:34:00	Metal Guru
For Me It's You	Train	2016-09-19 04:36:00	Cab
Nite-Funk (e.p.)	Nite-Funk	2016-09-19 04:39:00	Let Me Be Me
Then Came The Morning	The Lone Bellow	2016-09-19 04:44:00	Take My Love
The Phosphorescent Blues	Punch Brothers	2016-09-19 04:47:00	I Blew It Off
Nowhere Now	Waterstrider	2016-09-19 04:50:00	New Sun
What About Me	Quicksilver Messenger Service	2016-09-19 04:53:00	What About Me
Stranger To Stranger	Paul Simon	2016-09-19 05:00:00	Wristband
Angel In The House	The Story	2016-09-19 05:03:00	So Much Mine
The Royal Scam	Steely Dan	2016-09-19 05:07:00	Haitian Divorce
Big Boat	Phish	2016-09-19 05:13:00	Breath and Burning
The Magazine	Rickie Lee Jones	2016-09-19 05:17:00	It Must Be Love
The Magazine	Rickie Lee Jones	2016-09-19 05:17:00	It Must Be Love
Supernatural	Santana	2016-09-19 05:22:00	(Da Le) Yaleo
Cheap Thrills	Big Brother & The Holding Company	2016-09-19 05:27:00	Piece Of My Heart
Blak and Blu	Gary Clark Jr.	2016-09-19 05:31:00	Bright Lights
Tightrope Walker	Rachael Yamagata	2016-09-19 05:36:00	Over
Room For Squares	John Mayer	2016-09-19 05:40:00	Back To You
Fat City	Shawn Colvin	2016-09-19 05:44:00	Climb On (A Back That's Strong)
Torches	Foster The People	2016-09-19 05:48:00	Don't Stop (Color On The Walls)
ALONE	The Pretenders	2016-09-19 05:50:00	Holy Commotion
We're All Gonna Die	Dawes	2016-09-19 05:54:00	One Of Us
16 Of Their Greatest Hits	The Mamas & The Papas	2016-09-19 06:00:00	Monday, Monday
Schmilco	Wilco	2016-09-19 06:03:00	If I Ever Was a Child
