album	artist	time	track
Aerocalexico	Calexico	2016-08-17 00:59:00	Humano
Junk	M83	2016-08-17 02:57:00	Moon Crystal
The Getaway	Red Hot Chili Peppers	2016-08-17 03:00:00	Dark Necessities
Life	Sly & The Family Stone	2016-08-17 03:05:00	M'lady
Talk Talk Talk	Psychedelic Furs	2016-08-17 03:08:00	Pretty In Pink
Teens Of Denial	Car Seat Headrest	2016-08-17 03:12:00	Vincent
Tonight's The Night	Neil Young	2016-08-17 03:16:00	Tonight's The Night
Volume Three: Further In Time	Afro Celt Sound System	2016-08-17 03:21:00	When You're Falling
Tall Blonde Helicopter	Francis Dunnery	2016-08-17 03:26:00	Too Much Saturn
All Rebel Rockers	Michael Franti & Spearhead	2016-08-17 03:30:00	Say Hey (I Love You)
Violent Femmes	Violent Femmes	2016-08-17 03:34:00	Blister In The Sun
Some Nights	fun.	2016-08-17 03:36:00	We Are Young
The Hustle	G Love	2016-08-17 03:40:00	Love
What Happened To Tv?	Greyboy Allstars	2016-08-17 03:44:00	How Glad I Am
Little Criminals	Randy Newman	2016-08-17 03:46:00	Little Criminals
Band of Joy	Robert Plant	2016-08-17 03:49:00	You Can't Buy My Love
Katy Lied	Steely Dan	2016-08-17 03:52:00	Black Friday
Katy Lied	Steely Dan	2016-08-17 03:52:00	Black Friday
Traveller	Chris Stapleton	2016-08-17 03:56:00	Tennessee Whiskey
The Marcus King Band	The Marcus King Band	2016-08-17 04:01:00	Ain't Nothing Wrong With That
Everybody's In Show Biz	The Kinks	2016-08-17 04:04:00	Celluloid Heroes
Please Please Me	The Beatles	2016-08-17 04:11:00	Boys
Little Seeds	Shovels & Rope	2016-08-17 04:13:00	I Know
Puberty 2	Mitski	2016-08-17 04:17:00	Your Best American Girl
Porno For Pyros	Porno For Pyros	2016-08-17 04:20:00	Pets
Guided Meditation	Hurry	2016-08-17 04:23:00	Fascination
Spirit	Amos Lee	2016-08-17 04:27:00	Vaporize
Gasoline Alley	Rod Stewart	2016-08-17 04:31:00	Gasoline Alley
Wow (Single)	Beck	2016-08-17 04:34:00	Wow
Birds Say	Darlingside	2016-08-17 04:38:00	Go Back
Var - James Brown's Funky People, Pt. 2	Bobby Byrd	2016-08-17 04:41:00	I Know You Got Soul
We All The Light	River Whyless	2016-08-17 04:46:00	All Day All Night
Love & Hate	Michael Kiwanuka	2016-08-17 04:49:00	Black Man In A White World
Too-Rye-Ay	Dexy's Midnight Runners	2016-08-17 04:52:00	Come On Eileen
Paging Mr. Proust	The Jayhawks	2016-08-17 04:57:00	Quiet Corners and Empty Spaces
C'mon, C'mon	Sheryl Crow	2016-08-17 05:00:00	Soak Up The Sun
Heavy Ornamentals	The Gourds	2016-08-17 05:03:00	Hooky Junk
Bayou Country	Creedence Clearwater Revival	2016-08-17 05:08:00	Born On The Bayou
