album	artist	time	track
Ship Of Fools	Elephant Stone	2016-09-03 00:00:00	Manipulator
Cherish The Light Years	Cold Cave	2016-09-03 00:03:00	Underworld USA
Ping Pong	Jacuzzi Boys	2016-09-03 00:09:00	Boys Like Blood
Elastica	Elastica	2016-09-03 00:13:00	Stutter
Return To Love	LVL UP	2016-09-03 00:15:00	Hidden Driver
My Woman	Angel Olsen	2016-09-03 00:20:00	Give It Up
My Woman	Angel Olsen	2016-09-03 00:23:00	Sister
Veckatimest	Grizzly Bear	2016-09-03 00:30:00	I Live With You
The Future Will Come	The Juan MacLean	2016-09-03 00:36:00	Happy House
Childish Prodigy	Kurt Vile	2016-09-03 00:48:00	He's Alright
Shy Layers	Shy Layers	2016-09-03 00:54:00	Famous Faces
Cinco De Mowo!	Mocean Worker	2016-09-03 02:57:00	Tickle It
Wrong Way Up	Brian Eno and John Cale	2016-09-03 03:00:00	Been There Done That
Blonde On Blonde	Bob Dylan	2016-09-03 03:03:00	Stuck Inside Of Mobile With The Memphis Blues Again
Schmilco	Wilco	2016-09-03 03:10:00	If I Ever Was a Child
Automatic For The People	R.E.M.	2016-09-03 03:13:00	Everybody Hurts
Guided Meditation	Hurry	2016-09-03 03:18:00	Fascination
London Calling	The Clash	2016-09-03 03:22:00	Train In Vain
Teens Of Denial	Car Seat Headrest	2016-09-03 03:25:00	Drunk Drivers/Killer Whales
Lights Out	Ingrid Michaelson	2016-09-03 03:31:00	Girls Chase Boys
Spirit	Amos Lee	2016-09-03 03:34:00	Vaporize
Spirit	Amos Lee	2016-09-03 03:34:00	Vaporize
Rejuvenation	The Meters	2016-09-03 03:38:00	What'cha Say
The Shelters	The Shelters	2016-09-03 03:41:00	Rebel Heart
The Convincer	Nick Lowe	2016-09-03 03:45:00	She's Got Soul
This Is The Sea	The Waterboys	2016-09-03 03:47:00	The Whole Of The Moon
Philadelphia (soundtrack)	Bruce Springsteen	2016-09-03 03:52:00	Streets Of Philadelphia
case/lang/veirs	case/lang/veirs	2016-09-03 03:56:00	Best Kept Secret
Sonderlust	Kishi Bashi	2016-09-03 04:00:00	Say Yeah
Sheryl Crow	Sheryl Crow	2016-09-03 04:04:00	If It Makes You Happy
Eyes On The Lines	Steve Gunn	2016-09-03 04:10:00	Ancient Jules
Human Performance	Parquet Courts	2016-09-03 04:16:00	Berlin Got Blurry
This Is Happening	LCD Soundsystem	2016-09-03 04:19:00	Home
Flight of the Conchords	Flight Of The Conchords	2016-09-03 04:26:00	The Most Beautiful Girl In The Room
Love & Hate	Michael Kiwanuka	2016-09-03 04:31:00	Black Man In A White World
This Perfect World	Freedy Johnston	2016-09-03 04:35:00	Bad Reputation
Room To Move 1969-1974	John Mayall	2016-09-03 04:39:00	California
Plaza	Quilt	2016-09-03 04:48:00	Roller
Trouble	Ray Lamontagne	2016-09-03 04:52:00	Trouble
Coloring Book	Chance The Rapper	2016-09-03 04:56:00	Blessings
False Reading On	Eluvium	2016-09-03 06:00:00	Beyond the Moon for Someone in Reverse
Walkin'	Miles Davis	2016-09-03 06:10:00	You Don't Know What Love Is
The Ship	Brian Eno	2016-09-03 06:12:00	Fickle Sun (III) I'm Set Free
The Velvet Underground (Super Deluxe)	The Velvet Underground	2016-09-03 06:25:00	Pale Blue Eyes (Live at The Matrix - November 26 & 27, 1969)
4th of July	Carl Broemel	2016-09-03 06:25:00	Crawlspace
Forever Changes	Love	2016-09-03 06:27:00	Andmoreagain
Moon Saloon	Arc Iris	2016-09-03 06:41:00	Moon Saloon
Hejira	Joni Mitchell	2016-09-03 06:41:00	Furry Sings the Blues
Phoebe Snow	Phoebe Snow	2016-09-03 06:45:00	Poetry Man
Day Breaks	Norah Jones	2016-09-03 06:52:00	Carry On
Fleeting	Glenn Jones	2016-09-03 06:53:00	Portrait of Basho as a Young Dragon
Sarah Vaughan with Clifford Brown	Sarah Vaughan with Clifford Brown	2016-09-03 07:01:00	September Song
Love Letter for Fire	Sam Beam & Jesca Hoop	2016-09-03 07:07:00	Every Songbird Says
Heart Food	Judee Sill	2016-09-03 07:16:00	Down Where Your Valleys Are Low
True Love Cast Out All Evil	Roky Erickson with Okkervil River	2016-09-03 07:17:00	True Love Cast Out All Evil
Light Upon the Lake	Whitney	2016-09-03 07:20:00	Light Upon the Lake
Third/Sister Lovers	Big Star	2016-09-03 07:26:00	Femme Fatale
Divers	Joanna Newsom	2016-09-03 07:29:00	A Pin-Light Bent
Solid Air	John Martyn	2016-09-03 07:37:00	Go Down Easy
Golden Age	Chris Staples	2016-09-03 07:37:00	Always on My Mind
Morning Glory: The Tim Buckley Anthology	Tim Buckley	2016-09-03 07:41:00	Phantasmagoria in Two
Golden Sings That Have Been Sung	Ryley Walker	2016-09-03 07:45:00	Funny Thing She Said
Red Clay	Freddie Hubbard	2016-09-03 07:52:00	Delphia
Cease to Begin	Band of Horses	2016-09-03 07:59:00	Detlef Schrempf
Zuma	Neil Young & Crazy Horse	2016-09-03 08:04:00	Through My Sails
Coming Home	O'Connor Band & Mark O'Connor	2016-09-03 08:08:00	Fiddler Going Home
Swinging Doors and the Bottle Let Me Down	Merle Haggard	2016-09-03 08:14:00	High on a Hilltop
Young in All the Wrong Ways	Sara Watkins	2016-09-03 08:16:00	Without a Word
White Light	Gene Clark	2016-09-03 08:23:00	For a Spanish Guitar
Open to Chance	Itasca	2016-09-03 08:27:00	Buddy
Bad Debt	Hiss Golden Messenger	2016-09-03 08:29:00	Call Him Daylight
Blacklisted	Neko Case	2016-09-03 08:35:00	I Wish I Was the Moon
Blood on the Tracks	Bob Dylan	2016-09-03 08:39:00	Buckets of Rain
case/lang/veirs	case/lang/veirs	2016-09-03 08:42:00	Song for Judee
American Beauty	Grateful Dead	2016-09-03 08:46:00	Friend of the Devil
Blue Mountain	Bob Weir	2016-09-03 08:50:00	Only a River
Wanted Dead or Alive	David Bromberg	2016-09-03 08:55:00	The Main Street Moan
Shotgun Willie	Willie Nelson	2016-09-03 09:01:00	A Song for You
To Willie	Phosphorescent	2016-09-03 09:08:00	The Party's Over
My Woman	Angel Olsen	2016-09-03 09:10:00	Pops
