album	artist	time	track
Amigos	Santana	2016-09-06 00:58:00	Europa
Texas Flood	Stevie Ray Vaughan	2016-09-06 02:57:00	Rude Mood
We're All Gonna Die	Dawes	2016-09-06 03:00:00	When the Tequila Runs Out
Blind Faith	Blind Faith	2016-09-06 03:05:00	Presence Of The Lord
Greatest Hits	Run-DMC	2016-09-06 03:09:00	My Adiddas
Nowhere Now	Waterstrider	2016-09-06 03:12:00	New Sun
Little Seeds	Shovels & Rope	2016-09-06 03:15:00	I Know
Philadelphonic	G Love & Special Sauce	2016-09-06 03:19:00	Rodeo Clowns
Eyes On The Lines	Steve Gunn	2016-09-06 03:22:00	Ancient Jules
Love & Hate	Michael Kiwanuka	2016-09-06 03:28:00	Black Man In A White World
Juno - Music From The Motion Picture	The Kinks	2016-09-06 03:31:00	A Well Respected Man
Coloring Book	Chance The Rapper	2016-09-06 03:33:00	Blessings
We All The Light	River Whyless	2016-09-06 03:37:00	All Day All Night
Simple Things	Zero 7	2016-09-06 03:41:00	Destiny
Nashville Demos	Oliver John-Rodgers	2016-09-06 03:44:00	Lips on Fire
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-09-06 03:49:00	I Need Never Get Old
Give It Back To You	The Record Company	2016-09-06 03:53:00	Off The Ground
Home	Dixie Chicks	2016-09-06 03:57:00	Landslide
The Marcus King Band	The Marcus King Band	2016-09-06 04:01:00	Ain't Nothing Wrong With That
Alright, Still	Lily Allen	2016-09-06 04:05:00	Smile
Bigger Than Both Of Us	Hall & Oates	2016-09-06 04:08:00	Rich Girl
Trace	Son Volt	2016-09-06 04:10:00	Windfall
Parallel Lines	Blondie	2016-09-06 04:13:00	Heart Of Glass
The Shelters	The Shelters	2016-09-06 04:19:00	Rebel Heart
Shrek (soundtrack)	Rufus Wainwright	2016-09-06 04:23:00	Hallelujah
Rush In Slowly EP	Matt McAndrew	2016-09-06 04:27:00	Carried Away
Electric Warrior	T Rex	2016-09-06 04:30:00	Bang A Gong (Get It On)
Let Me Get By	Tedeschi Trucks Band	2016-09-06 04:34:00	Don't Know What It Means
O	Damien Rice	2016-09-06 04:40:00	Cannonball
The Best Of Rick Nelson	Rick Nelson	2016-09-06 04:43:00	Hello Mary Lou
Blackstar	David Bowie	2016-09-06 04:45:00	I Can't Give Everything Away
Off With Their Heads	Kaiser Chiefs	2016-09-06 04:51:00	Never Miss A Beat
I'm Your Man	Leonard Cohen	2016-09-06 04:54:00	Everybody Knows
Failer	Kathleen Edwards	2016-09-06 05:00:00	One More Song The Radio Won't Like
25	Adele	2016-09-06 05:04:00	Hello
Coda - Deluxe Edition	Led Zeppelin	2016-09-06 05:09:00	Hey Hey What Can I Do
Light Upon The Lake	Whitney	2016-09-06 05:13:00	No Matter Where We Go
Tightrope Walker	Rachael Yamagata	2016-09-06 05:15:00	Over
Document	R.E.M.	2016-09-06 05:19:00	The One I Love
Kihnsolidated - The Best Of Greg Kihn	Greg Kihn	2016-09-06 05:22:00	The Breakup Song
My Woman	Angel Olsen	2016-09-06 05:25:00	Shut Up Kiss Me
Sonderlust	Kishi Bashi	2016-09-06 05:28:00	Say Yeah
