album	artist	time	track
Honor Thy Fathers	Laurence Hobgood Trio	2016-09-18 00:01:00	Give Me The Simple Life
Language Of The Heart	D-Erania	2016-09-18 00:07:00	Native Beauty
Language Of The Heart	D-Erania	2016-09-18 00:12:00	It Is What It Is
Shawn Maxwell's New Tomorrow	Shawn Maxwell's New Tomorrow	2016-09-18 00:19:00	Hitting Streak
Language Of The Heart	D-Erania	2016-09-18 00:24:00	Language Of The Heart
Dyad Plays Jazz Arias	Dyad	2016-09-18 00:33:00	Habanera
Revelation	Afro Bop Alliance Big Band	2016-09-18 00:43:00	Soufriere
A Love Supreme	John Coltrane Quartet	2016-09-18 00:50:00	A Love Supreme: Part 4 - Psalm
unreleased	Modulator ESP & onewayness & dRachEmUsiK	2016-09-18 01:04:00	Live to Air Radio Concert
unreleased	Modulator ESP & onewayness & dRachEmUsiK	2016-09-18 02:00:00	Live to Air Radio Concert (continues)
unreleased	Modulator ESP & onewayness & dRachEmUsiK	2016-09-18 03:00:00	Live to Air Radio Concert (continues)
unreleased	Modulator ESP & onewayness & dRachEmUsiK	2016-09-18 04:00:00	Live to Air Radio Concert (continues)
unreleased	Modulator ESP & onewayness	2016-09-18 05:00:00	Live to Air Radio Concert (continues)
Serenade The Love Album	Anne Akiko Meyers	2016-09-18 06:00:00	Gabriel's Oboe From 'The Misson' (Morricone)
Wind & Water	Nora Nohraku Suggs w/John Arnold	2016-09-18 06:05:00	Time Of The North Wind
What's Is All About	Pat Metheny	2016-09-18 06:13:00	Rainy Days And Mondays
Morning Phase	Beck	2016-09-18 06:21:00	Phase/Turn Away
Away	Okkervil River	2016-09-18 06:25:00	Days Spent Floating (in the halfbetween)
Carrie & Lowell	Sufjan Stevens	2016-09-18 06:31:00	Eugene
Intersection	Nanci Griffith	2016-09-18 06:37:00	Davey's Last Picture
The Things That We Are Made Of	Mary Chapin Carpenter	2016-09-18 06:38:00	The Things That We Are Made Of
Live At The Cellar Door	Neil Young	2016-09-18 06:44:00	Flying On The Ground Is Wrong
Introducing...	Karl Blau	2016-09-18 06:49:00	Dreaming My Dreams
Crazy:The Demo Sessions	Willie Nelson	2016-09-18 06:51:00	Something To Think About
Little Windows	Teddy Thompson & Kelly Jones	2016-09-18 06:54:00	Don't Remind Me
Son Of Schmilsson	Harry Nilsson	2016-09-18 06:58:00	Turn On Your Radio
Oh Mercy	Bob Dylan	2016-09-18 07:01:00	Disease Of Conceit
Tell 'Em I'm Gone	Yusuf	2016-09-18 07:07:00	Dying To Live
{Awayland}	Villagers	2016-09-18 07:10:00	My Lighthouse
Ryan Adams	Ryan Adams	2016-09-18 07:13:00	My Wrecking Ball
b'lieve i'm goin down...	Kurt Vile	2016-09-18 07:16:00	All In A Daze Work
I'm Alone, No You're Not	Joseph	2016-09-18 07:22:00	More Alive Than Dead
If I Was	The Staves	2016-09-18 07:25:00	Let Me Down
Tusk	Fleetwood Mac	2016-09-18 07:29:00	Storms
Stan Getz Plays	Stan Getz	2016-09-18 07:37:00	'Tis Autumn
As Time Goes By	Bryan Ferry	2016-09-18 07:40:00	September Song
World's Greatest Loser	Margo Price	2016-09-18 07:43:00	Midwest Farmer's Daughter
Trio Collection	Trio:Dolly Parton, Emmylou Harris & Linda Ronstadt	2016-09-18 07:44:00	Where Will The Words Come From
Forget About It	Alison  Krauss	2016-09-18 07:47:00	It Wouldn't Have Made Any Difference
Anthology 2	The Beatles	2016-09-18 07:53:00	Yes It Is
Cold Snap	Anthony D'Amato	2016-09-18 07:55:00	Once
Celebration	David Mallett	2016-09-18 08:09:00	Last Farmer's Ball
Longitudes & Latitudes	Lawrence Blatt	2016-09-18 08:11:00	A Place In Your Heart
Penny's Farm	Jim Kweskin & Geoff Muldaur	2016-09-18 08:21:00	Tennessee Blues
Still The Birds	Darryl Purpose	2016-09-18 08:23:00	The Nearness of You (Red Garland)
As Falls Wichita, So Falls Wichita Falls	Pat Metheny & Lyle Mays	2016-09-18 08:30:00	September Fifteenth
Nerissa Wilson	Nerissa Wilson	2016-09-18 08:34:00	Black Coffee
Blue Cinderella	Kami Lyle	2016-09-18 08:43:00	September
Unstrung Heroes	Auld String Theory	2016-09-18 08:44:00	Dante's Gift
Barcelona	Orlando Vasquez & Carlos Paula	2016-09-18 08:53:00	Quizas, Quizas, Quizas
Supermoon	S. Carey	2016-09-18 08:58:00	Supermoon
Moonlight In The Garden	Alan Kogosowski	2016-09-18 09:01:00	Clair de Lune
I Can't Stop Myself	Chip Mergott	2016-09-18 09:16:00	Remembering Jane
Featherbed Lane	Jordan Renzi	2016-09-18 09:17:00	California Dreamin'
This is Life	kayle Brecher	2016-09-18 09:19:00	African Dream
Tidal	Fiona Apple	2016-09-18 09:28:00	Pale September
Stranger To Stranger	Paul Simon	2016-09-18 09:29:00	Stranger To Stranger
Royal Harp Strings	Claire Jones	2016-09-18 09:41:00	Song To The Moon
Lisa Wildman & Jim Holton	Lisa Wildman	2016-09-18 09:42:00	September In The Rain
case/lang/veirs	case/lang/veirs	2016-09-18 09:46:00	1,000 Miles Away
Spirit Dance	David Braid	2016-09-18 09:52:00	Wash Away
Miller's Creek	The Belle Hollows	2016-09-18 09:56:00	The Ocean Song
I Long To See You	Charles Lloyd featuring Norah Jones	2016-09-18 10:03:00	You Are So Beautiful To me
Chet	Chet Baker	2016-09-18 10:09:00	September Song
Architecture of A Fire	The Rifters	2016-09-18 10:14:00	The Horizon Line
Full Moon	Kris Kristofferson & Rita Coolidge	2016-09-18 10:19:00	Loving Arms
Suspicion Street	Trio Nova	2016-09-18 10:21:00	September 5th
American Tunes	Allen Toussaint	2016-09-18 10:30:00	American Tune
Shine A Light	Billy Bragg & Joe Henry	2016-09-18 10:36:00	Early Morning Rain
Secular Hymns	Madeleine Peyroux	2016-09-18 10:38:00	Got You On My Mind
For Love and Life	Mike Hirst	2016-09-18 10:45:00	Summer's Almost Gone
The Hank Jones Quartet	Hank Jones	2016-09-18 10:46:00	Summer's Gone
A Heart Made Of Glass	Daithi Sproule	2016-09-18 10:56:00	September
Our Time In Eden	10,000 Maniacs	2016-09-18 11:00:00	Candy Everybody Wants
New Moon Daughter	Cassandra Wilson	2016-09-18 11:01:00	Harvest Moon
2	Mudcrutch	2016-09-18 11:03:00	Dreams of Flying
Love & Hate	Michael Kiwanuka	2016-09-18 11:08:00	Black Man In A White World
The Chess Box 2	Howlin' Wolf	2016-09-18 11:11:00	Smokestack Lightnin'
Emotions and Math	Margaret Glaspy	2016-09-18 11:14:00	You & I
Tightrope Walker	Rachael Yamagata	2016-09-18 11:20:00	Over
Yours Truly, Angry Mob	Kaiser Chiefs	2016-09-18 11:24:00	Ruby
Whammy!	B-52's	2016-09-18 11:27:00	Legal Tender
Red Earth & Pouring Rain	Bear's Den	2016-09-18 11:32:00	Red Earth & Pouring Rain
Speaking In Tongues	Talking Heads	2016-09-18 11:35:00	Girlfriend Is Better
Give It Back To You	The Record Company	2016-09-18 11:41:00	Rita Mae Young
So Ferocious	Carsie Blanton	2016-09-18 11:46:00	Ravenous
