album	artist	time	track
Little Lion	Brooks Williams	2016-08-03 00:59:00	Only For A Moment
Wondrous Bughouse	Youth Lagoon	2016-08-03 02:57:00	Through The Mind And Back
Wow (Single)	Beck	2016-08-03 03:00:00	Wow
Greatest Hits	Buddy Holly	2016-08-03 03:03:00	Oh Boy!
Power, Corruption & Lies	New Order	2016-08-03 03:06:00	Age Of Consent
Emotions and Math	Margaret Glaspy	2016-08-03 03:11:00	You & I
Wings At The Speed Of Sound	Wings	2016-08-03 03:13:00	Let Em In
(single)	Dr. Dog	2016-08-03 03:18:00	Take Me Into Town
Ga Ga Ga Ga Ga	Spoon	2016-08-03 03:23:00	Don't You Evah
Argybargy	Squeeze	2016-08-03 03:26:00	Pulling Mussels From A Shell
San Francisco	American Music Club	2016-08-03 03:30:00	I Broke My Promise
Pocket Full Of Kryptonite	Spin Doctors	2016-08-03 03:33:00	Two Princes
Poses	Rufus Wainwright	2016-08-03 03:38:00	Cigarettes And Chocolate Milk
Woke Up Screaming	"Bobby ""Blue"" Bland"	2016-08-03 03:42:00	Farther On Up The Road
Me & Bobby McGee	Kris Kristofferson	2016-08-03 03:45:00	Sunday Mornin' Comin' Down
At Dawn	My Morning Jacket	2016-08-03 03:50:00	Lowdown
Backless	Eric Clapton	2016-08-03 03:53:00	Tulsa Time
Cleopatra	The Lumineers	2016-08-03 03:57:00	Ophelia
Signs Of Light	The Head And The Heart	2016-08-03 03:59:00	All We Ever Knew
Elton John	Elton John	2016-08-03 04:03:00	Your Song
Into The Labyrinth	Dead Can Dance	2016-08-03 04:07:00	The Ubiquitous Mr Lovegrove
Love & Hate	Michael Kiwanuka	2016-08-03 04:13:00	One More Night
K 2.0	Kula Shaker	2016-08-03 04:17:00	Let Love B (With U)
Last Splash	The Breeders	2016-08-03 04:20:00	Divine Hammer
Eats The Light	Lotus	2016-08-03 04:23:00	Eats The Light
Schmilco	Wilco	2016-08-03 04:27:00	If I Ever Was a Child
Let It Flow	Dave Mason	2016-08-03 04:30:00	So High (Rock Me Baby And Roll Me Away)
Beyond The Bloodhounds	Adia Victoria	2016-08-03 04:34:00	Dead Eyes
A Head Full of Dreams	Coldplay	2016-08-03 04:36:00	Adventure Of A Lifetime
Just For You	Neil Diamond	2016-08-03 04:39:00	Girl, You'll Be A Woman Soon
A Sailor?s Guide To Earth	Sturgill Simpson	2016-08-03 04:42:00	In Bloom
"""Ghostbusters"" Soundtrack"	Elle King	2016-08-03 04:46:00	Good Girls
Cosmic Thing	B-52's	2016-08-03 04:49:00	Love Shack
Blackstar	David Bowie	2016-08-03 04:54:00	I Can't Give Everything Away
Making Mirrors	Gotye	2016-08-03 05:00:00	Somebody That I Used to Know
Stiff	White Denim	2016-08-03 05:04:00	Ha Ha Ha Ha (Yeah)
Mojo Hand: The Lightnin' Hopkins Anthology	Lightnin' Hopkins	2016-08-03 05:08:00	Baby Please Don't Go
Bloodshot	The J. Geils Band	2016-08-03 05:11:00	Ain't Nothin' But A Houseparty
Sea of Noise	St. Paul & The Broken Bones	2016-08-03 05:15:00	All I Ever Wonder
Annunciation	The Subdudes	2016-08-03 05:18:00	(You'll Be) Satisfied
Side Pony	Lake Street Dive	2016-08-03 05:22:00	I Don't Care About You
Building a Beginning	Jamie Lidell	2016-08-03 05:26:00	Walk Right Back
The Getaway	Red Hot Chili Peppers	2016-08-03 05:29:00	Dark Necessities
Skylarking	XTC	2016-08-03 05:34:00	Earn Enough For Us
Why Are You Ok	Band Of Horses	2016-08-03 05:36:00	Casual Party
You Gotta Sin To Get Saved	Maria McKee	2016-08-03 05:40:00	I'm Gonna Soothe You
Warren Zevon	Warren Zevon	2016-08-03 05:43:00	Poor Poor Pitiful Me
Give It Back To You	The Record Company	2016-08-03 05:46:00	Off The Ground
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-08-03 05:51:00	I Need Never Get Old
Tracy Chapman	Tracy Chapman	2016-08-03 05:55:00	Fast Car
The Ghosts Of Highway 20	Lucinda Williams	2016-08-03 06:00:00	Dust
The Legend of Tarzan: Original Motion Picture Soundtrack	Hozier	2016-08-03 06:05:00	Better Love
Broken Bells	Broken Bells	2016-08-03 06:11:00	The High Road
Sunlit Youth	Local Natives	2016-08-03 06:15:00	Fountain of Youth
Sonderlust	Kishi Bashi	2016-08-03 06:22:00	Say Yeah
Living The Blues	Canned Heat	2016-08-03 06:27:00	Going Up The Country
Magpie and the Dandelion	The Avett Brothers	2016-08-03 06:30:00	Another Is Waiting
Sigh No More	Mumford & Sons	2016-08-03 06:32:00	Roll Away Your Stone
Labor Of Love	Fruition	2016-08-03 06:36:00	Labor Of Love
A Moon Shaped Pool	Radiohead	2016-08-03 06:43:00	Decks Dark
Broken Boy Soldiers	The Raconteurs	2016-08-03 06:48:00	Level
The Instigator	Rhett Miller	2016-08-03 06:54:00	Our Love
