album	artist	time	track
Sunlit Youth	Local Natives	2016-08-16 08:46:00	Fountain of Youth
What Went Down	Foals	2016-08-16 08:49:00	Mountain At My Gates
Schmilco	Wilco	2016-08-16 08:56:00	If I Ever Was a Child
One Day It Will Please Us To Remember Even This	New York Dolls	2016-08-16 08:59:00	Dance Like A Monkey
The Getaway	Red Hot Chili Peppers	2016-08-16 09:03:00	Dark Necessities
Nite-Funk (e.p.)	Nite-Funk	2016-08-16 09:09:00	Let Me Be Me
Var-funky Stuff	Kool & The Gang	2016-08-16 09:14:00	Jungle Jazz
Moontan	Golden Earring	2016-08-16 09:18:00	Radar Love
West End Coast	Young Gun Silver Fox	2016-08-16 09:26:00	So Bad
Toto IV	Toto	2016-08-16 09:31:00	Rosanna
The Marcus King Band	The Marcus King Band	2016-08-16 09:37:00	Ain't Nothing Wrong With That
A Sailor?s Guide To Earth	Sturgill Simpson	2016-08-16 09:42:00	In Bloom
Paging Mr. Proust	The Jayhawks	2016-08-16 09:45:00	Quiet Corners and Empty Spaces
Spirit	Amos Lee	2016-08-16 09:50:00	Vaporize
Jubilee	Grant Lee Buffalo	2016-08-16 09:53:00	Truly, Truly
22, A Million	Bon Iver	2016-08-16 09:58:00	22 (OVER S??N)
Moon Safari	Air	2016-08-16 10:01:00	La Femme D'Argent
Stories Don't End	Dawes	2016-08-16 10:09:00	From A Window Seat
Out Of The Blue	Electric Light Orchestra	2016-08-16 10:13:00	Mr. Blue Sky
Ocean Rain	Echo & The Bunnymen	2016-08-16 10:18:00	The Killing Moon
Honeymoon	Lana Del Rey	2016-08-16 10:24:00	High By The Beach
Electric Warrior	T Rex	2016-08-16 10:28:00	The Motivator
Odelay	Beck	2016-08-16 10:32:00	Where It's At
Black And Blue	The Rolling Stones	2016-08-16 10:35:00	Crazy Mama
Busted Stuff	Dave Matthews Band	2016-08-16 10:40:00	Grey Street
case/lang/veirs	case/lang/veirs	2016-08-16 10:45:00	Best Kept Secret
A 1000 Times (single)	Hamilton Leithauser + Rostam	2016-08-16 10:49:00	A 1000 Times
Alphabetical	Phoenix	2016-08-16 10:53:00	Everything Is Everything
Don't Let the Kids Win	Julia Jacklin	2016-08-16 10:58:00	Leadlight
My Aim Is True	Elvis Costello	2016-08-16 11:02:00	Watching The Detectives
Hysterical	Clap Your Hands Say Yeah	2016-08-16 11:06:00	Same Mistake
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-08-16 11:09:00	I Need Never Get Old
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-08-16 11:09:00	I Need Never Get Old
Sea of Noise	St. Paul & The Broken Bones	2016-08-16 11:14:00	All I Ever Wonder
Wilson Pickett's Greatest Hits	Wilson Pickett	2016-08-16 11:17:00	I'm A Midnight Mover
Side Pony	Lake Street Dive	2016-08-16 11:20:00	Call Off Your Dogs
We All The Light	River Whyless	2016-08-16 11:24:00	All Day All Night
Led Zeppelin II	Led Zeppelin	2016-08-16 11:27:00	What Is And What Should Never Be
Babel	Mumford & Sons	2016-08-16 11:32:00	I Will Wait
Little Seeds	Shovels & Rope	2016-08-16 11:37:00	I Know
Middle Brother	Middle Brother	2016-08-16 11:42:00	Portland
Midnight At The Movies	Justin Townes Earle	2016-08-16 11:47:00	Can't Hardly Wait
Let It Be	The Replacements	2016-08-16 11:50:00	I Will Dare
For Better, Or Worse	John Prine	2016-08-16 11:55:00	Color of the Blues
