album	artist	time	track
Holland-Dozier-Holland: The Complete 45's Collection	Lee Charles	2016-08-08 00:57:00	Get Your House In Order
The Royal Scam	Steely Dan	2016-08-08 01:00:00	Haitian Divorce
Lawn Boy	Phish	2016-08-08 01:06:00	Bouncing Around The Room
True Sadness	The Avett Brothers	2016-08-08 01:09:00	Ain't No Man
Mercury Falling	Sting	2016-08-08 01:13:00	All Four Seasons
Autoamerican	Blondie	2016-08-08 01:17:00	The Tide Is High
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-08-08 01:22:00	I Need Never Get Old
The Getaway	Red Hot Chili Peppers	2016-08-08 01:26:00	Dark Necessities
Best Of Young Holt	Young-Holt Unlimited	2016-08-08 01:31:00	Soulful Strut
Dixie Chicken	Little Feat	2016-08-08 01:34:00	Roll Um Easy
Times Have Changed	Katie Barbato	2016-08-08 01:36:00	Times Have Changed
Days Like This	Van Morrison	2016-08-08 01:40:00	Days Like This
The Shelters	The Shelters	2016-08-08 01:43:00	Rebel Heart
Carney	Leon Russell	2016-08-08 01:47:00	Me & Baby Jane
Mental Jewelry	Live	2016-08-08 01:50:00	Pain Lies On The Riverside
The Legend of Tarzan: Original Motion Picture Soundtrack	Hozier	2016-08-08 01:56:00	Better Love
Look Into The Eyeball	David Byrne	2016-08-08 01:59:00	Like Humans Do
Pelican West	Haircut One Hundred	2016-08-08 02:02:00	Favourite Shirts (Boy Meets Girl)
Johannesburg	Mumford & Sons and Baaba Maal	2016-08-08 02:05:00	There Will Be Time
Paging Mr. Proust	The Jayhawks	2016-08-08 02:09:00	Quiet Corners and Empty Spaces
Eyes Open	Snow Patrol	2016-08-08 02:12:00	Chasing Cars
Guided Meditation	Hurry	2016-08-08 02:17:00	Fascination
Real	Lydia Loveless	2016-08-08 02:21:00	Longer
Poseidon And The Bitter Bug	Indigo Girls	2016-08-08 02:24:00	What Are You Like
Got No Breeding	Jules And The Polar Bears	2016-08-08 02:27:00	You Just Don't Wanna Know
Give It Back To You	The Record Company	2016-08-08 02:31:00	Rita Mae Young
The Who Sell Out	The Who	2016-08-08 02:35:00	I Can See For Miles
Writer's Block	Peter Bjorn And John	2016-08-08 02:39:00	Amsterdam
Blank Generation	Richard Hell & The Voidoids	2016-08-08 02:43:00	Blank Generation
Post Pop Depression	Iggy Pop	2016-08-08 02:46:00	Gardenia
THE FAMILY	Joseph Arthur	2016-08-08 02:50:00	You Keep Hanging On
How To Dismantle An Atomic Bomb	U2	2016-08-08 02:53:00	Vertigo
Tigerlily	Natalie Merchant	2016-08-08 02:56:00	Wonder
Delta Spirit	Delta Spirit	2016-08-08 03:01:00	California
Away	Okkervil River	2016-08-08 03:04:00	The Industry
The Buddy Holly Collection	Buddy Holly	2016-08-08 03:09:00	That'll Be The Day
Rumour And Sigh	Richard Thompson	2016-08-08 03:11:00	I Misunderstood
Tapestry	Carole King	2016-08-08 03:15:00	Where You Lead
Bitte Orca	Dirty Projectors	2016-08-08 03:18:00	Stillness Is The Move
Ring Of Fire	Johnny Cash	2016-08-08 03:22:00	Ring of Fire
Bloody Tourists	10cc	2016-08-08 03:25:00	Dreadlock Holiday
Blackstar	David Bowie	2016-08-08 03:29:00	I Can't Give Everything Away
Why Are You Ok	Band Of Horses	2016-08-08 03:35:00	In A Drawer
Living With The Law	Chris Whitley	2016-08-08 03:39:00	Big Sky Country
Black Sea	XTC	2016-08-08 03:43:00	Generals & Majors
Sea Level	Sea Level	2016-08-08 03:47:00	Rain In Spain
Eats The Light	Lotus	2016-08-08 03:54:00	Eats The Light
Don't Be Afraid Of The Dark	Robert Cray	2016-08-08 03:57:00	Don't Be Afraid Of The Dark
Let Me Get By	Tedeschi Trucks Band	2016-08-08 04:01:00	Don't Know What It Means
From Strength To Strength	Peter Himmelman	2016-08-08 04:07:00	Woman With The Strength of 10,000 Men
Bloodshot	The J. Geils Band	2016-08-08 04:12:00	Ain't Nothin' But A Houseparty
Unclassified	Robert Randolph & The Family Band	2016-08-08 04:16:00	Soul Refreshing
August And Everything After	Counting Crows	2016-08-08 04:20:00	Rain King
Dig In Deep	Bonnie Raitt	2016-08-08 04:24:00	Gypsy In Me
Where Does This Door Go	Mayer Hawthorne	2016-08-08 04:28:00	Reach Out Richard
Listen	A Flock Of Seagulls	2016-08-08 04:32:00	Wishing (I Had A Photograph Of You)
Musicforthemorningafter	Pete Yorn	2016-08-08 04:36:00	Life On A Chain
Nashville Demos	Oliver John-Rodgers	2016-08-08 04:40:00	Lips on Fire
Room For Squares	John Mayer	2016-08-08 04:44:00	Back To You
Nilsson Schmilsson	Harry Nilsson	2016-08-08 04:48:00	Without You
Side Pony	Lake Street Dive	2016-08-08 04:51:00	I Don't Care About You
I've Got My Own Album To Do	Ron Wood	2016-08-08 04:55:00	I Can Feel The Fire
Volume Two	She & Him	2016-08-08 05:00:00	In The Sun
Bewitched	Luna	2016-08-08 05:03:00	California (All The Way)
Reveal	R.E.M.	2016-08-08 05:07:00	Imitation Of Life
Mr. Tambourine Man	The Byrds	2016-08-08 05:11:00	Feel A Whole Lot Better
We All The Light	River Whyless	2016-08-08 05:13:00	All Day All Night
Live	Bob Marley & The Wailers	2016-08-08 05:17:00	Trenchtown Rock
Live	Bob Marley & The Wailers	2016-08-08 05:17:00	Trenchtown Rock
Making Movies	Dire Straits	2016-08-08 05:21:00	Romeo & Juliet
Birth, School, Work, Death	The Godfathers	2016-08-08 05:27:00	If I Only Had Time
K 2.0	Kula Shaker	2016-08-08 05:29:00	Let Love B (With U)
