album	artist	time	track
Your Past Comes Back to Haunt You: The Fonotone Years, 1958?1965	John Fahey	2016-08-29 00:57:00	New Newport News Blues #2
Even In The Quietest Moments	Supertramp	2016-08-29 01:00:00	Give A Little Bit
Mirror Blue	Richard Thompson	2016-08-29 01:04:00	Easy There, Steady Now
Plaza	Quilt	2016-08-29 01:09:00	Roller
Pure Pop For Now People	Nick Lowe	2016-08-29 01:13:00	(i Love The Sound Of) Breaking Glass
Pure Pop For Now People	Nick Lowe	2016-08-29 01:13:00	(i Love The Sound Of) Breaking Glass
Computer World	Kraftwerk	2016-08-29 01:16:00	Computer Love
Love & Hate	Michael Kiwanuka	2016-08-29 01:23:00	Black Man In A White World
I?m Alone, No You?re Not	Joseph	2016-08-29 01:26:00	White Flag
It's Hard To Believe It: The Amazing World of Joe Meek	The Honeycombs	2016-08-29 01:30:00	Have I The Right
All Things Must Pass	George Harrison	2016-08-29 01:33:00	I'd Have You Anytime
Feel Young	NeedlePoints	2016-08-29 01:35:00	Baby
All That You Can't Leave Behind	U2	2016-08-29 01:39:00	Stuck In A Moment You Can't Get Out Of
Nowhere Now	Waterstrider	2016-08-29 01:43:00	New Sun
Souveneirs	Dan Fogelberg	2016-08-29 01:46:00	Part Of The Plan
Teens Of Denial	Car Seat Headrest	2016-08-29 01:53:00	Drunk Drivers/Killer Whales
Mama Said	Lenny Kravitz	2016-08-29 01:59:00	It Ain't Over Til It's Over
Greatest Hits	Tommy James & The Shondells	2016-08-29 02:03:00	Crimson & Clover
Nothing More To Say	The Frightnrs	2016-08-29 02:08:00	Nothing More To Say
Let Me Get By	Tedeschi Trucks Band	2016-08-29 02:12:00	Don't Know What It Means
Get Close	The Pretenders	2016-08-29 02:18:00	Don't Get Me Wrong
Rush In Slowly EP	Matt McAndrew	2016-08-29 02:22:00	Carried Away
Schmilco	Wilco	2016-08-29 02:25:00	If I Ever Was a Child
Schmilco	Wilco	2016-08-29 02:25:00	If I Ever Was a Child
About Time	Steve Winwood	2016-08-29 02:28:00	Why Can't We Live Together?
