album	artist	time	track
Helplessness Blues	Fleet Foxes	2016-08-12 00:59:00	The Cascades
The Best Of Spirit	Spirit	2016-08-12 02:57:00	Taurus
Little Seeds	Shovels & Rope	2016-08-12 03:00:00	I Know
My Baby Don't Tolerate	Lyle Lovett	2016-08-12 03:03:00	My Baby Don't Tolerate
True Sadness	The Avett Brothers	2016-08-12 03:07:00	Ain't No Man
Modern Vampires Of The City	Vampire Weekend	2016-08-12 03:10:00	Ya Hey
Heart Like A Levee	Hiss Golden Messenger	2016-08-12 03:16:00	Biloxi
Rain Plans	Israel Nash	2016-08-12 03:18:00	Rain Plans
Beatles For Sale	The Beatles	2016-08-12 03:23:00	Eight Days A Week
Birds Say	Darlingside	2016-08-12 03:25:00	Go Back
Return To The Moon	EL VY	2016-08-12 03:28:00	Return To The Moon
Otis Blue	Otis Redding	2016-08-12 03:32:00	I've Been Loving You Too Long
King Of California	Dave Alvin	2016-08-12 03:35:00	King Of California
Marigolden	Field Report	2016-08-12 03:39:00	Home (Leave The Lights On)
Music Complete	New Order	2016-08-12 03:43:00	Restless
Plaza	Quilt	2016-08-12 03:46:00	Roller
Pisces Iscariot	Smashing Pumpkins	2016-08-12 03:51:00	Landslide
Back In The High Life	Steve Winwood	2016-08-12 03:54:00	Higher Love
The Getaway	Red Hot Chili Peppers	2016-08-12 03:59:00	Dark Necessities
The Sun Sessions	Elvis Presley	2016-08-12 04:04:00	Mystery Train
Teens Of Denial	Car Seat Headrest	2016-08-12 04:07:00	Vincent
Act One	Marian Hill	2016-08-12 04:11:00	I Want You
Mellow Yellow	Donovan	2016-08-12 04:15:00	Mellow Yellow
...And The War Came	Shakey Graves	2016-08-12 04:18:00	Dearly Departed
A Sailor?s Guide To Earth	Sturgill Simpson	2016-08-12 04:22:00	In Bloom
Real	Lydia Loveless	2016-08-12 04:25:00	Longer
NO NO NO	Beirut	2016-08-12 04:29:00	No No No
The Legend of Tarzan: Original Motion Picture Soundtrack	Hozier	2016-08-12 04:32:00	Better Love
single	Barns Courtney	2016-08-12 04:35:00	Fire
Bande A Part	Nouvelle Vague	2016-08-12 04:38:00	Ever Fallen In Love?
A Moon Shaped Pool	Radiohead	2016-08-12 04:42:00	Decks Dark
Fire And Water	Free	2016-08-12 04:46:00	All Right Now
Johannesburg	Mumford & Sons and Baaba Maal	2016-08-12 04:52:00	There Will Be Time
Lullaby and... The Ceaseless Roar	Robert Plant	2016-08-12 04:55:00	Rainbow
Give It Back To You	The Record Company	2016-08-12 05:00:00	Off The Ground
Eat A Peach	The Allman Brothers	2016-08-12 05:04:00	Blue Sky
Girls And Boys	Ingrid Michaelson	2016-08-12 05:09:00	The Way I Am
Sonderlust	Kishi Bashi	2016-08-12 05:11:00	Say Yeah
Wow (Single)	Beck	2016-08-12 05:16:00	Wow
Bananarama	Bananarama	2016-08-12 05:20:00	Cruel Summer
Heartbreaker	Ryan Adams	2016-08-12 05:23:00	To Be Young (is To Be Sad, Is To Be High)
Heartbreaker	Ryan Adams	2016-08-12 05:23:00	To Be Young (is To Be Sad, Is To Be High)
Car Wheels On A Gravel Road	Lucinda Williams	2016-08-12 05:26:00	2 Kool 2 B Forgotten
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-08-12 05:31:00	I Need Never Get Old
The Birth Of Soul, Vol.2	Ray Charles	2016-08-12 05:35:00	I Got A Woman
Eric Clapton	Eric Clapton	2016-08-12 05:38:00	Let It Rain
The Joshua Tree	U2	2016-08-12 05:43:00	Where The Streets Have No Name
The Joshua Tree	U2	2016-08-12 05:43:00	Where The Streets Have No Name
Relish	Joan Osborne	2016-08-12 05:48:00	Spider Web
22 Knots	Ethan Burns	2016-08-12 05:53:00	22 Knots
Sunlit Youth	Local Natives	2016-08-12 05:56:00	Fountain of Youth
2	Mudcrutch	2016-08-12 06:01:00	Trailer
In Between Now And Then	O. A. R.	2016-08-12 06:04:00	Right On Time
I?m Alone, No You?re Not	Joseph	2016-08-12 06:12:00	White Flag
Bookends	Simon & Garfunkel	2016-08-12 06:15:00	America
Dolls of Highland	Kyle Craft	2016-08-12 06:23:00	Eye Of A Hurricane
The Reality of My Surroundings	Fishbone	2016-08-12 06:28:00	Everyday Sunshine
The Specials	The Specials	2016-08-12 06:32:00	Rudy, A  Message To You
Sea of Noise	St. Paul & The Broken Bones	2016-08-12 06:34:00	All I Ever Wonder
Emotions and Math	Margaret Glaspy	2016-08-12 06:41:00	You & I
Side Pony	Lake Street Dive	2016-08-12 06:43:00	Close to Me
Human Performance	Parquet Courts	2016-08-12 06:51:00	Berlin Got Blurry
Dire Straits	Dire Straits	2016-08-12 06:54:00	Sultans Of Swing
