album	artist	time	track
Mystery Cove	Monster Rally	2016-09-09 00:58:00	Pelicans
Beyond The Sea	Monster Rally	2016-09-09 02:57:00	Gold
Sunlit Youth	Local Natives	2016-09-09 03:00:00	Fountain of Youth
Dust Bowl	Joe Bonamassa	2016-09-09 03:03:00	Dust Bowl
25	Adele	2016-09-09 03:07:00	Hello
Return To Cookie Mountain	TV On The Radio	2016-09-09 03:12:00	Wolf Like Me
Spirit	Amos Lee	2016-09-09 03:16:00	Running Out Of Time
I Am Shelby Lynne	Shelby Lynne	2016-09-09 03:19:00	Thought It Would Be Easier
Hot Rats	Frank Zappa	2016-09-09 03:23:00	Peaches En Regalia
Post Pop Depression	Iggy Pop	2016-09-09 03:27:00	Gardenia
Never Mind The Bollocks Here's The Sex Pistols	The Sex Pistols	2016-09-09 03:31:00	Sub-mission
Greatest Hits	Marvin Gaye	2016-09-09 03:35:00	I Heard It Through The Grapevine
Star Time	James Brown	2016-09-09 03:38:00	Funky Drummer
The Historical Conquests Of Josh Ritter	Josh Ritter	2016-09-09 03:45:00	Right Moves
Screamadelica	Primal Scream	2016-09-09 03:49:00	Movin' On Up
Birds Say	Darlingside	2016-09-09 03:52:00	Go Back
Maybe You Should Drive	Barenaked Ladies	2016-09-09 03:55:00	Jane
Emotions and Math	Margaret Glaspy	2016-09-09 03:59:00	You & I
Elvis At The Movies	Elvis Presley	2016-09-09 04:02:00	Viva Las Vegas
Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	2016-09-09 04:04:00	I Need Never Get Old
One For The Birds (e.p.)	American Dinosaur	2016-09-09 04:08:00	Sweepstakes
Blue	Joni Mitchell	2016-09-09 04:11:00	Carey
Dancing In The Dragon's Jaws	Bruce Cockburn	2016-09-09 04:14:00	Wondering Where The Lions Are
I?m Alone, No You?re Not	Joseph	2016-09-09 04:18:00	White Flag
Zuma	Neil Young	2016-09-09 04:21:00	Cortez The Killer
Love & Hate	Michael Kiwanuka	2016-09-09 04:29:00	Black Man In A White World
Best Of Nick Lowe	Nick Lowe	2016-09-09 04:32:00	I Knew The Bride When She Used To Rock & Roll
Beyond The Bloodhounds	Adia Victoria	2016-09-09 04:36:00	Dead Eyes
The Hope Six Demolition Project	PJ Harvey	2016-09-09 04:39:00	The Wheel
Selections from The Look Of Love The Burt Bacharach Collection	Dionne Warwick	2016-09-09 04:43:00	Anyone Who Had A Heart
A Moon Shaped Pool	Radiohead	2016-09-09 04:46:00	Decks Dark
The iceman Cometh	Jerry Butler	2016-09-09 04:50:00	Never Give You Up
